service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72733,1,1,1,1,1,0,0,20130501,20190519
72734,0,0,0,0,0,1,0,20130501,20190519
72735,0,0,0,0,0,0,1,20130501,20190519
72736,0,0,0,0,0,1,1,20130501,20190519
72737,1,1,0,0,0,0,0,20130501,20190519
72738,1,1,1,1,1,1,1,20130501,20190519
72739,0,0,0,0,0,0,1,20130501,20190519
72740,0,0,1,1,1,0,0,20130501,20190519
72741,0,0,0,0,1,0,0,20130501,20190519
72742,1,1,1,1,0,0,0,20130501,20190519
72743,0,0,0,0,1,1,0,20160501,20190519
72744,0,0,0,0,0,1,0,20160312,20160312
