trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD9067062,10:20:00,10:20:00,12175078,1
RTD9067062,10:32:00,10:32:00,12175080,2
RTD9087084,10:20:00,10:20:00,12175078,1
RTD9087084,10:32:00,10:32:00,12175080,2
RTD8463786,10:20:00,10:20:00,12175078,1
RTD8463786,10:32:00,10:32:00,12175080,2
RTD9087085,11:20:00,11:20:00,12175078,1
RTD9087085,11:32:00,11:32:00,12175080,2
RTD9067063,11:20:00,11:20:00,12175078,1
RTD9067063,11:32:00,11:32:00,12175080,2
RTD8463787,11:20:00,11:20:00,12175078,1
RTD8463787,11:32:00,11:32:00,12175080,2
RTD8463788,12:20:00,12:20:00,12175078,1
RTD8463788,12:32:00,12:32:00,12175080,2
RTD9067064,12:20:00,12:20:00,12175078,1
RTD9067064,12:32:00,12:32:00,12175080,2
RTD9067065,13:20:00,13:20:00,12175078,1
RTD9067065,13:32:00,13:32:00,12175080,2
RTD8463789,13:20:00,13:20:00,12175078,1
RTD8463789,13:32:00,13:32:00,12175080,2
RTD9087086,13:20:00,13:20:00,12175078,1
RTD9087086,13:32:00,13:32:00,12175080,2
RTD9062564,14:20:00,14:20:00,12175078,1
RTD9062564,14:32:00,14:32:00,12175080,2
RTD9067066,14:20:00,14:20:00,12175078,1
RTD9067066,14:32:00,14:32:00,12175080,2
RTD9067067,15:20:00,15:20:00,12175078,1
RTD9067067,15:32:00,15:32:00,12175080,2
RTD9062565,15:20:00,15:20:00,12175078,1
RTD9062565,15:32:00,15:32:00,12175080,2
RTD9087087,15:30:00,15:30:00,12175078,1
RTD9087087,15:42:00,15:42:00,12175080,2
RTD9067068,16:20:00,16:20:00,12175078,1
RTD9067068,16:32:00,16:32:00,12175080,2
RTD9087098,17:20:00,17:20:00,12175078,1
RTD9087098,17:32:00,17:32:00,12175080,2
RTD9067076,10:00:00,10:00:00,12175080,1
RTD9067076,10:12:00,10:12:00,12175078,2
RTD9087092,10:00:00,10:00:00,12175080,1
RTD9087092,10:12:00,10:12:00,12175078,2
RTD8463790,10:00:00,10:00:00,12175080,1
RTD8463790,10:12:00,10:12:00,12175078,2
RTD9087093,11:00:00,11:00:00,12175080,1
RTD9087093,11:12:00,11:12:00,12175078,2
RTD8463791,11:00:00,11:00:00,12175080,1
RTD8463791,11:12:00,11:12:00,12175078,2
RTD9067077,11:00:00,11:00:00,12175080,1
RTD9067077,11:12:00,11:12:00,12175078,2
RTD9067078,12:00:00,12:00:00,12175080,1
RTD9067078,12:12:00,12:12:00,12175078,2
RTD8463792,12:00:00,12:00:00,12175080,1
RTD8463792,12:12:00,12:12:00,12175078,2
RTD9067079,13:00:00,13:00:00,12175080,1
RTD9067079,13:12:00,13:12:00,12175078,2
RTD8463793,13:00:00,13:00:00,12175080,1
RTD8463793,13:12:00,13:12:00,12175078,2
RTD9087094,13:00:00,13:00:00,12175080,1
RTD9087094,13:12:00,13:12:00,12175078,2
RTD9067080,14:00:00,14:00:00,12175080,1
RTD9067080,14:12:00,14:12:00,12175078,2
RTD9062568,14:12:00,14:12:00,12175080,1
RTD9062568,14:12:00,14:12:00,12175078,2
RTD9067081,15:00:00,15:00:00,12175080,1
RTD9067081,15:12:00,15:12:00,12175078,2
RTD9062569,15:00:00,15:00:00,12175080,1
RTD9062569,15:12:00,15:12:00,12175078,2
RTD9087095,15:00:00,15:00:00,12175080,1
RTD9087095,15:12:00,15:12:00,12175078,2
RTD9067082,16:00:00,16:00:00,12175080,1
RTD9067082,16:12:00,16:12:00,12175078,2
RTD9087100,17:00:00,17:00:00,12175080,1
RTD9087100,17:12:00,17:12:00,12175078,2
