route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
ANGEL ISLAND FERRY,72736,RTD9067062,TIBURON,0,,,
ANGEL ISLAND FERRY,72733,RTD9087084,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD8463786,TIBURON,0,,,
ANGEL ISLAND FERRY,72733,RTD9087085,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067063,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD8463787,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD8463788,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067064,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067065,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD8463789,TIBURON,0,,,
ANGEL ISLAND FERRY,72733,RTD9087086,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD9062564,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067066,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067067,TIBURON,0,,,
ANGEL ISLAND FERRY,72744,RTD9062565,TIBURON,0,,,
ANGEL ISLAND FERRY,72733,RTD9087087,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067068,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9087098,TIBURON,0,,,
ANGEL ISLAND FERRY,72736,RTD9067076,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72733,RTD9087092,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD8463790,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72733,RTD9087093,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD8463791,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067077,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067078,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD8463792,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067079,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD8463793,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72733,RTD9087094,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067080,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD9062568,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067081,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72744,RTD9062569,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72733,RTD9087095,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9067082,ANGEL ISLAND,1,,,
ANGEL ISLAND FERRY,72736,RTD9087100,ANGEL ISLAND,1,,,
