service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72747,1,1,1,1,1,0,0,20130125,20190519
72748,0,0,0,0,0,1,0,20130125,20190519
72749,0,0,0,0,0,0,1,20130125,20190519
72750,0,0,0,0,0,1,1,20130125,20190519
72751,1,1,1,1,1,1,0,20130125,20190519
72752,1,1,1,1,1,1,1,20130125,20190519
72753,1,1,0,1,1,0,1,20130125,20190519
72754,0,1,0,1,0,1,0,20130125,20190519
72755,1,0,1,0,1,0,1,20130125,20190519
72756,1,1,1,1,1,0,0,20130125,20190519
72757,1,1,1,1,1,0,0,20130125,20190519
72758,1,1,1,1,1,0,0,20130125,20190519
72759,0,0,0,0,1,0,0,20140704,20140704
