trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD5657318,06:00:00,06:00:00,1188118,1
RTD5657318,06:02:00,06:02:00,12081171,2
RTD5657318,,,12081170,3
RTD5657318,06:08:00,06:08:00,1188115,4
RTD5657318,,,12081173,5
RTD5657318,06:10:00,06:10:00,1188108,6
RTD5657318,,,12088932,7
RTD5657318,,,12088933,8
RTD5657318,,,1127106,9
RTD5657318,06:14:00,06:14:00,1188117,10
RTD5657318,,,12088935,11
RTD5657318,,,12088937,12
RTD5657318,06:18:00,06:18:00,1188119,13
RTD5657318,06:22:00,06:22:00,1182421,14
RTD5657318,06:26:00,06:26:00,1188116,15
RTD5657318,06:29:00,06:29:00,1188114,16
RTD5657322,06:39:00,06:39:00,1188114,1
RTD5657322,06:42:00,06:42:00,1188116,2
RTD5657322,,,12088930,3
RTD5657322,06:51:00,06:51:00,1188119,4
RTD5657322,,,12081175,5
RTD5657322,06:54:00,06:54:00,1188117,6
RTD5657322,06:57:00,06:57:00,1188108,7
RTD5657322,,,12088932,8
RTD5657322,,,12081173,9
RTD5657322,06:59:00,06:59:00,1188115,10
RTD5657322,,,12081170,11
RTD5657322,07:04:00,07:04:00,12081171,12
RTD5657322,07:07:00,07:07:00,1188118,13
RTD7512115,07:08:00,07:08:00,1188118,1
RTD7512115,07:13:00,07:13:00,12081171,2
RTD7512115,,,12081170,3
RTD7512115,07:18:00,07:18:00,1188115,4
RTD7512115,,,12081173,5
RTD7512115,,,1188108,6
RTD7512115,,,1127106,7
RTD7512115,,,1188113,8
RTD7512115,07:33:00,07:33:00,1182421,9
RTD7512117,07:45:00,07:45:00,12081171,1
RTD7512117,,,12081170,2
RTD7512117,07:50:00,07:50:00,1188115,3
RTD7512117,,,12081173,4
RTD7512117,,,1188108,5
RTD7512117,,,1127106,6
RTD7512117,,,1188113,7
RTD7512117,08:05:00,08:05:00,1182421,8
RTD7512117,08:15:00,08:15:00,1188116,9
RTD7512117,08:22:00,08:22:00,1188114,10
RTD7511534,15:37:00,15:37:00,1182421,1
RTD7511534,15:41:00,15:41:00,1188116,2
RTD7511534,15:44:00,15:44:00,1188114,3
