service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72953,1,1,1,1,1,0,0,20120910,20190519
72954,0,0,0,0,0,1,0,20120910,20190519
72955,0,0,0,0,0,0,1,20120910,20190519
72956,0,0,0,0,0,1,1,20120910,20190519
72957,1,0,0,0,0,0,0,20120910,20190519
72958,0,0,0,0,0,0,1,20120910,20190519
72959,0,0,0,0,1,0,0,20120910,20190519
72960,1,1,1,1,1,0,0,20120910,20190519
72961,1,1,1,1,1,0,0,20120910,20190519
72962,1,1,1,1,1,1,0,20120910,20190519
72963,1,1,1,1,1,1,1,20120910,20190519
72964,1,1,0,1,1,0,1,20120910,20190519
72965,0,1,0,1,0,1,0,20120910,20190519
72966,1,0,1,0,1,0,1,20120910,20190519
72967,0,0,1,0,0,0,0,20141231,20141231
