fare_id,price,currency_type,payment_method,transfers,transfer_duration
177939,1.95,USD,1,0,
178722,6.55,USD,1,0,
178723,7.00,USD,1,0,
178724,6.45,USD,1,0,
178725,5.75,USD,1,0,
178726,6.25,USD,1,0,
178727,5.85,USD,1,0,
178728,5.70,USD,1,0,
178729,5.35,USD,1,0,
178730,4.95,USD,1,0,
178731,4.40,USD,1,0,
178732,4.10,USD,1,0,
178733,3.60,USD,1,0,
178734,3.60,USD,1,0,
178735,3.60,USD,1,0,
178736,3.60,USD,1,0,
178737,3.45,USD,1,0,
178738,3.35,USD,1,0,
178739,3.20,USD,1,0,
178740,5.90,USD,1,0,
178741,5.95,USD,1,0,
178742,6.10,USD,1,0,
178743,6.15,USD,1,0,
178744,6.30,USD,1,0,
178745,6.05,USD,1,0,
178746,6.30,USD,1,0,
178747,10.90,USD,1,0,
178748,6.65,USD,1,0,
178749,5.75,USD,1,0,
178750,4.25,USD,1,0,
178751,4.05,USD,1,0,
178752,3.90,USD,1,0,
178753,3.70,USD,1,0,
178754,3.65,USD,1,0,
178755,3.60,USD,1,0,
178756,3.60,USD,1,0,
178757,3.65,USD,1,0,
178758,3.65,USD,1,0,
178759,3.65,USD,1,0,
178760,3.80,USD,1,0,
178761,4.00,USD,1,0,
178762,4.30,USD,1,0,
178763,4.50,USD,1,0,
178764,4.80,USD,1,0,
178765,5.10,USD,1,0,
178766,5.55,USD,1,0,
178767,5.90,USD,1,0,
178768,4.80,USD,1,0,
178769,5.90,USD,1,0,
178770,1.95,USD,1,0,
178771,1.95,USD,1,0,
178772,5.85,USD,1,0,
178773,1.95,USD,1,0,
178774,5.75,USD,1,0,
178775,1.95,USD,1,0,
178776,2.50,USD,1,0,
178777,2.50,USD,1,0,
178778,2.50,USD,1,0,
178779,1.95,USD,1,0,
178780,1.95,USD,1,0,
178781,5.75,USD,1,0,
178782,1.95,USD,1,0,
178783,1.95,USD,1,0,
178784,2.55,USD,1,0,
178785,3.25,USD,1,0,
178786,3.70,USD,1,0,
178787,1.95,USD,1,0,
178788,3.65,USD,1,0,
178789,5.40,USD,1,0,
177940,5.75,USD,1,0,
177941,3.05,USD,1,0,
177942,8.60,USD,1,0,
177943,11.45,USD,1,0,
177944,11.45,USD,1,0,
177945,11.10,USD,1,0,
177946,15.70,USD,1,0,
177947,10.85,USD,1,0,
177948,9.80,USD,1,0,
177949,11.10,USD,1,0,
177950,15.70,USD,1,0,
177951,10.85,USD,1,0,
177952,9.80,USD,1,0,
177953,9.20,USD,1,0,
177954,9.05,USD,1,0,
177955,8.75,USD,1,0,
177956,8.60,USD,1,0,
177957,9.20,USD,1,0,
177958,9.05,USD,1,0,
177959,8.75,USD,1,0,
177960,9.40,USD,1,0,
177961,9.40,USD,1,0,
177962,8.45,USD,1,0,
177963,8.45,USD,1,0,
177964,7.95,USD,1,0,
177965,7.95,USD,1,0,
177966,9.95,USD,1,0,
177967,8.55,USD,1,0,
177968,8.25,USD,1,0,
177969,7.95,USD,1,0,
177970,7.95,USD,1,0,
177971,9.95,USD,1,0,
177972,8.55,USD,1,0,
177973,8.25,USD,1,0,
177974,9.00,USD,1,0,
177975,9.65,USD,1,0,
177976,9.00,USD,1,0,
177977,9.65,USD,1,0,
177978,8.55,USD,1,0,
177979,10.65,USD,1,0,
177980,10.40,USD,1,0,
177981,9.95,USD,1,0,
177982,9.45,USD,1,0,
