fare_id,route_id, origin_id, destination_id, contains_id
177939,,55510,55495,
178722,,55504,55500,
178723,,55521,55500,
178724,,55518,55500,
178725,,55500,55500,
178726,,55501,55500,
178727,,55522,55500,
178728,,55532,55500,
178729,,55512,55500,
178730,,55520,55500,
178731,,55525,55500,
178732,,55534,55500,
178733,,55507,55500,
178734,,55516,55500,
178735,,55523,55500,
178736,,55498,55500,
178737,,55491,55500,
178738,,55493,55500,
178739,,55510,55500,
178740,,55491,55501,
178741,,55493,55501,
178742,,55510,55501,
178743,,55495,55501,
178744,,55502,55501,
178745,,55530,55522,
178746,,55526,55522,
178747,,55528,55522,
178748,,55515,55522,
178749,,55533,55522,
178750,,55524,55522,
178751,,55505,55522,
178752,,55506,55522,
178753,,55517,55522,
178754,,55503,55522,
178755,,55494,55522,
178756,,55514,55522,
178757,,55492,55522,
178758,,55490,55522,
178759,,55513,55522,
178760,,55509,55522,
178761,,55499,55522,
178762,,55527,55522,
178763,,55496,55522,
178764,,55511,55522,
178765,,55529,55522,
178766,,55531,55522,
178767,,55508,55522,
178768,,55497,55522,
178769,,55504,55522,
178770,,55521,55522,
178771,,55518,55522,
178772,,55500,55522,
178773,,55501,55522,
178774,,55522,55522,
178775,,55532,55522,
178776,,55492,55527,
178777,,55490,55527,
178778,,55513,55527,
178779,,55509,55527,
178780,,55499,55527,
178781,,55527,55527,
178782,,55496,55527,
178783,,55511,55527,
178784,,55529,55527,
178785,,55531,55527,
178786,,55508,55527,
178787,,55497,55527,
178788,,55504,55527,
178789,,55521,55527,
177940,,55495,55495,
177941,,55502,55495,
177942,,55503,55519,
177943,,55515,55519,
177944,,55519,55515,
177945,,55519,55526,
177946,,55519,55528,
177947,,55519,55530,
177948,,55519,55533,
177949,,55526,55519,
177950,,55528,55519,
177951,,55530,55519,
177952,,55533,55519,
177953,,55505,55519,
177954,,55506,55519,
177955,,55517,55519,
177956,,55519,55503,
177957,,55519,55505,
177958,,55519,55506,
177959,,55519,55517,
177960,,55519,55524,
177961,,55524,55519,
177962,,55494,55519,
177963,,55519,55494,
177964,,55490,55519,
177965,,55492,55519,
177966,,55508,55519,
177967,,55511,55519,
177968,,55514,55519,
177969,,55519,55490,
177970,,55519,55492,
177971,,55519,55508,
177972,,55519,55511,
177973,,55519,55514,
177974,,55519,55529,
177975,,55519,55531,
177976,,55529,55519,
177977,,55531,55519,
177978,,55497,55519,
177979,,55500,55519,
177980,,55501,55519,
177981,,55504,55519,
177982,,55512,55519,
177983,,55518,55519,
177984,,55519,55497,
177985,,55519,55500,
177986,,55519,55501,
177987,,55519,55504,
177988,,55519,55512,
177989,,55519,55518,
177990,,55519,55520,
177991,,55519,55521,
177992,,55519,55522,
177993,,55519,55525,
177994,,55519,55532,
177995,,55520,55519,
177996,,55521,55519,
