trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD7523669,06:13:00,06:13:00,12018513,1
RTD7523669,06:17:00,06:17:00,12018506,2
RTD7523669,06:19:00,06:19:00,12018521,3
RTD7523669,06:22:00,06:22:00,12018504,4
RTD7523669,06:24:00,06:24:00,12018502,5
RTD7523669,06:26:00,06:26:00,12018509,6
RTD7523669,06:27:00,06:27:00,12018533,7
RTD7523669,06:29:00,06:29:00,12018527,8
RTD7523669,06:30:00,06:30:00,12018518,9
RTD7523669,06:37:00,06:37:00,12018544,10
RTD7523669,06:43:00,06:43:00,12018524,11
RTD7523669,06:46:00,06:46:00,12018520,12
RTD7523669,06:50:00,06:50:00,12018510,13
RTD7523669,06:54:00,06:54:00,12018537,14
RTD7523669,06:57:00,06:57:00,12018507,15
RTD7523669,07:01:00,07:01:00,12018522,16
RTD7523669,07:05:00,07:05:00,12018539,17
RTD7523669,07:10:00,07:10:00,12018541,18
RTD7523669,07:16:00,07:16:00,12018519,19
RTD7523670,06:28:00,06:28:00,12018513,1
RTD7523670,06:32:00,06:32:00,12018506,2
RTD7523670,06:34:00,06:34:00,12018521,3
RTD7523670,06:37:00,06:37:00,12018504,4
RTD7523670,06:39:00,06:39:00,12018502,5
RTD7523670,06:41:00,06:41:00,12018509,6
RTD7523670,06:42:00,06:42:00,12018533,7
RTD7523670,06:44:00,06:44:00,12018527,8
RTD7523670,06:45:00,06:45:00,12018518,9
RTD7523670,06:52:00,06:52:00,12018544,10
RTD7523670,06:58:00,06:58:00,12018524,11
RTD7523670,07:01:00,07:01:00,12018520,12
RTD7523670,07:05:00,07:05:00,12018510,13
RTD7523670,07:09:00,07:09:00,12018537,14
RTD7523670,07:12:00,07:12:00,12018507,15
RTD7523670,07:16:00,07:16:00,12018522,16
RTD7523670,07:20:00,07:20:00,12018539,17
RTD7523670,07:25:00,07:25:00,12018541,18
RTD7523670,07:31:00,07:31:00,12018519,19
RTD7523671,06:43:00,06:43:00,12018513,1
RTD7523671,06:47:00,06:47:00,12018506,2
RTD7523671,06:49:00,06:49:00,12018521,3
RTD7523671,06:52:00,06:52:00,12018504,4
RTD7523671,06:54:00,06:54:00,12018502,5
RTD7523671,06:56:00,06:56:00,12018509,6
RTD7523671,06:57:00,06:57:00,12018533,7
RTD7523671,06:59:00,06:59:00,12018527,8
RTD7523671,07:00:00,07:00:00,12018518,9
RTD7523671,07:07:00,07:07:00,12018544,10
RTD7523671,07:13:00,07:13:00,12018524,11
RTD7523671,07:16:00,07:16:00,12018520,12
RTD7523671,07:20:00,07:20:00,12018510,13
RTD7523671,07:24:00,07:24:00,12018537,14
RTD7523671,07:27:00,07:27:00,12018507,15
RTD7523671,07:31:00,07:31:00,12018522,16
RTD7523671,07:35:00,07:35:00,12018539,17
RTD7523671,07:40:00,07:40:00,12018541,18
RTD7523671,07:46:00,07:46:00,12018519,19
RTD7523672,06:58:00,06:58:00,12018513,1
RTD7523672,07:02:00,07:02:00,12018506,2
RTD7523672,07:04:00,07:04:00,12018521,3
RTD7523672,07:07:00,07:07:00,12018504,4
RTD7523672,07:09:00,07:09:00,12018502,5
RTD7523672,07:11:00,07:11:00,12018509,6
RTD7523672,07:12:00,07:12:00,12018533,7
RTD7523672,07:14:00,07:14:00,12018527,8
RTD7523672,07:15:00,07:15:00,12018518,9
RTD7523672,07:22:00,07:22:00,12018544,10
RTD7523672,07:28:00,07:28:00,12018524,11
RTD7523672,07:31:00,07:31:00,12018520,12
RTD7523672,07:35:00,07:35:00,12018510,13
RTD7523672,07:39:00,07:39:00,12018537,14
RTD7523672,07:42:00,07:42:00,12018507,15
RTD7523672,07:46:00,07:46:00,12018522,16
RTD7523672,07:50:00,07:50:00,12018539,17
RTD7523672,07:55:00,07:55:00,12018541,18
RTD7523672,08:01:00,08:01:00,12018519,19
RTD7523673,07:13:00,07:13:00,12018513,1
RTD7523673,07:17:00,07:17:00,12018506,2
RTD7523673,07:19:00,07:19:00,12018521,3
RTD7523673,07:22:00,07:22:00,12018504,4
RTD7523673,07:24:00,07:24:00,12018502,5
RTD7523673,07:26:00,07:26:00,12018509,6
RTD7523673,07:27:00,07:27:00,12018533,7
RTD7523673,07:29:00,07:29:00,12018527,8
RTD7523673,07:30:00,07:30:00,12018518,9
RTD7523673,07:37:00,07:37:00,12018544,10
RTD7523673,07:43:00,07:43:00,12018524,11
RTD7523673,07:46:00,07:46:00,12018520,12
