stop_id,stop_name,stop_lat,stop_lon,zone_id
12018501,"BART 12TH ST, OAKLAND CITY CENTER",37.803197,-122.271407,55490
12018502,BART 16TH ST MISSION,37.765184,-122.419321,55491
12018503,BART 19TH ST,37.807481,-122.268678,55492
12018504,BART 24TH ST MISSION,37.752393,-122.418106,55493
12018505,BART ASHBY,37.852916,-122.269759,55494
12018506,BART BALBOA PARK,37.721861,-122.447253,55495
12018507,BART BAYFAIR,37.697002,-122.126297,55496
12018508,BART CASTRO VALLEY,37.690787,-122.075437,55497
12018509,BART CIVIC CENTER,37.779424,-122.413457,55498
12018510,BART COLISEUM,37.753599,-122.196562,55499
12018511,BART COLMA,37.684633,-122.466057,55500
12018512,BART CONCORD,37.973231,-122.029037,55501
12018513,BART DALY CITY,37.706354,-122.468707,55502
12018514,BART DOWNTOWN BERKELEY,37.86969,-122.267836,55503
12018515,BART DUBLIN/PLEASANTON,37.701648,-121.898894,55504
12018516,BART EL CERRITO DEL NORTE,37.925021,-122.316681,55505
12018517,BART EL CERRITO PLAZA,37.902454,-122.298721,55506
12018518,BART EMBARCADERO,37.79288,-122.396534,55507
12018519,BART FREMONT,37.557439,-121.976444,55508
12018520,BART FRUITVALE,37.774899,-122.223901,55509
12018521,BART GLEN PARK,37.732964,-122.433915,55510
12018522,BART HAYWARD,37.669729,-122.086754,55511
12018523,BART LAFAYETTE,37.892981,-122.124495,55512
12018524,BART LAKE MERRITT,37.797345,-122.265668,55513
12018525,BART MACARTHUR,37.828781,-122.266925,55514
12018526,BART MILLBRAE,37.600038,-122.386381,55515
12018527,BART MONTGOMERY,37.78938,-122.401317,55516
12018528,BART NORTH BERKELEY,37.873793,-122.283266,55517
12018529,BART NORTH CONCORD,38.003038,-122.024462,55518
12169910,"BART OAKLAND INT'L AIRPORT",37.712972,-122.21244,55519
12018530,BART ORINDA,37.878258,-122.183462,55520
12018531,BART PITTSBURG/BAY POINT,38.018726,-121.944947,55521
12018532,BART PLEASANT HILL,37.928279,-122.055748,55522
12018533,BART POWELL,37.784975,-122.406781,55523
12018534,BART RICHMOND,37.936666,-122.352934,55524
12018535,BART ROCKRIDGE,37.84459,-122.251116,55525
12018536,BART SAN BRUNO,37.637508,-122.415937,55526
12018537,BART SAN LEANDRO,37.721801,-122.160456,55527
12018538,BART SFO,37.616028,-122.392015,55528
12018539,BART SOUTH HAYWARD,37.634371,-122.056972,55529
12018540,BART SOUTH SAN FRANCISCO,37.664238,-122.44371,55530
12018541,BART UNION CITY,37.590746,-122.017028,55531
12018542,BART WALNUT CREEK,37.905592,-122.067106,55532
12018543,BART WEST DUBLIN/PLEASANTON,37.699829,-121.927831,55533
12018544,BART WEST OAKLAND,37.804706,-122.29497,55534
