trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6765613,09:45:00,09:45:00,1091724,1
RTD6765613,10:45:00,10:45:00,1091727,2
RTD6765617,11:00:00,11:00:00,1091724,1
RTD6765617,11:25:00,11:25:00,1091727,2
RTD6765614,11:35:00,11:35:00,1091724,1
RTD6765614,12:00:00,12:00:00,1091727,2
RTD6765618,12:20:00,12:20:00,1091724,1
RTD6765618,12:45:00,12:45:00,1091727,2
RTD6765619,13:50:00,13:50:00,1091724,1
RTD6765619,14:15:00,14:15:00,1091727,2
RTD6765615,14:05:00,14:05:00,1091724,1
RTD6765615,14:30:00,14:30:00,1091727,2
RTD6765616,15:10:00,15:10:00,1091724,1
RTD6765616,15:40:00,15:40:00,1091727,2
RTD6765620,16:00:00,16:00:00,1091724,1
RTD6765620,16:25:00,16:25:00,1091727,2
RTD9041704,17:35:00,17:35:00,1091724,1
RTD9041704,18:00:00,18:00:00,1091727,2
RTD6816954,10:55:00,10:55:00,1091727,1
RTD6816954,11:20:00,11:20:00,1091724,2
RTD6816944,11:35:00,11:35:00,1091727,1
RTD6816944,12:15:00,12:15:00,1091724,2
RTD6816955,12:10:00,12:10:00,1091727,1
RTD6816955,13:05:00,13:05:00,1091724,2
RTD6816945,12:55:00,12:55:00,1091727,1
RTD6816945,13:45:00,13:45:00,1091724,2
RTD6816946,14:20:00,14:20:00,1091727,1
RTD6816946,15:15:00,15:15:00,1091724,2
RTD6816956,14:35:00,14:35:00,1091727,1
RTD6816956,15:50:00,15:50:00,1091724,2
RTD6816947,15:45:00,15:45:00,1091727,1
RTD6816947,16:10:00,16:10:00,1091724,2
RTD6816957,16:35:00,16:35:00,1091727,1
RTD6816957,17:25:00,17:25:00,1091724,2
RTD9041706,18:05:00,18:05:00,1091727,1
RTD9041706,18:55:00,18:55:00,1091724,2
RTD6816930,10:30:00,10:30:00,1091728,1
RTD6816930,11:20:00,11:20:00,1091724,2
RTD6816909,10:30:00,10:30:00,1091728,1
RTD6816909,10:55:00,10:55:00,1091724,2
RTD6816910,11:50:00,11:50:00,1091728,1
RTD6816910,12:15:00,12:15:00,1091724,2
RTD6816931,12:40:00,12:40:00,1091728,1
RTD6816931,13:05:00,13:05:00,1091724,2
RTD6816911,13:10:00,13:10:00,1091728,1
RTD6816911,13:45:00,13:45:00,1091724,2
RTD6816912,14:35:00,14:35:00,1091728,1
RTD6816912,15:15:00,15:15:00,1091724,2
RTD6816932,14:55:00,14:55:00,1091728,1
RTD6816932,15:50:00,15:50:00,1091724,2
RTD6816933,16:55:00,16:55:00,1091728,1
RTD6816933,17:25:00,17:25:00,1091724,2
RTD9041711,18:30:00,18:30:00,1091728,1
RTD9041711,18:55:00,18:55:00,1091724,2
RTD6765639,09:45:00,09:45:00,1091724,1
RTD6765639,10:25:00,10:25:00,1091728,2
RTD6765646,09:45:00,09:45:00,1091724,1
RTD6765646,10:25:00,10:25:00,1091728,2
RTD6765644,11:00:00,11:00:00,1091724,1
RTD6765644,11:45:00,11:45:00,1091728,2
RTD6765640,11:35:00,11:35:00,1091724,1
RTD6765640,12:30:00,12:30:00,1091728,2
RTD6765645,12:20:00,12:20:00,1091724,1
RTD6765645,13:05:00,13:05:00,1091728,2
RTD6919182,13:50:00,13:50:00,1091724,1
RTD6919182,14:30:00,14:30:00,1091728,2
RTD6765641,14:05:00,14:05:00,1091724,1
RTD6765641,14:50:00,14:50:00,1091728,2
RTD6814540,16:00:00,16:00:00,1091724,1
RTD6814540,16:50:00,16:50:00,1091728,2
RTD6765642,16:10:00,16:10:00,1091724,1
RTD6765642,16:50:00,16:50:00,1091728,2
RTD9041709,17:35:00,17:35:00,1091724,1
RTD9041709,18:20:00,18:20:00,1091728,2
RTD6765647,06:05:00,06:05:00,870003,1
RTD6765647,06:30:00,06:30:00,1091728,2
RTD6765648,07:10:00,07:10:00,870003,1
RTD6765648,07:35:00,07:35:00,1091728,2
RTD6765649,08:20:00,08:20:00,870003,1
RTD6765649,08:40:00,08:40:00,1091728,2
RTD6765653,16:25:00,16:25:00,870003,1
RTD6765653,16:50:00,16:50:00,1091728,2
RTD6765651,17:25:00,17:25:00,870003,1
RTD6765651,17:50:00,17:50:00,1091728,2
RTD6765652,18:30:00,18:30:00,870003,1
RTD6765652,18:55:00,18:55:00,1091728,2
RTD6765650,19:35:00,19:35:00,870003,1
RTD6765650,19:55:00,19:55:00,1091728,2
RTD6765654,05:35:00,05:35:00,1091728,1
RTD6765654,06:00:00,06:00:00,870003,2
RTD6765655,06:40:00,06:40:00,1091728,1
RTD6765655,07:05:00,07:05:00,870003,2
RTD6765656,07:50:00,07:50:00,1091728,1
RTD6765656,08:15:00,08:15:00,870003,2
RTD6765660,08:45:00,08:45:00,1091728,1
RTD6765660,09:10:00,09:10:00,870003,2
RTD6765658,16:55:00,16:55:00,1091728,1
RTD6765658,17:20:00,17:20:00,870003,2
RTD6765659,17:55:00,17:55:00,1091728,1
RTD6765659,18:20:00,18:20:00,870003,2
RTD6765657,19:05:00,19:05:00,1091728,1
RTD6765657,19:30:00,19:30:00,870003,2
RTD6822988,10:15:00,10:15:00,1091722,1
RTD6822988,10:55:00,10:55:00,1091724,2
RTD6765663,10:15:00,10:15:00,1091722,1
RTD6765663,11:20:00,11:20:00,1091724,2
RTD9041702,13:25:00,13:25:00,1091722,1
RTD9041702,13:45:00,13:45:00,1091724,2
RTD6765664,14:50:00,14:50:00,1091722,1
RTD6765664,15:15:00,15:15:00,1091724,2
RTD6765662,15:20:00,15:20:00,1091722,1
RTD6765662,15:50:00,15:50:00,1091724,2
RTD6765666,09:45:00,09:45:00,1091724,1
RTD6765666,10:10:00,10:10:00,1091722,2
RTD6765665,09:45:00,09:45:00,1091724,1
RTD6765665,10:10:00,10:10:00,1091722,2
