fare_id,price,currency_type,payment_method,transfers,transfer_duration
178795,2.00,USD,0,,7200
178796,2.00,USD,0,,7200
178797,2.00,USD,0,,7200
178798,2.00,USD,0,,7200
178799,2.00,USD,0,,7200
178800,2.00,USD,0,,7200
178801,2.00,USD,0,,7200
178802,2.00,USD,0,,7200
178803,2.00,USD,0,,7200
178804,2.00,USD,0,,7200
178805,2.00,USD,0,,7200
178806,2.00,USD,0,,7200
178807,2.00,USD,0,,7200
178808,2.00,USD,0,,7200
178809,0.00,USD,0,,7200
178810,2.00,USD,0,,7200
178811,2.00,USD,0,,7200
178812,2.00,USD,0,,7200
178813,2.00,USD,0,,7200
178814,2.00,USD,0,,7200
178815,2.00,USD,0,,7200
178816,2.00,USD,0,,7200
178817,2.00,USD,0,,7200
178818,2.00,USD,0,,7200
178819,2.00,USD,0,,7200
178820,2.00,USD,0,,7200
178821,2.00,USD,0,,7200
178822,2.00,USD,0,,7200
178823,0.00,USD,0,,7200
178824,0.00,USD,0,,7200
178825,2.00,USD,0,,7200
178826,0.00,USD,0,,7200
178827,2.00,USD,0,,7200
178828,2.25,USD,0,,7200
178829,2.25,USD,0,,7200
178830,2.25,USD,0,,7200
178831,2.25,USD,0,,7200
178832,2.25,USD,0,,7200
178833,2.25,USD,0,,7200
178834,2.25,USD,0,,7200
178835,0.00,USD,0,,7200
