stop_id,stop_name,stop_lat,stop_lon,zone_id
2218,1021 Arnold Dr,37.996033,-122.109919,
704,1026 Mohr Ln,37.94527,-122.044433,
569,1200 Concord Ave,37.980693,-122.053603,
1783,1301 Montego,37.90891,-122.047591,
1990,1321 Galindo St,37.971269,-122.032606,
1758,1347 Locust St,37.898039,-122.061779,
1863,1357 Oakland Blvd,37.896987,-122.070261,
2176,1370 Monument Blvd,37.950756,-122.046807,
955,1401 Danville Blvd,37.845128,-122.028867,
1824,141 N Civic Dr,37.908713,-122.058717,
1739,1459 Creekside Dr,37.885111,-122.051349,
1952,1461 Concord Ave,37.979718,-122.046372,
1786,1485 Montego,37.910252,-122.042173,
1362,"1500 St Mary's Rd",37.841277,-122.122449,
1365,"1500 St Mary's Rd",37.841751,-122.121762,
1063,1700 Tice Valley Blvd,37.883338,-122.077207,
852,1750 West St,37.976678,-121.991732,
1547,181 Viking Dr,37.966388,-122.067028,
1933,1895 Ygnacio Valley Rd,37.918115,-122.038566,
2085,1924 Trinity Ave,37.901468,-122.068431,
2084,1924 Trinity Ave,37.901316,-122.068684,
2159,1935 Arnold Industrial Way,38.004185,-122.042426,
2160,1935 Arnold Industrial Way,38.003998,-122.042494,
764,1939 Parkside Dr,37.98074,-122.025272,
765,1950 Parkside Dr,37.980847,-122.025088,
1899,1963 Tice Valley Blvd,37.876678,-122.072513,
1383,196 Moraga Way,37.866049,-122.175478,
2011,1970 Diamond Blvd,37.970512,-122.054727,
753,1970 Olivera Rd,37.998825,-122.051306,
1455,1972 Contra Costa Blvd,37.949121,-122.05997,
2009,2001 Diamond Blvd,37.973115,-122.057385,
1445,200 Coggins Dr,37.933089,-122.058052,
1546,201 Viking Dr,37.965842,-122.069004,
482,2047 Arnold Industrial Way,38.006901,-122.037439,
2141,2067 Ygnacio Valley Rd,37.921126,-122.032896,
2184,20709 San Ramon Valley Blvd,37.731666,-121.947363,
2012,2070 Diamond Blvd,37.973695,-122.057443,
484,2099 Arnold Industrial Way,38.006982,-122.036933,
