route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
10,73056,21001007,BART Concord,0,,,
10,73057,21002008,BART Concord,0,,,
10,73058,21003009,BART Concord,0,,,
10,73056,21001010,BART Concord,0,,,
10,73057,21002011,BART Concord,0,,,
10,73058,21003012,BART Concord,0,,,
10,73056,21001013,BART Concord,0,,,
10,73057,21002014,BART Concord,0,,,
10,73058,21003015,BART Concord,0,,,
10,73056,21001016,BART Concord,0,,,
10,73057,21002017,BART Concord,0,,,
10,73058,21003018,BART Concord,0,,,
10,73058,21003021,BART Concord,0,,,
10,73056,21001019,BART Concord,0,,,
10,73057,21002020,BART Concord,0,,,
10,73056,21001022,BART Concord,0,,,
10,73057,21002023,BART Concord,0,,,
10,73058,21003024,BART Concord,0,,,
10,73056,21001025,BART Concord,0,,,
10,73057,21002026,BART Concord,0,,,
10,73058,21003027,BART Concord,0,,,
10,73058,21003030,BART Concord,0,,,
10,73056,21001028,BART Concord,0,,,
10,73057,21002029,BART Concord,0,,,
10,73058,21003033,BART Concord,0,,,
10,73057,21002032,BART Concord,0,,,
10,73056,21001031,BART Concord,0,,,
10,73056,21001034,BART Concord,0,,,
10,73057,21002035,BART Concord,0,,,
10,73058,21003036,BART Concord,0,,,
10,73056,21001037,BART Concord,0,,,
10,73057,21002038,BART Concord,0,,,
10,73058,21003039,BART Concord,0,,,
10,73056,21001040,BART Concord,0,,,
10,73057,21002041,BART Concord,0,,,
10,73058,21003042,BART Concord,0,,,
10,73057,21002044,BART Concord,0,,,
10,73058,21003045,BART Concord,0,,,
10,73056,21001043,BART Concord,0,,,
10,73056,21001046,BART Concord,0,,,
10,73057,21002047,BART Concord,0,,,
10,73058,21003048,BART Concord,0,,,
10,73056,21001049,BART Concord,0,,,
10,73057,21002050,BART Concord,0,,,
10,73058,21003051,BART Concord,0,,,
10,73056,21001052,BART Concord,0,,,
10,73057,21002053,BART Concord,0,,,
10,73058,21003054,BART Concord,0,,,
10,73058,21003057,BART Concord,0,,,
10,73056,21001055,BART Concord,0,,,
10,73057,21002056,BART Concord,0,,,
10,73057,21002059,BART Concord,0,,,
10,73058,21003060,BART Concord,0,,,
10,73056,21001058,BART Concord,0,,,
10,73056,21001061,BART Concord,0,,,
10,73057,21002062,BART Concord,0,,,
10,73058,21003063,BART Concord,0,,,
10,73056,21001064,BART Concord,0,,,
10,73057,21002065,BART Concord,0,,,
10,73058,21003066,BART Concord,0,,,
10,73056,21001067,BART Concord,0,,,
10,73057,21002068,BART Concord,0,,,
10,73058,21003069,BART Concord,0,,,
10,73057,21002071,BART Concord,0,,,
10,73058,21003072,BART Concord,0,,,
10,73056,21001070,BART Concord,0,,,
10,73056,21001073,BART Concord,0,,,
10,73057,21002074,BART Concord,0,,,
10,73058,21003075,BART Concord,0,,,
10,73056,21001076,BART Concord,0,,,
10,73057,21002077,BART Concord,0,,,
10,73058,21003078,BART Concord,0,,,
10,73056,21001079,BART Concord,0,,,
10,73057,21002080,BART Concord,0,,,
10,73058,21003081,BART Concord,0,,,
10,73058,21003084,BART Concord,0,,,
10,73056,21001082,BART Concord,0,,,
10,73057,21002083,BART Concord,0,,,
10,73058,21003087,BART Concord,0,,,
10,73056,21001085,BART Concord,0,,,
10,73057,21002086,BART Concord,0,,,
10,73056,21001088,BART Concord,0,,,
10,73057,21002089,BART Concord,0,,,
10,73058,21003090,BART Concord,0,,,
10,73056,21001091,BART Concord,0,,,
10,73057,21002092,BART Concord,0,,,
10,73058,21003093,BART Concord,0,,,
10,73056,21001094,BART Concord,0,,,
10,73057,21002095,BART Concord,0,,,
10,73058,21003096,BART Concord,0,,,
10,73058,21003099,BART Concord,0,,,
10,73056,21001097,BART Concord,0,,,
10,73057,21002098,BART Concord,0,,,
10,73056,21001100,BART Concord,0,,,
10,73057,21002101,BART Concord,0,,,
10,73058,21003102,BART Concord,0,,,
10,73056,21001103,BART Concord,0,,,
10,73057,21002104,BART Concord,0,,,
10,73058,21003105,BART Concord,0,,,
10,73057,21002107,BART Concord,0,,,
10,73056,21001106,BART Concord,0,,,
10,73058,21003108,BART Concord,0,,,
10,73057,21002110,BART Concord,0,,,
10,73056,21001109,BART Concord,0,,,
10,73058,21003111,BART Concord,0,,,
10,73057,21002113,BART Concord,0,,,
10,73056,21001112,BART Concord,0,,,
10,73058,21003114,BART Concord,0,,,
10,73056,21001001,BART Concord,0,,,
10,73057,21002002,BART Concord,0,,,
10,73058,21003003,BART Concord,0,,,
10,73056,21001004,BART Concord,0,,,
10,73057,21002005,BART Concord,0,,,
10,73058,21003006,BART Concord,0,,,
10,73056,21001115,BART Concord,0,,,
10,73057,21002116,BART Concord,0,,,
10,73058,21003117,BART Concord,0,,,
10,73056,21001118,BART Concord,0,,,
10,73057,21002119,BART Concord,0,,,
10,73058,21003120,BART Concord,0,,,
10,73056,21001121,BART Concord,0,,,
10,73057,21002122,BART Concord,0,,,
10,73058,21003123,BART Concord,0,,,
