route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
LOCAL,72981,454,DIRIDON STATION,0,,,454
LOCAL,72982,422,DIRIDON STATION,0,,,422
LOCAL,72982,424,DIRIDON STATION,0,,,424
LOCAL,72982,426,DIRIDON STATION,0,,,426
LOCAL,72982,428,DIRIDON STATION,0,,,428
LOCAL,72982,430,DIRIDON STATION,0,,,430
LOCAL,72982,432,DIRIDON STATION,0,,,432
LOCAL,72982,434,DIRIDON STATION,0,,,434
LOCAL,72982,436,DIRIDON STATION,0,,,436
LOCAL,72982,438,DIRIDON STATION,0,,,438
LOCAL,72982,440,DIRIDON STATION,0,,,440
LOCAL,72982,442,DIRIDON STATION,0,,,442
LOCAL,72982,444,DIRIDON STATION,0,,,444
LOCAL,72982,446,DIRIDON STATION,0,,,446
LOCAL,72982,448,DIRIDON STATION,0,,,448
LOCAL,72981,450,DIRIDON STATION,0,,,450
LOCAL,72985,454SF,DIRIDON STATION,0,,,
LOCAL,72985,422SF,DIRIDON STATION,0,,,
LOCAL,72985,424SF,DIRIDON STATION,0,,,
LOCAL,72985,426SF,DIRIDON STATION,0,,,
LOCAL,72985,428SF,DIRIDON STATION,0,,,
LOCAL,72985,430SF,DIRIDON STATION,0,,,
LOCAL,72985,432SF,DIRIDON STATION,0,,,
LOCAL,72985,434SF,DIRIDON STATION,0,,,
LOCAL,72985,436SF,DIRIDON STATION,0,,,
LOCAL,72985,438SF,DIRIDON STATION,0,,,
LOCAL,72985,440SF,DIRIDON STATION,0,,,
LOCAL,72985,442SF,DIRIDON STATION,0,,,
LOCAL,72985,444SF,DIRIDON STATION,0,,,
LOCAL,72985,446SF,DIRIDON STATION,0,,,
LOCAL,72985,448SF,DIRIDON STATION,0,,,
LOCAL,72985,450SF,DIRIDON STATION,0,,,
LOCAL,72985,421SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,423SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,425SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,427SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,429SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,431SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,433SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,435SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,437SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,439SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,441SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,443SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,445SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,447SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,449SF,SAN FRANCISCO STATION,1,,,
LOCAL,72985,451SF,SAN FRANCISCO STATION,1,,,
LOCAL,72983,452A,DIRIDON STATION,0,,,
LOCAL,72983,422A,DIRIDON STATION,0,,,
LOCAL,72983,424A,DIRIDON STATION,0,,,
LOCAL,72983,426A,DIRIDON STATION,0,,,
LOCAL,72983,428A,DIRIDON STATION,0,,,
LOCAL,72983,430A,DIRIDON STATION,0,,,
LOCAL,72983,432A,DIRIDON STATION,0,,,
LOCAL,72983,434A,DIRIDON STATION,0,,,
LOCAL,72983,436A,DIRIDON STATION,0,,,
LOCAL,72983,438A,DIRIDON STATION,0,,,
LOCAL,72983,440A,DIRIDON STATION,0,,,
LOCAL,72983,442A,DIRIDON STATION,0,,,
LOCAL,72983,444A,DIRIDON STATION,0,,,
LOCAL,72983,446A,DIRIDON STATION,0,,,
LOCAL,72983,448A,DIRIDON STATION,0,,,
LOCAL,72983,450A,DIRIDON STATION,0,,,
LOCAL,72983,421B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,423B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,425B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,427B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,429B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,431B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,433B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,435B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,437B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,439B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,441B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,443B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,445B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,447B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,449B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,451B,SAN FRANCISCO STATION,1,,,
LOCAL,72983,421A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,423A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,425A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,427A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,429A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,431A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,433A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,435A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,437A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,439A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,441A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,443A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,445A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,447A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,449A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,451A,SAN FRANCISCO STATION,1,,,
LOCAL,72983,452B,DIRIDON STATION,0,,,
LOCAL,72983,422B,DIRIDON STATION,0,,,
LOCAL,72983,424B,DIRIDON STATION,0,,,
LOCAL,72983,426B,DIRIDON STATION,0,,,
LOCAL,72983,428B,DIRIDON STATION,0,,,
LOCAL,72983,430B,DIRIDON STATION,0,,,
