trip_id,arrival_time,departure_time,stop_id,stop_sequence
4772709-1608FA-DBDB1-Weekday-01,11:38:00,11:38:00,50782,1
4772709-1608FA-DBDB1-Weekday-01,,,53338,2
4772709-1608FA-DBDB1-Weekday-01,,,55877,3
4772709-1608FA-DBDB1-Weekday-01,,,55295,4
4772709-1608FA-DBDB1-Weekday-01,,,50252,5
4772709-1608FA-DBDB1-Weekday-01,,,55120,6
4772709-1608FA-DBDB1-Weekday-01,,,51561,7
4772709-1608FA-DBDB1-Weekday-01,,,55056,8
4772709-1608FA-DBDB1-Weekday-01,,,52911,9
4772709-1608FA-DBDB1-Weekday-01,11:53:00,11:53:00,51397,10
4772709-1608FA-DBDB1-Weekday-01,,,57761,11
4772709-1608FA-DBDB1-Weekday-01,,,51449,12
4772709-1608FA-DBDB1-Weekday-01,,,55804,13
4772709-1608FA-DBDB1-Weekday-01,12:25:00,12:25:00,55184,14
4772709-1608FA-DBDB1-Weekday-01,,,50854,15
4772709-1608FA-DBDB1-Weekday-01,,,51854,16
4772709-1608FA-DBDB1-Weekday-01,,,56494,17
4772709-1608FA-DBDB1-Weekday-01,,,58054,18
4772709-1608FA-DBDB1-Weekday-01,,,58108,19
4772709-1608FA-DBDB1-Weekday-01,12:37:00,12:37:00,55303,20
4772711-1608FA-DBDB1-Weekday-01,12:35:00,12:35:00,50782,1
4772711-1608FA-DBDB1-Weekday-01,,,53338,2
4772711-1608FA-DBDB1-Weekday-01,,,55877,3
4772711-1608FA-DBDB1-Weekday-01,,,55295,4
4772711-1608FA-DBDB1-Weekday-01,,,50252,5
4772711-1608FA-DBDB1-Weekday-01,,,55120,6
4772711-1608FA-DBDB1-Weekday-01,,,51561,7
4772711-1608FA-DBDB1-Weekday-01,,,55056,8
4772711-1608FA-DBDB1-Weekday-01,,,52911,9
4772711-1608FA-DBDB1-Weekday-01,12:50:00,12:50:00,51397,10
4772711-1608FA-DBDB1-Weekday-01,,,57761,11
4772711-1608FA-DBDB1-Weekday-01,,,51449,12
4772711-1608FA-DBDB1-Weekday-01,,,55804,13
4772711-1608FA-DBDB1-Weekday-01,13:22:00,13:22:00,55184,14
4772711-1608FA-DBDB1-Weekday-01,,,50854,15
4772711-1608FA-DBDB1-Weekday-01,,,51854,16
4772711-1608FA-DBDB1-Weekday-01,,,56494,17
4772711-1608FA-DBDB1-Weekday-01,,,58054,18
4772711-1608FA-DBDB1-Weekday-01,,,58108,19
4772711-1608FA-DBDB1-Weekday-01,13:34:00,13:34:00,55303,20
4772671-1608FA-DBDB1-Weekday-01,13:35:00,13:35:00,50782,1
4772671-1608FA-DBDB1-Weekday-01,,,53338,2
4772671-1608FA-DBDB1-Weekday-01,,,55877,3
4772671-1608FA-DBDB1-Weekday-01,,,55295,4
4772671-1608FA-DBDB1-Weekday-01,,,50252,5
4772671-1608FA-DBDB1-Weekday-01,,,55120,6
4772671-1608FA-DBDB1-Weekday-01,,,51561,7
4772671-1608FA-DBDB1-Weekday-01,,,55056,8
4772671-1608FA-DBDB1-Weekday-01,,,52911,9
4772671-1608FA-DBDB1-Weekday-01,13:45:00,13:45:00,51397,10
4772671-1608FA-DBDB1-Weekday-01,,,57761,11
4772671-1608FA-DBDB1-Weekday-01,,,51449,12
4772671-1608FA-DBDB1-Weekday-01,,,55804,13
4772671-1608FA-DBDB1-Weekday-01,14:13:00,14:13:00,55184,14
4772671-1608FA-DBDB1-Weekday-01,,,50854,15
4772671-1608FA-DBDB1-Weekday-01,,,51854,16
4772671-1608FA-DBDB1-Weekday-01,,,56494,17
4772671-1608FA-DBDB1-Weekday-01,,,58054,18
4772671-1608FA-DBDB1-Weekday-01,,,58108,19
4772671-1608FA-DBDB1-Weekday-01,14:25:00,14:25:00,55303,20
4772672-1608FA-DBDB1-Weekday-01,14:45:00,14:45:00,50782,1
4772672-1608FA-DBDB1-Weekday-01,,,53338,2
4772672-1608FA-DBDB1-Weekday-01,,,55877,3
4772672-1608FA-DBDB1-Weekday-01,,,55295,4
4772672-1608FA-DBDB1-Weekday-01,,,50252,5
4772672-1608FA-DBDB1-Weekday-01,,,55120,6
4772672-1608FA-DBDB1-Weekday-01,,,51561,7
4772672-1608FA-DBDB1-Weekday-01,,,55056,8
4772672-1608FA-DBDB1-Weekday-01,,,52911,9
4772672-1608FA-DBDB1-Weekday-01,14:55:00,14:55:00,51397,10
4772672-1608FA-DBDB1-Weekday-01,,,57761,11
4772672-1608FA-DBDB1-Weekday-01,,,51449,12
4772672-1608FA-DBDB1-Weekday-01,,,55804,13
4772672-1608FA-DBDB1-Weekday-01,15:23:00,15:23:00,55184,14
4772672-1608FA-DBDB1-Weekday-01,,,50854,15
4772672-1608FA-DBDB1-Weekday-01,,,51854,16
4772672-1608FA-DBDB1-Weekday-01,,,56494,17
4772672-1608FA-DBDB1-Weekday-01,,,58054,18
4772672-1608FA-DBDB1-Weekday-01,,,58108,19
4772672-1608FA-DBDB1-Weekday-01,15:35:00,15:35:00,55303,20
4772673-1608FA-DBDB1-Weekday-01,15:25:00,15:25:00,50782,1
4772673-1608FA-DBDB1-Weekday-01,,,53338,2
4772673-1608FA-DBDB1-Weekday-01,,,55877,3
4772673-1608FA-DBDB1-Weekday-01,,,55295,4
4772673-1608FA-DBDB1-Weekday-01,,,50252,5
4772673-1608FA-DBDB1-Weekday-01,,,55120,6
4772673-1608FA-DBDB1-Weekday-01,,,51561,7
4772673-1608FA-DBDB1-Weekday-01,,,55056,8
4772673-1608FA-DBDB1-Weekday-01,,,52911,9
4772673-1608FA-DBDB1-Weekday-01,15:35:00,15:35:00,51397,10
4772673-1608FA-DBDB1-Weekday-01,,,57761,11
4772673-1608FA-DBDB1-Weekday-01,,,51449,12
4772673-1608FA-DBDB1-Weekday-01,,,55804,13
4772673-1608FA-DBDB1-Weekday-01,16:03:00,16:03:00,55184,14
4772673-1608FA-DBDB1-Weekday-01,,,50854,15
4772673-1608FA-DBDB1-Weekday-01,,,51854,16
4772673-1608FA-DBDB1-Weekday-01,,,56494,17
4772673-1608FA-DBDB1-Weekday-01,,,58054,18
4772673-1608FA-DBDB1-Weekday-01,,,58108,19
4772673-1608FA-DBDB1-Weekday-01,16:14:00,16:14:00,55303,20
4772674-1608FA-DBDB1-Weekday-01,15:52:00,15:52:00,50782,1
4772674-1608FA-DBDB1-Weekday-01,,,53338,2
4772674-1608FA-DBDB1-Weekday-01,,,55877,3
4772674-1608FA-DBDB1-Weekday-01,,,55295,4
4772674-1608FA-DBDB1-Weekday-01,,,50252,5
4772674-1608FA-DBDB1-Weekday-01,,,55120,6
4772674-1608FA-DBDB1-Weekday-01,,,51561,7
4772674-1608FA-DBDB1-Weekday-01,,,55056,8
4772674-1608FA-DBDB1-Weekday-01,,,52911,9
4772674-1608FA-DBDB1-Weekday-01,16:02:00,16:02:00,51397,10
4772674-1608FA-DBDB1-Weekday-01,,,57761,11
4772674-1608FA-DBDB1-Weekday-01,,,51449,12
4772674-1608FA-DBDB1-Weekday-01,,,55804,13
4772674-1608FA-DBDB1-Weekday-01,16:30:00,16:30:00,55184,14
4772674-1608FA-DBDB1-Weekday-01,,,50854,15
4772674-1608FA-DBDB1-Weekday-01,,,51854,16
4772674-1608FA-DBDB1-Weekday-01,,,56494,17
4772674-1608FA-DBDB1-Weekday-01,,,58054,18
4772674-1608FA-DBDB1-Weekday-01,,,58108,19
4772674-1608FA-DBDB1-Weekday-01,16:41:00,16:41:00,55303,20
4772675-1608FA-DBDB1-Weekday-01,16:13:00,16:13:00,50782,1
4772675-1608FA-DBDB1-Weekday-01,,,53338,2
4772675-1608FA-DBDB1-Weekday-01,,,55877,3
4772675-1608FA-DBDB1-Weekday-01,,,55295,4
4772675-1608FA-DBDB1-Weekday-01,,,50252,5
4772675-1608FA-DBDB1-Weekday-01,,,55120,6
4772675-1608FA-DBDB1-Weekday-01,,,51561,7
4772675-1608FA-DBDB1-Weekday-01,,,55056,8
4772675-1608FA-DBDB1-Weekday-01,,,52911,9
