route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
DB1,72781,4772709-1608FA-DBDB1-Weekday-01,Westbound,0,676421,DB10038,
DB1,72781,4772711-1608FA-DBDB1-Weekday-01,Westbound,0,676422,DB10038,
DB1,72781,4772671-1608FA-DBDB1-Weekday-01,Westbound,0,676403,DB10038,
DB1,72781,4772672-1608FA-DBDB1-Weekday-01,Westbound,0,676416,DB10038,
DB1,72781,4772673-1608FA-DBDB1-Weekday-01,Westbound,0,676417,DB10038,
DB1,72781,4772674-1608FA-DBDB1-Weekday-01,Westbound,0,676403,DB10038,
DB1,72781,4772675-1608FA-DBDB1-Weekday-01,Westbound,0,676404,DB10038,
DB1,72781,4772676-1608FA-DBDB1-Weekday-01,Westbound,0,676406,DB10038,
DB1,72781,4772677-1608FA-DBDB1-Weekday-01,Westbound,0,676418,DB10038,
DB1,72781,4772678-1608FA-DBDB1-Weekday-01,Westbound,0,676416,DB10038,
DB1,72781,4772679-1608FA-DBDB1-Weekday-01,Westbound,0,676419,DB10038,
DB1,72781,4772680-1608FA-DBDB1-Weekday-01,Westbound,0,676417,DB10038,
DB1,72781,4772681-1608FA-DBDB1-Weekday-01,Westbound,0,676403,DB10038,
DB1,72781,4772682-1608FA-DBDB1-Weekday-01,Westbound,0,676404,DB10038,
DB1,72781,4772618-1608FA-DBDB1-Weekday-01,Westbound,0,676408,DB10039,
DB1,72781,4772667-1608FA-DBDB1-Weekday-01,Westbound,0,676409,DB10039,
DB1,72781,4772619-1608FA-DBDB1-Weekday-01,Westbound,0,676410,DB10039,
DB1,72781,4772620-1608FA-DBDB1-Weekday-01,Westbound,0,676412,DB10039,
DB1,72781,4772621-1608FA-DBDB1-Weekday-01,Westbound,0,676414,DB10039,
DB1,72781,4772666-1608FA-DBDB1-Weekday-01,Westbound,0,676407,DB10039,
DB1,72781,4772653-1608FA-DBDB1-Weekday-01,Westbound,0,676409,DB10039,
DB1,72781,4772668-1608FA-DBDB1-Weekday-01,Westbound,0,676410,DB10039,
DB1,72781,4772669-1608FA-DBDB1-Weekday-01,Westbound,0,676412,DB10039,
DB1,72781,4772670-1608FA-DBDB1-Weekday-01,Westbound,0,676413,DB10039,
DB1,72781,4772705-1608FA-DBDB1-Weekday-01,Westbound,0,676407,DB10039,
DB1,72781,4772707-1608FA-DBDB1-Weekday-01,Westbound,0,676413,DB10039,
DB1,72781,4772710-1608FA-DBDB1-Weekday-01,Eastbound,1,676421,DB10037,
DB1,72781,4789503-1608FA-DBDB1-Weekday-01,Eastbound,1,676422,DB10037,
DB1,72781,4772691-1608FA-DBDB1-Weekday-01,Eastbound,1,676403,DB10037,
DB1,72781,4772692-1608FA-DBDB1-Weekday-01,Eastbound,1,676404,DB10037,
DB1,72781,4772631-1608FA-DBDB1-Weekday-01,Eastbound,1,676406,DB10037,
DB1,72781,4772630-1608FA-DBDB1-Weekday-01,Eastbound,1,676418,DB10037,
DB1,72781,4772687-1608FA-DBDB1-Weekday-01,Eastbound,1,676416,DB10037,
DB1,72781,4772633-1608FA-DBDB1-Weekday-01,Eastbound,1,676419,DB10037,
DB1,72781,4772649-1608FA-DBDB1-Weekday-01,Eastbound,1,676417,DB10037,
DB1,72781,4772634-1608FA-DBDB1-Weekday-01,Eastbound,1,676403,DB10037,
DB1,72781,4772693-1608FA-DBDB1-Weekday-01,Eastbound,1,676404,DB10037,
DB1,72781,4772635-1608FA-DBDB1-Weekday-01,Eastbound,1,676406,DB10037,
DB1,72781,4772694-1608FA-DBDB1-Weekday-01,Eastbound,1,676418,DB10037,
DB1,72781,4772695-1608FA-DBDB1-Weekday-01,Eastbound,1,676416,DB10037,
DB1,72781,4772636-1608FA-DBDB1-Weekday-01,Eastbound,1,676419,DB10037,
DB1,72781,4772696-1608FA-DBDB1-Weekday-01,Eastbound,1,676417,DB10037,
DB1,72781,4772700-1608FA-DBDB1-Weekday-01,Eastbound,1,676403,DB10037,
DB1,72781,4772699-1608FA-DBDB1-Weekday-01,Eastbound,1,676404,DB10037,
DB1,72781,4772683-1608FA-DBDB1-Weekday-01,Eastbound,1,676408,DB10036,
DB1,72781,4772684-1608FA-DBDB1-Weekday-01,Eastbound,1,676409,DB10036,
DB1,72781,4772685-1608FA-DBDB1-Weekday-01,Eastbound,1,676410,DB10036,
DB1,72781,4772686-1608FA-DBDB1-Weekday-01,Eastbound,1,676412,DB10036,
DB1,72781,4772688-1608FA-DBDB1-Weekday-01,Eastbound,1,676414,DB10036,
DB1,72781,4772689-1608FA-DBDB1-Weekday-01,Eastbound,1,676407,DB10036,
DB1,72781,4772690-1608FA-DBDB1-Weekday-01,Eastbound,1,676409,DB10036,
DB1,72781,4772704-1608FA-DBDB1-Weekday-01,Eastbound,1,676412,DB10036,
