trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6211167,06:40:00,06:40:00,1081111,1
RTD6211167,06:44:00,06:44:00,1187124,2
RTD6211167,06:47:00,06:47:00,1081099,3
RTD6211167,06:50:00,06:50:00,1081088,4
RTD6211167,06:53:00,06:53:00,1187122,5
RTD6211167,06:56:00,06:56:00,1187123,6
RTD6211167,07:01:00,07:01:00,1081112,7
RTD6211168,07:05:00,07:05:00,1081111,1
RTD6211168,07:09:00,07:09:00,1187124,2
RTD6211168,07:12:00,07:12:00,1081099,3
RTD6211168,07:15:00,07:15:00,1081088,4
RTD6211168,07:18:00,07:18:00,1187122,5
RTD6211168,07:21:00,07:21:00,1187123,6
RTD6211168,07:26:00,07:26:00,1081112,7
RTD6211169,07:35:00,07:35:00,1081111,1
RTD6211169,07:39:00,07:39:00,1187124,2
RTD6211169,07:42:00,07:42:00,1081099,3
RTD6211169,07:45:00,07:45:00,1081088,4
RTD6211169,07:48:00,07:48:00,1187122,5
RTD6211169,07:51:00,07:51:00,1187123,6
RTD6211169,07:56:00,07:56:00,1081112,7
RTD6211170,08:05:00,08:05:00,1081111,1
RTD6211170,08:09:00,08:09:00,1187124,2
RTD6211170,08:12:00,08:12:00,1081099,3
RTD6211170,08:15:00,08:15:00,1081088,4
RTD6211170,08:18:00,08:18:00,1187122,5
RTD6211170,08:21:00,08:21:00,1187123,6
RTD6211170,08:26:00,08:26:00,1081112,7
RTD6211171,08:35:00,08:35:00,1081111,1
RTD6211171,08:39:00,08:39:00,1187124,2
RTD6211171,08:42:00,08:42:00,1081099,3
RTD6211171,08:45:00,08:45:00,1081088,4
RTD6211171,08:48:00,08:48:00,1187122,5
RTD6211171,08:51:00,08:51:00,1187123,6
RTD6211171,08:56:00,08:56:00,1081112,7
RTD6211172,09:05:00,09:05:00,1081111,1
RTD6211172,09:09:00,09:09:00,1187124,2
RTD6211172,09:12:00,09:12:00,1081099,3
RTD6211172,09:15:00,09:15:00,1081088,4
RTD6211172,09:18:00,09:18:00,1187122,5
RTD6211172,09:21:00,09:21:00,1187123,6
RTD6211172,09:26:00,09:26:00,1081112,7
RTD6211173,09:35:00,09:35:00,1081111,1
RTD6211173,09:39:00,09:39:00,1187124,2
RTD6211173,09:42:00,09:42:00,1081099,3
RTD6211173,09:45:00,09:45:00,1081088,4
RTD6211173,09:48:00,09:48:00,1187122,5
RTD6211173,09:51:00,09:51:00,1187123,6
RTD6211173,09:56:00,09:56:00,1081112,7
RTD6211174,15:20:00,15:20:00,1081111,1
RTD6211174,15:24:00,15:24:00,1187124,2
RTD6211174,15:27:00,15:27:00,1081099,3
RTD6211174,15:30:00,15:30:00,1081088,4
RTD6211174,15:33:00,15:33:00,1187122,5
RTD6211174,15:36:00,15:36:00,1187123,6
RTD6211174,15:41:00,15:41:00,1081112,7
RTD6211175,15:47:00,15:47:00,1081111,1
RTD6211175,15:51:00,15:51:00,1187124,2
RTD6211175,15:54:00,15:54:00,1081099,3
RTD6211175,15:57:00,15:57:00,1081088,4
RTD6211175,16:00:00,16:00:00,1187122,5
RTD6211175,16:03:00,16:03:00,1187123,6
RTD6211175,16:08:00,16:08:00,1081112,7
RTD6211176,16:18:00,16:18:00,1081111,1
RTD6211176,16:22:00,16:22:00,1187124,2
RTD6211176,16:25:00,16:25:00,1081099,3
RTD6211176,16:28:00,16:28:00,1081088,4
RTD6211176,16:31:00,16:31:00,1187122,5
RTD6211176,16:34:00,16:34:00,1187123,6
RTD6211176,16:39:00,16:39:00,1081112,7
RTD6211177,16:48:00,16:48:00,1081111,1
RTD6211177,16:52:00,16:52:00,1187124,2
RTD6211177,16:55:00,16:55:00,1081099,3
RTD6211177,16:58:00,16:58:00,1081088,4
RTD6211177,17:01:00,17:01:00,1187122,5
RTD6211177,17:04:00,17:04:00,1187123,6
RTD6211177,17:09:00,17:09:00,1081112,7
RTD6211178,17:18:00,17:18:00,1081111,1
RTD6211178,17:22:00,17:22:00,1187124,2
RTD6211178,17:25:00,17:25:00,1081099,3
RTD6211178,17:28:00,17:28:00,1081088,4
RTD6211178,17:31:00,17:31:00,1187122,5
RTD6211178,17:34:00,17:34:00,1187123,6
RTD6211178,17:39:00,17:39:00,1081112,7
RTD6211179,17:46:00,17:46:00,1081111,1
RTD6211179,17:50:00,17:50:00,1187124,2
RTD6211179,17:53:00,17:53:00,1081099,3
RTD6211179,17:56:00,17:56:00,1081088,4
RTD6211179,17:59:00,17:59:00,1187122,5
RTD6211179,18:02:00,18:02:00,1187123,6
RTD6211179,18:07:00,18:07:00,1081112,7
RTD6211180,18:18:00,18:18:00,1081111,1
RTD6211180,18:22:00,18:22:00,1187124,2
RTD6211180,18:25:00,18:25:00,1081099,3
RTD6211180,18:28:00,18:28:00,1081088,4
RTD6211180,18:31:00,18:31:00,1187122,5
RTD6211180,18:34:00,18:34:00,1187123,6
RTD6211180,18:39:00,18:39:00,1081112,7
RTD6211181,18:45:00,18:45:00,1081111,1
RTD6211181,18:49:00,18:49:00,1187124,2
RTD6211181,18:52:00,18:52:00,1081099,3
RTD6211181,18:55:00,18:55:00,1081088,4
RTD6211181,18:58:00,18:58:00,1187122,5
RTD6211181,19:01:00,19:01:00,1187123,6
RTD6211181,19:06:00,19:06:00,1081112,7
RTD6211973,05:45:00,05:45:00,1081111,1
RTD6211973,,,1081108,2
RTD6211973,05:49:00,05:49:00,1187124,3
RTD6211973,,,1081098,4
RTD6211973,05:52:00,05:52:00,1081099,5
RTD6211973,,,1081122,6
RTD6211973,05:55:00,05:55:00,1081088,7
RTD6211973,,,1081101,8
RTD6211973,,,1081104,9
RTD6211973,05:58:00,05:58:00,1081106,10
RTD6211973,06:03:00,06:03:00,1187101,11
RTD6211973,,,1081134,12
RTD6211973,06:08:00,06:08:00,1187102,13
RTD6211973,,,1081103,14
RTD6211973,06:12:00,06:12:00,1187122,15
RTD6211973,,,1081099,16
RTD6211973,,,1081098,17
RTD6211973,06:15:00,06:15:00,1187123,18
RTD6211973,,,1081087,19
RTD6211973,06:20:00,06:20:00,1081112,20
RTD6211974,06:10:00,06:10:00,1081111,1
RTD6211974,,,1081108,2
RTD6211974,06:14:00,06:14:00,1187124,3
RTD6211974,,,1081098,4
RTD6211974,06:17:00,06:17:00,1081099,5
RTD6211974,,,1081122,6
RTD6211974,06:20:00,06:20:00,1081088,7
RTD6211974,,,1081101,8
RTD6211974,,,1081104,9
RTD6211974,06:23:00,06:23:00,1081106,10
RTD6211974,06:28:00,06:28:00,1187101,11
RTD6211974,,,1081134,12
RTD6211974,06:33:00,06:33:00,1187102,13
RTD6211974,,,1081103,14
RTD6211974,06:37:00,06:37:00,1187122,15
RTD6211974,,,1081099,16
RTD6211974,,,1081098,17
RTD6211974,06:40:00,06:40:00,1187123,18
RTD6211974,,,1081087,19
RTD6211974,06:45:00,06:45:00,1081112,20
RTD6211975,06:30:00,06:30:00,1081111,1
RTD6211975,,,1081108,2
RTD6211975,06:34:00,06:34:00,1187124,3
RTD6211975,,,1081098,4
RTD6211975,06:37:00,06:37:00,1081099,5
RTD6211975,,,1081122,6
RTD6211975,06:40:00,06:40:00,1081088,7
RTD6211975,,,1081101,8
RTD6211975,,,1081104,9
