route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
SOUTH HOLLIS,72790,RTD6211167,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211168,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211169,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211170,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211171,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211172,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211173,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211174,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211175,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211176,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211177,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211178,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211179,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211180,Toward MACARTHUR BART [Arrive],0,,,
SOUTH HOLLIS,72790,RTD6211181,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211973,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211974,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211975,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211976,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257595,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211977,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211978,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257597,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211979,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211980,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260665,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211981,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211982,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211983,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260667,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211984,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211985,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260669,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211986,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257605,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211987,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211988,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260673,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211989,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211990,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211991,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257609,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211992,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257611,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211993,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211994,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211995,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257613,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211996,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257614,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211997,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260681,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257546,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211998,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257547,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6211999,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257548,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212000,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212001,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257549,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212002,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260616,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260617,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212003,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257552,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212004,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212005,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257553,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257554,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212006,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257555,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212007,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212008,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257556,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212009,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257557,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212010,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257558,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260625,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212011,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212012,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257561,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212013,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212014,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257563,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212015,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212016,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257565,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212017,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212018,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257567,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212019,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212020,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260635,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212021,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212022,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212023,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257571,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212024,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257573,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212025,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212026,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212027,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8257575,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212028,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260643,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212029,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212030,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212031,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260645,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212032,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72799,RTD8260647,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212033,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212034,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212035,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212036,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212037,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212038,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212039,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212040,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212041,Toward MACARTHUR BART [Arrive],0,,,
HOLLIS,72790,RTD6212042,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211763,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211764,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211765,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211766,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211767,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211768,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379104,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211769,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379105,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211770,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211771,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379106,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211772,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379107,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211773,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211774,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379108,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211775,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379109,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211776,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211777,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379110,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211778,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211779,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379111,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211780,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379112,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211781,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379113,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211782,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211783,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379114,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211784,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211785,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379115,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211786,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379116,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211787,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379117,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211788,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211789,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379118,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379119,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211790,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211791,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379120,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211792,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379121,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211793,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379122,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211794,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379123,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211795,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379124,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211796,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211797,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379125,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211798,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379126,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211799,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379127,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211800,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211801,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379128,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211802,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379129,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211803,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211804,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379130,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211805,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379131,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211806,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211807,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379132,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211808,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379133,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211809,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211810,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379134,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211811,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379135,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211812,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379136,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211813,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211814,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379137,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211815,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379138,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211816,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211817,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379139,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211818,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379140,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211819,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379141,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211820,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379142,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211821,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211822,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379143,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211823,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211824,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379144,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211825,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379145,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211826,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211827,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379146,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211828,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379147,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211829,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211830,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379148,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211831,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379149,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379150,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211832,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211833,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379151,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211834,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211835,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72799,RTD8379152,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211836,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211837,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211838,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211839,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211840,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211841,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211842,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211843,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211844,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211845,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211846,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211847,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72790,RTD6211848,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211553,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211554,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211555,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211556,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212112,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211557,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212218,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211558,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211559,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212224,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211560,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211561,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212230,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211562,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212240,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211563,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211564,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212236,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211565,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212244,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211566,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211567,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212242,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211568,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212259,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211569,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212260,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211570,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212257,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211571,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212275,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211572,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212280,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211573,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212285,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211574,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212289,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211575,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211576,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212294,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211577,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211578,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212300,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72792,RTD6212305,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211579,Toward MACARTHUR BART [Arrive],0,,,
POWELL,72791,RTD6211580,Toward MACARTHUR BART [Arrive],0,,,
