fare_id,price,currency_type,payment_method,transfers,transfer_duration
181367,5.75,USD,0,,3600
181371,5.75,USD,0,,3600
181375,5.75,USD,0,,3600
181379,5.75,USD,0,,3600
181383,1.75,USD,0,,3600
181387,2.75,USD,0,,3600
181391,5.75,USD,0,,3600
181395,5.75,USD,0,,3600
181399,5.75,USD,0,,3600
181403,2.75,USD,0,,3600
181407,2.75,USD,0,,3600
181411,2.75,USD,0,,3600
181415,2.75,USD,0,,3600
181419,2.75,USD,0,,3600
181423,2.75,USD,0,,3600
181427,2.75,USD,0,,3600
181431,2.75,USD,0,,3600
181435,2.75,USD,0,,3600
181439,2.75,USD,0,,3600
181443,2.75,USD,0,,3600
181447,2.75,USD,0,,3600
181451,2.75,USD,0,,3600
181455,2.75,USD,0,,3600
181459,5.75,USD,0,,3600
181463,5.75,USD,0,,3600
181467,2.75,USD,0,,3600
181471,2.75,USD,0,,3600
181475,2.75,USD,0,,3600
181479,2.75,USD,0,,3600
181483,2.75,USD,0,,3600
181487,2.75,USD,0,,3600
181491,5.75,USD,0,,3600
181495,5.75,USD,0,,3600
