fare_id,route_id, origin_id, destination_id, contains_id
181387,20,,,
181391,90,,,
181367,40,55706,55710,
181367,2,55706,55710,
181367,8,55706,55710,
181367,30,55706,55710,
181367,6,55706,55710,
181367,3,55706,55710,
181367,1,55706,55710,
181367,4,55706,55710,
181367,5,55706,55710,
181367,7,55706,55710,
181367,7AT,55706,55710,
181367,7AT-3,55706,55710,
181367,7BT,55706,55710,
181367,9,55706,55710,
181371,40,55710,55707,
181371,2,55710,55707,
181371,8,55710,55707,
181371,30,55710,55707,
181371,6,55710,55707,
181371,3,55710,55707,
181371,1,55710,55707,
181371,4,55710,55707,
181371,5,55710,55707,
181371,7,55710,55707,
181371,7AT,55710,55707,
181371,7AT-3,55710,55707,
181371,7BT,55710,55707,
181371,9,55710,55707,
181375,40,55707,55710,
181375,2,55707,55710,
181375,8,55707,55710,
181375,30,55707,55710,
181375,6,55707,55710,
181375,3,55707,55710,
181375,1,55707,55710,
181375,4,55707,55710,
181375,5,55707,55710,
181375,7,55707,55710,
181375,7AT,55707,55710,
181375,7AT-3,55707,55710,
181375,7BT,55707,55710,
181375,9,55707,55710,
181379,40,55709,55706,
181379,2,55709,55706,
181379,8,55709,55706,
181379,30,55709,55706,
181379,6,55709,55706,
181379,3,55709,55706,
181379,1,55709,55706,
181379,4,55709,55706,
181379,5,55709,55706,
181379,7,55709,55706,
181379,7AT,55709,55706,
181379,7AT-3,55709,55706,
181379,7BT,55709,55706,
181379,9,55709,55706,
181383,40,55705,55705,
181383,2,55705,55705,
181383,8,55705,55705,
181383,30,55705,55705,
181383,6,55705,55705,
181383,3,55705,55705,
181383,1,55705,55705,
181383,4,55705,55705,
181383,5,55705,55705,
181383,7,55705,55705,
181383,7AT,55705,55705,
181383,7AT-3,55705,55705,
181383,7BT,55705,55705,
181383,9,55705,55705,
181395,40,55710,55706,
181395,2,55710,55706,
181395,8,55710,55706,
181395,30,55710,55706,
181395,6,55710,55706,
181395,3,55710,55706,
181395,1,55710,55706,
181395,4,55710,55706,
181395,5,55710,55706,
181395,7,55710,55706,
181395,7AT,55710,55706,
181395,7AT-3,55710,55706,
181395,7BT,55710,55706,
181395,9,55710,55706,
181399,40,55706,55709,
181399,2,55706,55709,
181399,8,55706,55709,
181399,30,55706,55709,
181399,6,55706,55709,
181399,3,55706,55709,
181399,1,55706,55709,
181399,4,55706,55709,
181399,5,55706,55709,
181399,7,55706,55709,
181399,7AT,55706,55709,
181399,7AT-3,55706,55709,
181399,7BT,55706,55709,
181399,9,55706,55709,
181403,40,55710,55709,
181403,2,55710,55709,
181403,8,55710,55709,
181403,30,55710,55709,
181403,6,55710,55709,
181403,3,55710,55709,
181403,1,55710,55709,
181403,4,55710,55709,
181403,5,55710,55709,
181403,7,55710,55709,
181403,7AT,55710,55709,
181403,7AT-3,55710,55709,
181403,7BT,55710,55709,
181403,9,55710,55709,
181407,40,55709,55710,
181407,2,55709,55710,
181407,8,55709,55710,
181407,30,55709,55710,
181407,6,55709,55710,
181407,3,55709,55710,
181407,1,55709,55710,
181407,4,55709,55710,
181407,5,55709,55710,
181407,7,55709,55710,
