trip_id,arrival_time,departure_time,stop_id,stop_sequence
2685A127B2472,06:13:00,06:13:00,75399,1
2685A127B2472,06:23:00,06:23:00,75398,2
2685A127B2472,06:41:00,06:41:00,75550,3
2685A127B2472,07:01:00,07:01:00,75268,4
2685A127B2472,07:16:00,07:16:00,75388,5
2688A127B2472,06:59:00,06:59:00,75399,1
2688A127B2472,07:09:00,07:09:00,75398,2
2688A127B2472,07:27:00,07:27:00,75550,3
2688A127B2472,07:47:00,07:47:00,75268,4
2688A127B2472,08:02:00,08:02:00,75388,5
2691A127B2472,16:15:00,16:15:00,75399,1
2691A127B2472,16:25:00,16:25:00,75398,2
2691A127B2472,16:43:00,16:43:00,75550,3
2691A127B2472,17:11:00,17:11:00,75268,4
2691A127B2472,17:26:00,17:26:00,75388,5
2686A127B2472,17:00:00,17:00:00,75399,1
2686A127B2472,17:10:00,17:10:00,75398,2
2686A127B2472,17:28:00,17:28:00,75550,3
2686A127B2472,17:56:00,17:56:00,75268,4
2686A127B2472,18:11:00,18:11:00,75388,5
2687A127B2472,17:35:00,17:35:00,75399,1
2687A127B2472,17:45:00,17:45:00,75398,2
2687A127B2472,18:03:00,18:03:00,75550,3
2687A127B2472,18:31:00,18:31:00,75268,4
2687A127B2472,18:46:00,18:46:00,75388,5
147450A127B2472,18:08:00,18:08:00,75399,1
147450A127B2472,18:18:00,18:18:00,75398,2
147450A127B2472,18:36:00,18:36:00,75550,3
147450A127B2472,19:04:00,19:04:00,75268,4
147450A127B2472,19:19:00,19:19:00,75388,5
122478A127B2472,19:26:00,19:26:00,75399,1
122478A127B2472,19:36:00,19:36:00,75398,2
122478A127B2472,19:54:00,19:54:00,75550,3
122478A127B2472,20:14:00,20:14:00,75268,4
122478A127B2472,20:29:00,20:29:00,75388,5
2689A127B2472,07:16:00,07:16:00,75399,1
2689A127B2472,07:26:00,07:26:00,75398,2
2689A127B2472,07:44:00,07:44:00,75550,3
2689A127B2472,08:04:00,08:04:00,75268,4
2690A127B2472,08:30:00,08:30:00,75399,1
2690A127B2472,08:40:00,08:40:00,75398,2
2690A127B2472,08:53:00,08:53:00,75550,3
2690A127B2472,09:15:00,09:15:00,75268,4
147445A127B2472,10:18:00,10:18:00,75399,1
147445A127B2472,10:28:00,10:28:00,75398,2
147445A127B2472,10:41:00,10:41:00,75550,3
147445A127B2472,11:03:00,11:03:00,75268,4
147446A127B2472,12:18:00,12:18:00,75399,1
147446A127B2472,12:28:00,12:28:00,75398,2
147446A127B2472,12:41:00,12:41:00,75550,3
147446A127B2472,13:03:00,13:03:00,75268,4
147448A127B2472,14:18:00,14:18:00,75399,1
147448A127B2472,14:28:00,14:28:00,75398,2
147448A127B2472,14:41:00,14:41:00,75550,3
147448A127B2472,15:03:00,15:03:00,75268,4
2675A127B2472,04:58:00,04:58:00,75388,1
2675A127B2472,05:15:00,05:15:00,75268,2
2675A127B2472,05:31:00,05:31:00,75397,3
2675A127B2472,05:54:00,05:54:00,75398,4
2675A127B2472,06:03:00,06:03:00,75399,5
2682A127B2472,05:44:00,05:44:00,75388,1
2682A127B2472,06:01:00,06:01:00,75268,2
2682A127B2472,06:17:00,06:17:00,75397,3
2682A127B2472,06:40:00,06:40:00,75398,4
2682A127B2472,06:49:00,06:49:00,75399,5
2676A127B2472,06:01:00,06:01:00,75388,1
2676A127B2472,06:18:00,06:18:00,75268,2
2676A127B2472,06:34:00,06:34:00,75397,3
2676A127B2472,06:57:00,06:57:00,75398,4
2676A127B2472,07:06:00,07:06:00,75399,5
2684A127B2472,07:16:00,07:16:00,75388,1
2684A127B2472,07:33:00,07:33:00,75268,2
2684A127B2472,07:49:00,07:49:00,75397,3
2684A127B2472,08:12:00,08:12:00,75398,4
2684A127B2472,08:25:00,08:25:00,75399,5
2677A127B2472,17:26:00,17:26:00,75388,1
2677A127B2472,17:43:00,17:43:00,75268,2
2677A127B2472,17:59:00,17:59:00,75397,3
2677A127B2472,18:25:00,18:25:00,75398,4
2677A127B2472,18:35:00,18:35:00,75399,5
2678A127B2472,18:11:00,18:11:00,75388,1
2678A127B2472,18:28:00,18:28:00,75268,2
2678A127B2472,18:44:00,18:44:00,75397,3
2678A127B2472,19:07:00,19:07:00,75398,4
2678A127B2472,19:16:00,19:16:00,75399,5
2692A127B2472,18:41:00,18:41:00,75399,1
2692A127B2472,18:51:00,18:51:00,75398,2
2692A127B2472,19:09:00,19:09:00,75397,3
2692A127B2472,19:29:00,19:29:00,75268,4
2692A127B2472,19:44:00,19:44:00,75388,5
147451A127B2472,09:16:00,09:16:00,75268,1
147451A127B2472,09:32:00,09:32:00,75397,2
147451A127B2472,09:55:00,09:55:00,75398,3
147451A127B2472,10:08:00,10:08:00,75399,4
147452A127B2472,11:16:00,11:16:00,75268,1
147452A127B2472,11:32:00,11:32:00,75397,2
147452A127B2472,11:55:00,11:55:00,75398,3
147452A127B2472,12:08:00,12:08:00,75399,4
147454A127B2472,13:16:00,13:16:00,75268,1
147454A127B2472,13:32:00,13:32:00,75397,2
147454A127B2472,13:55:00,13:55:00,75398,3
147454A127B2472,14:08:00,14:08:00,75399,4
2680A127B2472,15:17:00,15:17:00,75268,1
2680A127B2472,15:33:00,15:33:00,75397,2
2680A127B2472,15:56:00,15:56:00,75398,3
2680A127B2472,16:05:00,16:05:00,75399,4
2679A127B2472,16:02:00,16:02:00,75268,1
2679A127B2472,16:18:00,16:18:00,75397,2
2679A127B2472,16:41:00,16:41:00,75398,3
2679A127B2472,16:50:00,16:50:00,75399,4
2681A127B2472,16:37:00,16:37:00,75268,1
2681A127B2472,16:53:00,16:53:00,75397,2
2681A127B2472,17:16:00,17:16:00,75398,3
2681A127B2472,17:25:00,17:25:00,75399,4
147455A127B2472,17:10:00,17:10:00,75268,1
147455A127B2472,17:26:00,17:26:00,75397,2
147455A127B2472,17:49:00,17:49:00,75398,3
147455A127B2472,17:58:00,17:58:00,75399,4
i0-frequency_id16388-32299A127B2472,06:15:00,06:15:00,75325,1
i0-frequency_id16388-32299A127B2472,,,75322,2
i0-frequency_id16388-32299A127B2472,,,75020,3
i0-frequency_id16388-32299A127B2472,,,75512,4
i0-frequency_id16388-32299A127B2472,,,75513,5
i0-frequency_id16388-32299A127B2472,06:20:00,06:20:00,75514,6
i0-frequency_id16388-32299A127B2472,,,75024,7
i0-frequency_id16388-32299A127B2472,,,75025,8
i0-frequency_id16388-32299A127B2472,,,75026,9
i0-frequency_id16388-32299A127B2472,,,75027,10
i0-frequency_id16388-32299A127B2472,06:25:00,06:25:00,75029,11
i0-frequency_id16388-32299A127B2472,,,75038,12
i0-frequency_id16388-32299A127B2472,,,75039,13
i0-frequency_id16388-32299A127B2472,,,75040,14
i0-frequency_id16388-32299A127B2472,06:30:00,06:30:00,75041,15
i0-frequency_id16388-32299A127B2472,,,75043,16
i0-frequency_id16388-32299A127B2472,,,75044,17
i0-frequency_id16388-32299A127B2472,,,75045,18
i0-frequency_id16388-32299A127B2472,,,75046,19
i0-frequency_id16388-32299A127B2472,,,75047,20
i0-frequency_id16388-32299A127B2472,,,75048,21
i0-frequency_id16388-32299A127B2472,,,75049,22
i0-frequency_id16388-32299A127B2472,06:39:00,06:39:00,75050,23
i0-frequency_id16389-146826A127B2472,06:45:00,06:45:00,75325,1
i0-frequency_id16389-146826A127B2472,,,75322,2
i0-frequency_id16389-146826A127B2472,,,75020,3
i0-frequency_id16389-146826A127B2472,,,75512,4
i0-frequency_id16389-146826A127B2472,,,75513,5
i0-frequency_id16389-146826A127B2472,06:50:00,06:50:00,75514,6
i0-frequency_id16389-146826A127B2472,,,75024,7
i0-frequency_id16389-146826A127B2472,,,75025,8
i0-frequency_id16389-146826A127B2472,,,75026,9
i0-frequency_id16389-146826A127B2472,,,75027,10
i0-frequency_id16389-146826A127B2472,06:55:00,06:55:00,75029,11
i0-frequency_id16389-146826A127B2472,,,75038,12
i0-frequency_id16389-146826A127B2472,,,75039,13
i0-frequency_id16389-146826A127B2472,,,75040,14
i0-frequency_id16389-146826A127B2472,07:00:00,07:00:00,75041,15
i0-frequency_id16389-146826A127B2472,,,75043,16
i0-frequency_id16389-146826A127B2472,,,75044,17
i0-frequency_id16389-146826A127B2472,,,75045,18
i0-frequency_id16389-146826A127B2472,,,75046,19
i0-frequency_id16389-146826A127B2472,,,75047,20
i0-frequency_id16389-146826A127B2472,,,75048,21
i0-frequency_id16389-146826A127B2472,,,75049,22
i0-frequency_id16389-146826A127B2472,07:09:00,07:09:00,75050,23
i1-frequency_id16388-32299A127B2472,07:15:00,07:15:00,75325,1
i1-frequency_id16388-32299A127B2472,,,75322,2
i1-frequency_id16388-32299A127B2472,,,75020,3
i1-frequency_id16388-32299A127B2472,,,75512,4
i1-frequency_id16388-32299A127B2472,,,75513,5
i1-frequency_id16388-32299A127B2472,07:20:00,07:20:00,75514,6
i1-frequency_id16388-32299A127B2472,,,75024,7
i1-frequency_id16388-32299A127B2472,,,75025,8
i1-frequency_id16388-32299A127B2472,,,75026,9
i1-frequency_id16388-32299A127B2472,,,75027,10
i1-frequency_id16388-32299A127B2472,07:25:00,07:25:00,75029,11
i1-frequency_id16388-32299A127B2472,,,75038,12
i1-frequency_id16388-32299A127B2472,,,75039,13
i1-frequency_id16388-32299A127B2472,,,75040,14
i1-frequency_id16388-32299A127B2472,07:30:00,07:30:00,75041,15
i1-frequency_id16388-32299A127B2472,,,75043,16
i1-frequency_id16388-32299A127B2472,,,75044,17
i1-frequency_id16388-32299A127B2472,,,75045,18
i1-frequency_id16388-32299A127B2472,,,75046,19
i1-frequency_id16388-32299A127B2472,,,75047,20
i1-frequency_id16388-32299A127B2472,,,75048,21
i1-frequency_id16388-32299A127B2472,,,75049,22
i1-frequency_id16388-32299A127B2472,07:39:00,07:39:00,75050,23
i1-frequency_id16389-146826A127B2472,07:45:00,07:45:00,75325,1
i1-frequency_id16389-146826A127B2472,,,75322,2
i1-frequency_id16389-146826A127B2472,,,75020,3
i1-frequency_id16389-146826A127B2472,,,75512,4
i1-frequency_id16389-146826A127B2472,,,75513,5
i1-frequency_id16389-146826A127B2472,07:50:00,07:50:00,75514,6
i1-frequency_id16389-146826A127B2472,,,75024,7
i1-frequency_id16389-146826A127B2472,,,75025,8
i1-frequency_id16389-146826A127B2472,,,75026,9
i1-frequency_id16389-146826A127B2472,,,75027,10
i1-frequency_id16389-146826A127B2472,07:55:00,07:55:00,75029,11
i1-frequency_id16389-146826A127B2472,,,75038,12
i1-frequency_id16389-146826A127B2472,,,75039,13
i1-frequency_id16389-146826A127B2472,,,75040,14
i1-frequency_id16389-146826A127B2472,08:00:00,08:00:00,75041,15
i1-frequency_id16389-146826A127B2472,,,75043,16
i1-frequency_id16389-146826A127B2472,,,75044,17
i1-frequency_id16389-146826A127B2472,,,75045,18
i1-frequency_id16389-146826A127B2472,,,75046,19
i1-frequency_id16389-146826A127B2472,,,75047,20
i1-frequency_id16389-146826A127B2472,,,75048,21
i1-frequency_id16389-146826A127B2472,,,75049,22
i1-frequency_id16389-146826A127B2472,08:09:00,08:09:00,75050,23
i2-frequency_id16388-32299A127B2472,08:15:00,08:15:00,75325,1
i2-frequency_id16388-32299A127B2472,,,75322,2
