stop_id,stop_name,stop_lat,stop_lon,zone_id
75548,5th St and P St,38.575603,-121.502787,55706
75406,9th St and L St,38.578045,-121.496081,55706
75407,9th St and O St,38.574957,-121.497387,55706
75542,Air Base Pkwy and Parker Rd,38.271909,-121.959499,55705
75528,Air Base Pkwy and Parker Rd,38.272218,-121.959408,55705
75106,Atlantic Ave and Heather Dr,38.2764767808,-122.0403693831,55705
75256,Atlantic Ave and North Texas St.,38.276233775,-122.0349603833,55705
75105,Atlantic Ave and Orchid St (Walmart),38.2764926117,-122.0359763683,55705
75269,Beck Ave and Woolner Ave,38.2447390947,-122.0664766464,55705
75081,Beck Ave and Woolner Ave,38.2456864172,-122.0661422628,55705
75535,Bella Vista and Charleston St,38.2529906022,-121.9861956669,55705
75534,Bella Vista and Ventura Way,38.2495294411,-121.9821138472,55705
75550,Benicia Park Rd and Industrial Way (Eastbound),38.068455,-122.128802,55712
75397,Benicia Park Road & Industrial Way (westbound),38.068492736,-122.1290035,55712
75186,Blossom Ave. & Canvasback Dr.,38.2524339433,-122.0148571753,55705
75159,Buena Vista Ave and Marina Blvd,38.2463961702,-122.031411776,55705
75168,Buena Vista Ave and Marina Blvd.,38.2464092013,-122.0314779689,55705
75160,Buena Vista Ave and Pittier Way,38.2483966353,-122.0274608197,55705
75166,Buena Vista Ave. and Pittier Way,38.2487517161,-122.0268652447,55705
75165,Buena Vista Ave and Village Dr.,38.2495028939,-122.025449574,55705
75525,Burgan Blvd and Airlift Dr (Passenger Terminal),38.2669269364,-121.9316858536,55705
75291,Canyon Hills Dr and Firwood Way,38.1715071844,-122.1326032331,55705
75549,Capitol Mall,38.580116,-121.50605,55706
75395,Capitol Mall,38.579998,-121.506684,55706
75133,Cement Hill and Bay Tree Dr,38.2799647042,-122.0097302769,55705
75519,Cement Hill fs Dover,38.2797850033,-122.0245416992,55705
75134,Cement Hill fs Peppertree Dr (E),38.279950115,-122.013689635,55705
75135,Cement Hill op Peppertree Dr (W),38.2799575322,-122.01648856,55705
75103,Cement Hill Rd and Camrose Ave,38.2780956967,-122.0295137064,55705
75251,Cement Hill Rd and Camrose Ave,38.2782330853,-122.0289611994,55705
75101,Cement Hill Rd and Dover Ave,38.2799749892,-122.0255804042,55705
75104,Cement Hill Rd and  Elmhurst Cir (Fairfield High School),38.2764207356,-122.0325818933,55705
75252,Cement Hill Rd and Elmhurst Cir (Fairfield High School),38.2764439775,-122.0314987225,55705
75520,Cement Hill Rd and Peppertree Dr (E),38.2797260158,-122.0122760106,55705
75311,Central Way fs Ritchie Rd,38.2146122703,-122.137399655,55705
75312,Central Way ns Grobric Ct,38.2168328181,-122.1364229797,55705
75538,Central Way op Link Rd,38.2190748811,-122.1323905989,55705
75310,Central Way op Ritchie,38.2136434194,-122.1371576864,55705
75274,Chadbourne and Busch Dr,38.2372122831,-122.0839161661,55705
75314,Chadbourne and Busch Dr,38.2372661164,-122.0841706667,55705
75315,Chadbourne fs Low Ct,38.2352796164,-122.0840630003,55705
75512,Civic Center Dr and Pennsylvania Ave,38.2533990458,-122.04871172,55705
75516,Civic Center Dr and Pennsylvania Ave,38.2535762447,-122.0490329742,55705
75156,Civic Center Dr @ Suisun City Hall,38.2378267625,-122.0364182044,55705
75132,Clay Bank Rd and Canal St,38.2773292022,-122.0064106106,55705
75131,Clay Bank Rd and Horizon Dr,38.2748892208,-122.0063992089,55705
75521,Claybank Rd and Western Dr,38.2741317219,-122.0066566111,55705
75153,Cordelia Rd. and West St,38.2358447803,-122.0441798392,55705
75177,Cordelia St. and West St.,38.2358842383,-122.0438002956,55705
75272,Courage Dr and N Watney Way,38.2343040583,-122.0794318842,55705
75273,Courage ns Chadbourne,38.2343039114,-122.0824757953,55705
75316,Courage ns S Watney,38.2340857219,-122.0797579097,55705
75391,Davis St. Park and Ride,38.3511889368,-121.9870035,55709
75508,Dickson Hill Rd and El Camino Dr,38.2901903097,-122.0288825125,55705
75507,Dickson Hill Rd and N Texas St,38.2906429894,-122.0335623433,55705
75509,Dover Ave and Dickson Hill Rd,38.2885315147,-122.0250163589,55705
75248,Dover Ave and Sunrise Dr,38.2782927775,-122.0250479706,55705
75247,Dover fs Amherst Ct (Dover Avenue),38.2746148425,-122.0250537175,55705
75510,Doverwood Apartments,38.28164343,-122.0250472817,55705
75171,Driftwood Dr. and Josiah Way,38.241449985,-122.0344546361,55705
75158,Driftwood Dr. and Marina Blvd.,38.2413994739,-122.0310109658,55705
75170,Driftwood @ Josiah Circle,38.2414160711,-122.0344082908,55705
75400,El Cerrito Del Norte BART,37.924894,-122.317048,55705
75058,E Tabor and Falcon Dr (Grange Middle School),38.2654008381,-122.0177827283,55705
75059,E Tabor Ave and Cardinal Way,38.2654476236,-122.0218468856,55705
75045,E Tabor Ave and Davis Dr,38.2649901758,-122.0012288653,55705
75055,E Tabor Ave and Davis Dr,38.2651185625,-122.0019215533,55705
75039,E Tabor Ave and Dover Ave,38.2653160567,-122.0245581519,55705
75060,E Tabor Ave and Dover Ave,38.2655391392,-122.0254872869,55705
75041,E Tabor Ave and Falcon Dr (Grange Middle School),38.2651940472,-122.0168829131,55705
75044,E Tabor Ave and Grande Circle (E),38.2651005614,-122.0087502456,55705
75038,E Tabor Ave and Kidder Ave,38.2654161069,-122.0299413178,55705
75043,E Tabor Ave and Manor Place,38.2651514828,-122.0127540711,55705
75057,E Tabor Ave and Manor Pl  (Tabor Park),38.2653174192,-122.0133985322,55705
75061,E Tabor Ave and San Salvador St,38.2655841922,-122.0293387622,55705
75053,E Tabor Ave and Solano Rd,38.2650151467,-121.9938212536,55705
75047,E Tabor Ave and Solano Rd.,38.2648461497,-121.9927937658,55705
75040,E Tabor Ave and Sunset Ave,38.2652651689,-122.0206239892,55705
75046,E Tabor Ave and Tolenas Rd,38.2649063078,-121.9968235853,55705
75054,E Tabor Ave and Tolenas Rd,38.2650638317,-121.9990015808,55705
75056,E Tabor Ave and Villa Ct,38.2652540114,-122.0087669572,55705
75093,E. Travis Blvd. and Eisenhower St.,38.2581542162,-122.029718943,55705
75261,E. Travis Blvd. and Phoenix Dr.,38.2580942483,-122.0224274111,55705
75003,Fairfield Ave and Stratford Lane,38.2672566039,-122.0451509056,55705
75537,Fairfield - Cordelia Library,38.2177611231,-122.1441336597,55705
75268,Fairfield Transportation Center (FTC),38.2491947681,-122.0683666,55710
75281,Fulton Dr and  Edison Ct,38.2070406847,-122.1420930014,55705
75306,Fulton Dr and Edison Ct,38.2071942869,-122.1420608697,55705
75307,Fulton Dr  and  Lopes Rd,38.2070451956,-122.1388399353,55705
75118,GatewayBlvd and Courtyard,38.2599154147,-122.0574122286,55705
75119,Gateway Blvd @ Mall (west),38.2623098336,-122.0564599358,55705
75292,Gold Hill Rd and Canyon Hills Dr,38.1686165136,-122.1356144989,55705
75293,Gold Hill Rd and Northwood Dr,38.1728295922,-122.1363262625,55705
75295,Gold Hill Rd and Northwood Dr,38.1778143219,-122.1386559717,55705
75294,Gold Hill Rd fs Stonewood Dr (Green Valley MS),38.175652,-122.137082,55705
75148,Hawthorne Dr and N Texas St,38.2800717322,-122.0350389822,55705
75034,Heath Dr and Breton Dr,38.2709621981,-122.0429714122,55705
75005,Heath Dr and Breton Dr,38.2708949494,-122.0428019689,55705
75254,Heather Dr and Dahlia St,38.2737685378,-122.0405551547,55705
75107,Heather Dr and Dahlia St,38.2738045036,-122.0406978097,55705
75255,Heather Dr and Jasmine St,38.27604382,-122.0405266931,55705
75320,Hickam Ave and Pacific St (David Grant Med Ctr),38.2687236006,-121.9638925244,55705
75527,Hickam Ave and Skymaster Dr,38.2683859375,-121.9488310169,55705
75526,Hickam Ave and Windward Dr.,38.2680518519,-121.9359116189,55705
75270,Human Services Center,38.2359662817,-122.0674963356,55705
75050,Huntington Ct & Walters Rd,38.2723315759,-121.9882331,55705
75405,J St. and 6th St.,38.5816043486,-121.4986608704,55706
75504,Kentucky St and Madison St(Civic Center),38.2513764044,-122.0455704467,55705
75016,Kentucky St and Union Ave,38.2515119075,-122.0408282986,55705
75017,Kentucky St and Webster St,38.2515277542,-122.04389401,55705
75018,Kentucky St Madison St (Civic Center),38.251529375,-122.04636848,55705
75546,Lawler Ranch Pkwy and Fennie Way,38.236709,-121.999269,55705
75547,Lawler Ranch Pkwy and Peytonia Lane,38.236764,-121.993034,55705
75545,Lawler Ranch Pwky and Spinney Way,38.238676,-122.003419,55705
75290,Lopes Rd and Canyon Hills Dr,38.1732963789,-122.1296002861,55705
75280,Lopes Rd and Cordelia Rd,38.2093803381,-122.1385769889,55705
75287,Lopes Rd and Gold Hill Rd,38.1809752736,-122.1378552375,55705
75296,Lopes Rd and Gold Hill Rd,38.1824747392,-122.1382959014,55705
75286,Lopes Rd and Silver Creek Rd,38.1898656667,-122.1382570089,55705
75288,Lopes Rd and Woodside Way (North),38.1787596253,-122.1326519989,55705
75289,Lopes Rd fs Woodside Way (South),38.1759759028,-122.1311293358,55705
75176,Main St. and California St.,38.2376260486,-122.0406657457,55705
75174,Main St. and Driftwood Dr.,38.2413096128,-122.0406525061,55705
75529,Main St fs Morgan St,38.2375411817,-122.0405526114,55705
75530,Main St op Sacramento St,38.2395111819,-122.0405301217,55705
75172,Main Street and Lotz Way,38.2430813511,-122.0404775692,55705
75169,Marina Blvd. and Lotz Way,38.2428579497,-122.0313440392,55705
75392,Market Lane Park and Ride,38.4556882148,-121.8420035,55711
75207,Mayfield Circle and Engell Dr,38.2396067492,-122.0002883903,55705
75208,Mayfield Cir. & Lawler Ranch Pkwy,38.2407533497,-122.0051251828,55705
75163,Merganser Dr and Wigeon Way (SS Senior Center),38.2466482776,-122.018443509,55705
75531,Merganser Dr. and Wigeon Way (Suisun City Post Office),38.246566,-122.017851,55705
75242,Montebello Dr. & El Mar Ct.,38.2467669414,-121.9854306806,55705
75029,N Texas and Acacia Ave (Mexico Meat Market),38.2638699428,-122.0340689708,55705
75069,N Texas fs E Bell,38.2547106681,-122.0343225775,55705
75010,N Texas St and Acacia Ave (Foodmax),38.2635551706,-122.0343346914,55705
75033,N Texas St and Air Base Parkway,38.2746419717,-122.0339769322,55705
75007,N Texas St and Alaska Ave,38.2710995147,-122.0342815039,55705
75032,N Texas St and Alaska Ave,38.2718676414,-122.0339911372,55705
75090,N Texas St and  E Bell St,38.2541211228,-122.0340895856,55705
75089,N Texas St and  E Kentucky St,38.2517194683,-122.0340922064,55705
75070,N Texas St and E Kentucky St,38.2528299372,-122.0343339922,55705
75031,N Texas St and E Pacific Ave,38.2694943886,-122.0340330825,55705
75008,N Texas St and E Pacific Ave,38.2681651369,-122.0342992228,55705
75009,N Texas St and E Tabor Ave,38.2660116589,-122.0343116592,55705
75030,N Texas St and E Tabor Ave,38.2669939428,-122.0340608306,55705
75027,N Texas St and E Travis Blvd,38.2591160358,-122.0340616456,55705
75506,N Texas St and Marigold Dr,38.2847122106,-122.033918505,55705
75012,N Texas St and Travis Blvd,38.2588162058,-122.0343623656,55705
75283,Oakbrook and Red Top Rd (RHS),38.1975424044,-122.1466431761,55705
75302,Oakbrook Dr and Amberwood Cir,38.1956102797,-122.1466551819,55705
75299,Oakbrook Dr and Brookdale Cir,38.1887461681,-122.1424680856,55705
75297,Oakbrook Dr and Lopes Rd,38.1838056461,-122.1391522514,55705
75301,Oakbrook Dr and Oakbrook Cir,38.1933600294,-122.1459647325,55705
75300,Oakbrook Dr and Oakbrook Ct,38.1917318047,-122.1440239614,55705
75298,Oakbrook Dr and Rainier Ct,38.1874016853,-122.1421485356,55705
75518,Oliver Rd and Holiday Ct,38.2571532006,-122.0679350081,55705
75150,Orchid St and Larkspur Ln,38.2780810708,-122.0370425894,55705
75035,Pacific Ave and Fairfield Ave,38.2686314469,-122.0447711161,55705
75517,Pennsylvania Ave and Grant St,38.2559335256,-122.0497251153,55705
75020,Pennsylvania Ave and Kansas St,38.2573958211,-122.050049575,55705
75237,Pennsylvania Ave and Kentucky St,38.2509451026,-122.0497791915,55705
75178,Pennsylvania Ave and Woolner Ave,38.2444629466,-122.0501500042,55705
75322,Pennsylvania Ave. & B.Gale Wilson,38.2606035544,-122.0501019136,55705
75323,Pennsylvania Ave. & B. Gale Wilson Blvd.,38.2613594803,-122.0498365447,55705
75532,Pennsylvania Ave. & Ohio St.,38.2444328141,-122.049803402,55705
75162,Pintail Dr. and Parkside Dr.,38.2495964217,-122.0234830972,55705
75500,Pintail Dr and Walters Rd,38.248863,-121.988919,55705
75329,Pintail Dr. and Wigeon Way,38.2494530444,-122.0177792358,55705
75540,Pintail Dr. and Woodlark Dr.,38.247463,-121.999513,55705
75238,Pintail Dr and Woodlark Lane,38.2473398581,-121.9998590544,55705
75194,Pintail fs Emperor,38.2477727231,-122.0045996647,55705
75232,Pintail fs Harrier,38.2483320456,-121.9953370808,55705
75259,Pintail fs Walters,38.2489423153,-121.9887780767,55705
75193,Pintail ns East Wigeon Way (KROC CENTER),38.2490437638,-122.0082948946,55705
75239,Pintail ns Seagull,38.2481715561,-121.9957855256,55705
75330,Pintail ns White Wing Lane,38.2493466372,-122.0098376064,55705
75235,Pintail op Scoter Way,38.2493309483,-122.0101718681,55705
75313,Pittman Rd and Central Way (Pittman),38.2200946722,-122.1270956481,55705
75398,Pleasant Hill BART Station,37.9281472585,-122.0560104,55708
75206,Portreo Cir. and Lawler Ranch Pkwy,38.2387228656,-121.9919462542,55705
75173,Railroad Ave @ Amtrak (Suisun City Amtrak Station),38.24296,-122.041486,55705
75541,Red Top Rd op Oakbrook Dr (RHS),38.1986024836,-122.1467067381,55705
75234,Scoter Way and Canvasback Dr.,38.2523689431,-122.0107378425,55705
75285,Silverado Dr and Meadows Ct,38.1949266767,-122.1407032636,55705
75284,Silverado Dr and Silverado Cir,38.1958409364,-122.1425344844,55705
75276,Solano Community College,38.2348080881,-122.1250807003,55705
75324,Solano Town Center,38.2629070834,-122.0532865,55710
75325,Solano Town Center,38.2629139619,-122.0527118536,55705
75327,Solano Town Center @ North Entrance,38.2619418611,-122.0542958203,55705
75536,Suisun Valley Rd and Kaiser Dr,38.2300573008,-122.1283126806,55705
75275,Suisun Valley Rd and Snowberry Way,38.2363697156,-122.1256647442,55705
75217,Sunset Ave. and Canvasback Dr.,38.2533930122,-122.0197887247,55705
75225,Sunset Ave. and Railroad Ave,38.253321927,-122.0200023514,55705
75215,Sunset fs Pintail,38.2498091358,-122.0203829478,55705
75001,Tabor Ave and Bristol Ln,38.2654671869,-122.0482597769,55705
75036,Tabor Ave and Cambridge Dr,38.2655928986,-122.0482143308,55705
75071,Texas St and Clay St,38.2492930358,-122.0373054133,55705
75088,Texas St and State St,38.2490960542,-122.0362561756,55705
75524,Travis Ave. and 1st St,38.2720701028,-121.9404855181,55705
