route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
40,72801,2685A127B2472,40N Vacaville,0,4001,1,
40,72801,2688A127B2472,40N Vacaville,0,4002,1,
40,72801,2691A127B2472,40N Vacaville,0,4001,1,
40,72801,2686A127B2472,40N Vacaville,0,4002,1,
40,72801,2687A127B2472,40N Vacaville,0,4003,1,
40,72801,147450A127B2472,40N Vacaville,0,4004,1,
40,72801,122478A127B2472,40N Vacaville,0,4002,1,
40,72801,2689A127B2472,40N FTC,0,4003,3,
40,72801,2690A127B2472,40N FTC,0,4001,3,
40,72801,147445A127B2472,40N FTC,0,4004,3,
40,72801,147446A127B2472,40N FTC,0,4004,3,
40,72801,147448A127B2472,40N FTC,0,4004,3,
40,72801,2675A127B2472,40S WC/PH BART,1,4001,8,
40,72801,2682A127B2472,40S WC/PH BART,1,4002,8,
40,72801,2676A127B2472,40S WC/PH BART,1,4003,8,
40,72801,2684A127B2472,40S WC/PH BART,1,4001,8,
40,72801,2677A127B2472,40S WC/PH BART,1,4001,8,
40,72801,2678A127B2472,40S WC/PH BART,1,4002,8,
40,72801,2692A127B2472,40N Vacaville,0,4001,11,
40,72801,147451A127B2472,40S WC/PH BART,1,4004,21,
40,72801,147452A127B2472,40S WC/PH BART,1,4004,21,
40,72801,147454A127B2472,40S WC/PH BART,1,4004,21,
40,72801,2680A127B2472,40S WC/PH BART,1,4001,21,
40,72801,2679A127B2472,40S WC/PH BART,1,4002,21,
40,72801,2681A127B2472,40S WC/PH BART,1,4003,21,
40,72801,147455A127B2472,40S WC/PH BART,1,4004,21,
2,72801,i0-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i0-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72801,i1-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i1-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72801,i2-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i2-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72802,i0-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i3-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i3-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72802,i1-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i4-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i4-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72802,i2-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i5-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i5-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72802,i3-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i6-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i6-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72802,i4-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i7-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i7-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
2,72801,i8-frequency_id16388-32299A127B2472,2 E HUNTINGTON CT,0,0201,30,
2,72802,i5-frequency_id3871-32303A128B2472,2 E HUNTINGTON CT,0,0201,30,
2,72801,i8-frequency_id16389-146826A127B2472,2 E HUNTINGTON CT,0,0202,30,
