trip_id,arrival_time,departure_time,stop_id,stop_sequence
5277153,06:20:00,06:20:00,43000,1
5277153,06:50:00,06:50:00,43004,2
5277154,07:10:00,07:10:00,43000,1
5277154,07:40:00,07:40:00,43004,2
5277155,07:35:00,07:35:00,43000,1
5277155,08:05:00,08:05:00,43004,2
5277156,08:30:00,08:30:00,43000,1
5277156,09:05:00,09:05:00,43004,2
5277157,09:10:00,09:10:00,43000,1
5277157,09:45:00,09:45:00,43004,2
5277158,10:10:00,10:10:00,43000,1
5277158,10:45:00,10:45:00,43004,2
5277159,10:55:00,10:55:00,43000,1
5277159,11:30:00,11:30:00,43004,2
5277160,11:55:00,11:55:00,43000,1
5277160,12:30:00,12:30:00,43004,2
5277161,12:25:00,12:25:00,43000,1
5277161,13:00:00,13:00:00,43004,2
5277178,12:40:00,12:40:00,43000,1
5277178,13:30:00,13:30:00,43004,2
5277186,12:40:00,12:40:00,43000,1
5277186,13:30:00,13:30:00,43004,2
5277162,13:25:00,13:25:00,43000,1
5277162,14:00:00,14:00:00,43004,2
5277163,15:00:00,15:00:00,43000,1
5277163,15:30:00,15:30:00,43004,2
5277164,15:30:00,15:30:00,43000,1
5277164,16:00:00,16:00:00,43004,2
5277187,15:45:00,15:45:00,43000,1
5277187,16:35:00,16:35:00,43004,2
5277179,15:45:00,15:45:00,43000,1
5277179,16:35:00,16:35:00,43004,2
5277165,16:00:00,16:00:00,43000,1
5277165,16:30:00,16:30:00,43004,2
5277166,16:30:00,16:30:00,43000,1
5277166,17:00:00,17:00:00,43004,2
5277167,17:00:00,17:00:00,43000,1
5277167,17:30:00,17:30:00,43004,2
5277168,17:30:00,17:30:00,43000,1
5277168,18:00:00,18:00:00,43004,2
5277169,18:00:00,18:00:00,43000,1
5277169,18:30:00,18:30:00,43004,2
5277188,18:25:00,18:25:00,43000,1
5277188,19:15:00,19:15:00,43004,2
5277180,18:25:00,18:25:00,43000,1
5277180,19:15:00,19:15:00,43004,2
5277170,18:30:00,18:30:00,43000,1
5277170,19:00:00,19:00:00,43004,2
5277171,19:20:00,19:20:00,43000,1
5277171,19:50:00,19:50:00,43004,2
5277181,19:25:00,19:25:00,43000,1
5277181,20:10:00,20:10:00,43004,2
5277189,19:25:00,19:25:00,43000,1
5277189,20:15:00,20:15:00,43004,2
5277172,20:10:00,20:10:00,43000,1
5277172,20:40:00,20:40:00,43004,2
5277173,21:35:00,21:35:00,43000,1
5277173,22:05:00,22:05:00,43004,2
5277132,05:45:00,05:45:00,43004,1
5277132,06:15:00,06:15:00,43000,2
5277133,06:35:00,06:35:00,43004,1
5277133,07:05:00,07:05:00,43000,2
5277134,07:00:00,07:00:00,43004,1
5277134,07:30:00,07:30:00,43000,2
5277135,07:30:00,07:30:00,43004,1
5277135,08:00:00,08:00:00,43000,2
5277136,07:50:00,07:50:00,43004,1
5277136,08:20:00,08:20:00,43000,2
5277137,08:20:00,08:20:00,43004,1
5277137,08:50:00,08:50:00,43000,2
5277138,08:40:00,08:40:00,43004,1
5277138,09:15:00,09:15:00,43000,2
5277139,09:15:00,09:15:00,43004,1
5277139,09:50:00,09:50:00,43000,2
5277174,09:30:00,09:30:00,43004,1
5277174,10:30:00,10:30:00,43000,2
5277182,09:30:00,09:30:00,43004,1
5277182,10:30:00,10:30:00,43000,2
5277140,10:10:00,10:10:00,43004,1
5277140,10:45:00,10:45:00,43000,2
5277141,11:10:00,11:10:00,43004,1
5277141,11:45:00,11:45:00,43000,2
5277142,11:40:00,11:40:00,43004,1
5277142,12:15:00,12:15:00,43000,2
5277183,11:40:00,11:40:00,43004,1
