route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
LF,72814,5277153,North,0,1239181,LF0018,
LF,72814,5277154,North,0,1239182,LF0018,
LF,72814,5277155,North,0,1239181,LF0018,
LF,72814,5277156,North,0,1239182,LF0018,
LF,72814,5277157,North,0,1239181,LF0018,
LF,72814,5277158,North,0,1239182,LF0018,
LF,72814,5277159,North,0,1239181,LF0018,
LF,72814,5277160,North,0,1239182,LF0018,
LF,72814,5277161,North,0,1239181,LF0018,
LF,72815,5277178,North,0,1239186,LF0018,
LF,72813,5277186,North,0,1241602,LF0018,
LF,72814,5277162,North,0,1239182,LF0018,
LF,72814,5277163,North,0,1239181,LF0018,
LF,72814,5277164,North,0,1239182,LF0018,
LF,72813,5277187,North,0,1241602,LF0018,
LF,72815,5277179,North,0,1239186,LF0018,
LF,72814,5277165,North,0,1239184,LF0018,
LF,72814,5277166,North,0,1239181,LF0018,
LF,72814,5277167,North,0,1239182,LF0018,
LF,72814,5277168,North,0,1239184,LF0018,
LF,72814,5277169,North,0,1239181,LF0018,
LF,72813,5277188,North,0,1241602,LF0018,
LF,72815,5277180,North,0,1239185,LF0018,
LF,72814,5277170,North,0,1239182,LF0018,
LF,72814,5277171,North,0,1239181,LF0018,
LF,72815,5277181,North,0,1239186,LF0018,
LF,72813,5277189,North,0,1239188,LF0018,
LF,72814,5277172,North,0,1239182,LF0018,
LF,72814,5277173,North,0,1239182,LF0018,
LF,72814,5277132,South,1,1239181,LF0019,
LF,72814,5277133,South,1,1239182,LF0019,
LF,72814,5277134,South,1,1239181,LF0019,
LF,72814,5277135,South,1,1239183,LF0019,
LF,72814,5277136,South,1,1239182,LF0019,
LF,72814,5277137,South,1,1239181,LF0019,
LF,72814,5277138,South,1,1239183,LF0019,
LF,72814,5277139,South,1,1239182,LF0019,
LF,72815,5277174,South,1,1239185,LF0019,
LF,72813,5277182,South,1,1239188,LF0019,
LF,72814,5277140,South,1,1239181,LF0019,
LF,72814,5277141,South,1,1239182,LF0019,
LF,72814,5277142,South,1,1239181,LF0019,
LF,72813,5277183,South,1,1241602,LF0019,
LF,72815,5277175,South,1,1239186,LF0019,
LF,72814,5277143,South,1,1239182,LF0019,
LF,72813,5277184,South,1,1241602,LF0019,
LF,72815,5277176,South,1,1239186,LF0019,
LF,72814,5277144,South,1,1239181,LF0019,
LF,72814,5277145,South,1,1239182,LF0019,
LF,72814,5277146,South,1,1239181,LF0019,
LF,72814,5277147,South,1,1239182,LF0019,
LF,72813,5277185,South,1,1241602,LF0019,
LF,72815,5277177,South,1,1239186,LF0019,
LF,72814,5277148,South,1,1239181,LF0019,
LF,72814,5277149,South,1,1239182,LF0019,
LF,72814,5277150,South,1,1239181,LF0019,
LF,72814,5277151,South,1,1239182,LF0019,
LF,72814,5277152,South,1,1239182,LF0019,
SF,72814,5277199,North,0,1239178,SF0008,
SF,72814,5277200,North,0,1239179,SF0008,
SF,72815,5279316,North,0,1239185,SF0008,
SF,72813,5279335,North,0,1239188,SF0008,
SF,72814,5277201,North,0,1239179,SF0008,
SF,72815,5279322,North,0,1239185,SF0008,
SF,72813,5279336,North,0,1239188,SF0008,
SF,72814,5277202,North,0,1239179,SF0008,
SF,72813,5279337,North,0,1239188,SF0008,
SF,72815,5279317,North,0,1239185,SF0008,
SF,72814,5277203,North,0,1239179,SF0008,
SF,72813,5279338,North,0,1239188,SF0008,
SF,72815,5279318,North,0,1239185,SF0008,
SF,72815,5279327,North,0,1239187,SF0008,
SF,72813,5279344,North,0,1239190,,
SF,72814,5279310,North,0,1239180,SF0008,
SF,72814,5277204,North,0,1239179,SF0008,
SF,72813,5279339,North,0,1239188,SF0008,
SF,72815,5279319,North,0,1239185,SF0008,
SF,72813,5279345,North,0,1239190,,
SF,72815,5279328,North,0,1239187,SF0008,
SF,72814,5277205,North,0,1239180,SF0008,
SF,72814,5279311,North,0,1239179,SF0008,
SF,72815,5279323,North,0,1239187,SF0008,
SF,72813,5279340,North,0,1239190,SF0008,
SF,72814,5277207,North,0,1239180,SF0008,
SF,72814,5277206,North,0,1239179,SF0008,
SF,72814,5277190,South,1,1239178,SF0009,
SF,72814,5277191,South,1,1239178,SF0009,
SF,72814,5277192,South,1,1239179,SF0009,
SF,72815,5279320,South,1,1239185,SF0009,
SF,72813,5279329,South,1,1239188,SF0009,
SF,72814,5277193,South,1,1239179,SF0009,
SF,72815,5279312,South,1,1239185,SF0009,
SF,72813,5279330,South,1,1239188,SF0009,
SF,72814,5277194,South,1,1239179,SF0009,
SF,72815,5279321,South,1,1239185,SF0009,
SF,72813,5279331,South,1,1239188,SF0009,
SF,72815,5279324,South,1,1239187,SF0009,
SF,72813,5279341,South,1,1239190,,
SF,72814,5277196,South,1,1239179,SF0009,
SF,72815,5279313,South,1,1239185,SF0009,
SF,72813,5279332,South,1,1239188,SF0009,
SF,72813,5279342,South,1,1239190,,
SF,72815,5279325,South,1,1239187,SF0009,
SF,72814,5277197,South,1,1239180,SF0009,
SF,72814,5277208,South,1,1239179,SF0009,
SF,72815,5279314,South,1,1239185,SF0009,
SF,72813,5279333,South,1,1239188,SF0009,
SF,72813,5279343,South,1,1239190,,
SF,72815,5279315,South,1,1239187,SF0009,
SF,72814,5277198,South,1,1239180,SF0009,
SF,72814,5277209,South,1,1239179,SF0009,
SF,72815,5279326,South,1,1239187,SF0009,
SF,72813,5279334,South,1,1239190,SF0009,
SF,72814,5277195,South,1,1239180,SF0009,
