trip_id,arrival_time,departure_time,stop_id,stop_sequence
5365861,04:47:00,04:47:00,40469,1
5365861,04:49:00,04:49:00,40436,2
5365861,04:50:00,04:50:00,40438,3
5365861,04:52:00,04:52:00,40440,4
5365861,04:53:00,04:53:00,40442,5
5365861,04:55:00,04:55:00,44002,6
5365861,05:05:00,05:05:00,40267,7
5365861,05:07:00,05:07:00,40295,8
5365861,05:10:00,05:10:00,40164,9
5365861,05:12:00,05:12:00,40187,10
5365861,05:15:00,05:15:00,44113,11
5365861,05:21:00,05:21:00,40090,12
5365861,05:22:00,05:22:00,42103,13
5365861,05:23:00,05:23:00,40093,14
5365861,05:25:00,05:25:00,40094,15
5365861,05:27:00,05:27:00,40096,16
5365861,05:28:00,05:28:00,40098,17
5365861,05:30:00,05:30:00,40101,18
5365861,05:32:00,05:32:00,40104,19
5365861,05:33:00,05:33:00,40106,20
5365861,05:36:00,05:36:00,40108,21
5365861,05:43:00,05:43:00,40037,22
5365861,05:49:00,05:49:00,40035,23
5365861,05:52:00,05:52:00,40033,24
5365861,05:54:00,05:54:00,40031,25
5365861,05:56:00,05:56:00,42246,26
5365861,05:56:00,05:56:00,40029,27
5365861,05:57:00,05:57:00,40027,28
5365861,05:58:00,05:58:00,40025,29
5365861,05:58:00,05:58:00,42245,30
5365861,05:59:00,05:59:00,40023,31
5365861,06:00:00,06:00:00,40021,32
5365861,06:01:00,06:01:00,40083,33
5365861,06:02:00,06:02:00,42210,34
5365861,06:03:00,06:03:00,42200,35
5365861,06:05:00,06:05:00,42201,36
5365861,06:06:00,06:06:00,42202,37
5365861,06:08:00,06:08:00,41191,38
5365861,06:09:00,06:09:00,42203,39
5365861,06:10:00,06:10:00,42204,40
5365861,06:11:00,06:11:00,42225,41
5365860,05:47:00,05:47:00,40469,1
5365860,05:49:00,05:49:00,40436,2
5365860,05:50:00,05:50:00,40438,3
5365860,05:52:00,05:52:00,40440,4
5365860,05:53:00,05:53:00,40442,5
5365860,05:55:00,05:55:00,44002,6
5365860,06:07:00,06:07:00,40267,7
5365860,06:09:00,06:09:00,40295,8
5365860,06:13:00,06:13:00,40164,9
5365860,06:15:00,06:15:00,40187,10
5365860,06:19:00,06:19:00,44113,11
5365860,06:25:00,06:25:00,40090,12
5365860,06:26:00,06:26:00,42103,13
5365860,06:27:00,06:27:00,40093,14
5365860,06:29:00,06:29:00,40094,15
5365860,06:31:00,06:31:00,40096,16
5365860,06:32:00,06:32:00,40098,17
5365860,06:34:00,06:34:00,40101,18
5365860,06:36:00,06:36:00,40104,19
5365860,06:37:00,06:37:00,40106,20
5365860,06:40:00,06:40:00,40108,21
5365860,06:48:00,06:48:00,40037,22
5365860,06:54:00,06:54:00,40035,23
5365860,06:56:00,06:56:00,40033,24
5365860,06:59:00,06:59:00,40031,25
5365860,07:01:00,07:01:00,42246,26
5365860,07:01:00,07:01:00,40029,27
5365860,07:02:00,07:02:00,40027,28
5365860,07:03:00,07:03:00,40025,29
5365860,07:03:00,07:03:00,42245,30
5365860,07:04:00,07:04:00,40023,31
5365860,07:06:00,07:06:00,40021,32
5365860,07:06:00,07:06:00,40083,33
5365860,07:08:00,07:08:00,42210,34
5365860,07:09:00,07:09:00,42200,35
5365860,07:11:00,07:11:00,42201,36
5365860,07:12:00,07:12:00,42202,37
5365860,07:13:00,07:13:00,41191,38
