stop_id,stop_name,stop_lat,stop_lon,zone_id
40333,1111 Sir Francis Drake Blvd,37.959438,-122.552559,55622
40332,1125 Sir Francis Drake Blvd,37.959076,-122.552269,55622
40612,1137 Idylberry Rd,38.030369,-122.575996,55622
40642,1204 Idylberry Rd,38.031563,-122.578346,55622
40615,120 Mt Lassen Ct,38.028095,-122.568909,55622
41094,1525 Francisco Blvd E,37.952793,-122.497307,55622
40054,1st St & Stevenson St,37.790485,-122.398567,55620
40517,2564 Siir Francis Drake Blvd,37.997185,-122.599068,55622
40619,3194 Lucas Valley Rd,38.02684,-122.573914,55622
40427,4th St & Court St,37.973133,-122.527283,55622
40428,4th St & Court St,37.972992,-122.526878,55622
40426,4th St & C St,37.973354,-122.530548,55622
40839,4th St & C St,38.232239,-122.638596,55624
40825,4th St & C St,38.232414,-122.638748,55624
40425,4th St & C St,37.973499,-122.530945,55622
40424,4th St & E St,37.973717,-122.533447,55622
40423,4th St & E St,37.973564,-122.533058,55622
40012,4th St & Folsom St,37.781784,-122.400993,55620
40420,4th St & Greenfield Ave,37.974857,-122.544212,55622
40419,4th St & Greenfield Ave,37.975113,-122.544228,55622
40421,4th St & Ida St,37.974159,-122.537987,55622
40422,4th St & Ida St,37.974075,-122.538231,55622
40416,4th St & Ross Valley Dr,37.976124,-122.550194,55622
40418,4th St & Santa Margarita Ave,37.976334,-122.549873,55622
42242,7th St & Folsom St,37.77689,-122.407967,55620
40019,7th St & Market St,37.780727,-122.41275,55620
40020,8th St & Mission St,37.77729,-122.413071,55620
40611,977 Idylberry Rd,38.028992,-122.572502,55622
40108,Alexander Ave & Danes Dr,37.838066,-122.483116,55621
40106,Alexander Ave & East Rd,37.844833,-122.477943,55621
40107,Alexander Ave & East Rd,37.844906,-122.477806,55621
40151,Almonte Blvd & Miller Ave,37.887188,-122.524834,55621
40152,Almonte Blvd & Miller Ave,37.887569,-122.52475,55621
40154,Almonte Blvd & Rosemont Ave,37.884026,-122.52462,55621
40153,Almonte Blvd & Rosemont Ave,37.883987,-122.524841,55621
40438,Andersen Dr & Du Bois St,37.963638,-122.517136,55622
40439,Andersen Dr & Du Bois St,37.963593,-122.51741,55622
40440,Andersen Dr & Irwin St,37.966274,-122.521782,55622
40441,Andersen Dr & Irwin St,37.966213,-122.522064,55622
40468,Andersen Dr & Jacoby St,37.957314,-122.507591,55622
40437,Andersen Dr & W Francisco Blvd,37.960323,-122.511887,55622
40436,Andersen Dr & W Francisco Blvd,37.960533,-122.511795,55622
40066,Battery St & Broadway,37.798397,-122.4011,55620
40047,Battery St & Filbert St,37.801472,-122.401718,55620
40058,Battery St & Green St,37.800529,-122.401535,55620
40049,Battery St & Jackson St,37.796852,-122.400803,55620
40053,Battery St & Pine St,37.791977,-122.399796,55620
40051,Battery St & Sacramento St,37.79422,-122.400246,55620
40103,Bay St & Bridgeway,37.857136,-122.480469,55621
40198,Beach Rd & Juanita Ln,37.87505,-122.459373,55621
40197,Beach Rd & San Rafael Ave,37.87307,-122.463295,55621
41152,Beach St & Hyde St,37.806633,-122.420364,55620
41154,Beach St & Stockton St,37.807835,-122.41082,55620
41153,Beach St & Taylor St,37.807217,-122.415733,55620
42225,Beale St & Howard St,37.789757,-122.39418,55620
41036,Bellam Blvd & Interstate 580 Off-Ramp,37.959301,-122.50666,55622
41037,Bellam Blvd & Interstate 580 On-Ramp,37.959278,-122.5065,55622
40466,Bellam Blvd & Lisbon St,37.961201,-122.503555,55622
42130,Belvedere Dr & Redwood Hwy Frontage Rd,37.897598,-122.514671,55621
40102,Bridgeway & Bay St,37.856831,-122.480225,55621
40100,Bridgeway & Caledonia Av,37.85844,-122.482864,55621
41042,Bridgeway & Coloma St,37.868576,-122.50248,55621
40094,Bridgeway & Easterby St,37.861786,-122.493881,55621
40095,Bridgeway & Easterby St,37.861969,-122.493622,55621
40090,Bridgeway & Ebbtide St,37.87022,-122.5037,55621
40101,Bridgeway & Excelsior Ln,37.855904,-122.479614,55621
40091,Bridgeway & Gate 5 Rd,37.871155,-122.503876,55621
40097,Bridgeway & Napa St,37.861393,-122.489555,55621
40096,Bridgeway & Napa St,37.861065,-122.489319,55621
40092,Bridgeway & Nevada St,37.865463,-122.499229,55621
40093,Bridgeway & Nevada St,37.86528,-122.499367,55621
40098,Bridgeway & Pine St,37.859154,-122.485077,55621
40099,Bridgeway & Turney St,37.859657,-122.485893,55621
42103,Bridgeway & W Harbor Dr,37.866898,-122.501091,55621
40523,Broadway Blvd & Bolinas Ave,37.987087,-122.588791,55622
45003,B St & Ross St,38.441261,-122.716736,55625
45002,B St & Ross St,38.440971,-122.716675,55625
40509,Butterfield Rd & Arroyo Ave,37.99197,-122.57637,55622
40504,Butterfield Rd & Caleta Ave,37.998112,-122.576385,55622
40505,Butterfield Rd & Caleta Ave,37.998165,-122.576233,55622
40503,Butterfield Rd & Deer Hollow Rd,38.000195,-122.57502,55622
40500,Butterfield Rd & Fawn Dr,38.002186,-122.574806,55622
40501,Butterfield Rd & Fawn Dr,38.002457,-122.574722,55622
40499,Butterfield Rd & Green Valley Ct,38.004879,-122.576019,55622
40498,Butterfield Rd & Green Valley Ct,38.004822,-122.576134,55622
40494,Butterfield Rd & Katrina Ln,38.009834,-122.583794,55622
40495,Butterfield Rd & Katrina Ln,38.009926,-122.583725,55622
40511,Butterfield Rd & Meadowcroft Dr,37.988426,-122.577881,55622
40502,Butterfield Rd & Oak Knoll Dr,37.999668,-122.575584,55622
40508,Butterfield Rd & Rosemont Ave,37.990665,-122.577133,55622
40510,Butterfield Rd & Rutherford Ave,37.988693,-122.577927,55622
40491,Butterfield Rd @ San Domenico School,38.014069,-122.585091,55622
40497,Butterfield Rd & Sleepy Hollow Dr,38.007633,-122.579346,55622
40496,Butterfield Rd & Sleepy Hollow Dr,38.00737,-122.579231,55622
40493,Butterfield Rd & Van Winkle Dr,38.012352,-122.585579,55622
40492,Butterfield Rd & Van Winkle Dr,38.012249,-122.585686,55622
40507,Butterfield Rd & Woodside Dr,37.995983,-122.576584,55622
40506,Butterfield Rd & Woodside Dr,37.995033,-122.57695,55622
40955,Cleveland Ave & State Farm Dr,38.466057,-122.728493,55625
40954,Cleveland Ave & Steele Ln,38.461575,-122.728325,55625
40952,Cleveland Ave & Terry Ln,38.464031,-122.728493,55625
40953,Cleveland Ave & Terry Ln,38.464363,-122.728355,55625
40349,Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954258,-122.54863,55622
40330,Colg of Marin-College Ave & Sir Francis Drake Blvd,37.954727,-122.548241,55622
40334,Colg of Marin-Sir Francis Drake Blvd & Elm Ave,37.956234,-122.548515,55622
40335,Colg of Marin-Sir Francis Drake Blvd & Maple Ave,37.95631,-122.548172,55622
42020,College Ave & Kent Ave,37.950897,-122.549591,55622
42009,College Ave & Kent Ave,37.951672,-122.549774,55622
42042,Commerce Blvd & Arlen Dr,38.340313,-122.712242,55624
40884,Commerce Blvd & Arlen Dr,38.340309,-122.712379,55624
