trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6973716,18:40:00,18:40:00,12175092,1
RTD6973716,18:55:00,18:55:00,12175093,2
RTD6973718,15:50:00,15:50:00,12175093,1
RTD6973718,16:05:00,16:05:00,12175092,2
RTD6489439,09:10:00,09:10:00,12175093,1
RTD6489439,09:25:00,09:25:00,12175092,2
RTD8550582,09:10:00,09:10:00,12175093,1
RTD8550582,09:25:00,09:25:00,12175092,2
RTD8550583,09:30:00,09:30:00,12175093,1
RTD8550583,09:45:00,09:45:00,12175092,2
RTD6489440,09:30:00,09:30:00,12175093,1
RTD6489440,09:45:00,09:45:00,12175092,2
RTD6489441,10:00:00,10:00:00,12175093,1
RTD6489441,10:15:00,10:15:00,12175092,2
RTD8550584,10:00:00,10:00:00,12175093,1
RTD8550584,10:15:00,10:15:00,12175092,2
RTD6489442,10:30:00,10:30:00,12175093,1
RTD6489442,10:45:00,10:45:00,12175092,2
RTD8550585,10:30:00,10:30:00,12175093,1
RTD8550585,10:45:00,10:45:00,12175092,2
RTD6489443,11:00:00,11:00:00,12175093,1
RTD6489443,11:15:00,11:15:00,12175092,2
RTD8550586,11:00:00,11:00:00,12175093,1
RTD8550586,11:15:00,11:15:00,12175092,2
RTD6489444,11:30:00,11:30:00,12175093,1
RTD6489444,11:45:00,11:45:00,12175092,2
RTD8550587,11:30:00,11:30:00,12175093,1
RTD8550587,11:45:00,11:45:00,12175092,2
RTD6489445,12:00:00,12:00:00,12175093,1
RTD6489445,12:15:00,12:15:00,12175092,2
RTD8550588,12:00:00,12:00:00,12175093,1
RTD8550588,12:15:00,12:15:00,12175092,2
RTD6489446,12:30:00,12:30:00,12175093,1
RTD6489446,12:45:00,12:45:00,12175092,2
RTD8550589,12:30:00,12:30:00,12175093,1
RTD8550589,12:45:00,12:45:00,12175092,2
RTD6813694,13:05:00,13:05:00,12175093,1
RTD6813694,13:20:00,13:20:00,12175092,2
RTD8550580,13:05:00,13:05:00,12175093,1
RTD8550580,13:20:00,13:20:00,12175092,2
RTD8550581,13:35:00,13:35:00,12175093,1
RTD8550581,13:50:00,13:50:00,12175092,2
RTD6813695,13:35:00,13:35:00,12175093,1
RTD6813695,13:50:00,13:50:00,12175092,2
RTD6813739,09:30:00,09:30:00,12175092,1
RTD6813739,09:45:00,09:45:00,12175093,2
RTD8550578,09:30:00,09:30:00,12175092,1
RTD8550578,09:45:00,09:45:00,12175093,2
RTD8550565,09:50:00,09:50:00,12175092,1
RTD8550565,10:05:00,10:05:00,12175093,2
RTD6813726,09:50:00,09:50:00,12175092,1
RTD6813726,10:05:00,10:05:00,12175093,2
RTD8550566,10:25:00,10:25:00,12175092,1
RTD8550566,10:40:00,10:40:00,12175093,2
RTD6813727,10:25:00,10:25:00,12175092,1
RTD6813727,10:40:00,10:40:00,12175093,2
RTD8550567,10:55:00,10:55:00,12175092,1
RTD8550567,11:10:00,11:10:00,12175093,2
RTD6813728,10:55:00,10:55:00,12175092,1
RTD6813728,11:10:00,11:10:00,12175093,2
RTD6813729,11:25:00,11:25:00,12175092,1
RTD6813729,11:40:00,11:40:00,12175093,2
RTD8550568,11:25:00,11:25:00,12175092,1
RTD8550568,11:40:00,11:40:00,12175093,2
RTD6813730,11:55:00,11:55:00,12175092,1
RTD6813730,12:10:00,12:10:00,12175093,2
RTD8550569,11:55:00,11:55:00,12175092,1
RTD8550569,12:10:00,12:10:00,12175093,2
RTD8550570,12:25:00,12:25:00,12175092,1
RTD8550570,12:40:00,12:40:00,12175093,2
RTD6813731,12:25:00,12:25:00,12175092,1
RTD6813731,12:40:00,12:40:00,12175093,2
RTD8550571,12:55:00,12:55:00,12175092,1
RTD8550571,13:10:00,13:10:00,12175093,2
RTD6813732,12:55:00,12:55:00,12175092,1
RTD6813732,13:10:00,13:10:00,12175093,2
RTD6813733,13:30:00,13:30:00,12175092,1
RTD6813733,13:45:00,13:45:00,12175093,2
RTD8550572,13:30:00,13:30:00,12175092,1
RTD8550572,13:45:00,13:45:00,12175093,2
RTD8550573,14:00:00,14:00:00,12175092,1
RTD8550573,14:15:00,14:15:00,12175093,2
RTD6813734,14:00:00,14:00:00,12175092,1
RTD6813734,14:15:00,14:15:00,12175093,2
RTD6813735,14:45:00,14:45:00,12175092,1
RTD6813735,15:00:00,15:00:00,12175093,2
RTD8550574,14:45:00,14:45:00,12175092,1
RTD8550574,15:00:00,15:00:00,12175093,2
RTD6813736,15:05:00,15:05:00,12175092,1
RTD6813736,15:20:00,15:20:00,12175093,2
RTD8550575,15:05:00,15:05:00,12175092,1
RTD8550575,15:20:00,15:20:00,12175093,2
RTD6813737,15:45:00,15:45:00,12175092,1
RTD6813737,16:00:00,16:00:00,12175093,2
RTD8550576,15:45:00,15:45:00,12175092,1
RTD8550576,16:00:00,16:00:00,12175093,2
RTD8550577,16:25:00,16:25:00,12175092,1
RTD8550577,16:40:00,16:40:00,12175093,2
RTD6813738,16:25:00,16:25:00,12175092,1
RTD6813738,16:40:00,16:40:00,12175093,2
RTD8550579,08:45:00,08:45:00,12175093,1
RTD8550579,09:00:00,09:00:00,12175092,2
RTD5661932,08:45:00,08:45:00,12175093,1
RTD5661932,09:00:00,09:00:00,12175092,2
