service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72918,1,1,1,1,1,0,0,20160814,20161210
72919,0,0,0,0,0,1,0,20160814,20161210
72920,0,0,0,0,0,0,1,20160814,20161210
72921,0,0,0,0,0,1,0,20160814,20161031
72922,0,0,0,0,0,0,1,20160814,20161031
72923,0,0,0,0,0,1,1,20160814,20160904
72924,1,1,1,1,1,0,0,20160814,20160910
72925,0,0,0,0,0,1,0,20160814,20160910
72926,0,0,0,0,0,0,1,20160814,20160910
72927,1,0,0,0,0,0,0,20160817,20161210
72928,0,1,0,0,0,0,0,20160817,20161210
72929,0,0,1,0,0,0,0,20160817,20161210
72930,0,0,0,1,0,0,0,20160817,20161210
72931,0,0,0,0,1,0,0,20160817,20161210
72932,1,0,0,0,0,0,0,20160822,20161210
72933,0,1,0,0,0,0,0,20160822,20161210
72934,0,0,1,0,0,0,0,20160822,20161210
72935,0,0,0,1,0,0,0,20160822,20161210
72936,0,0,0,0,1,0,0,20160822,20161210
72937,1,1,1,1,1,0,0,20160911,20161210
73073,0,0,0,0,0,1,0,20160911,20161210
73203,0,0,0,0,0,0,1,20160911,20161210
73204,0,0,0,0,0,1,1,20160910,20161030
73205,0,0,0,0,0,1,1,20160910,20160917
73206,0,0,0,0,0,1,1,20160910,20161008
