fare_id,price,currency_type,payment_method,transfers,transfer_duration
178858,2.00,USD,0,2,14400
178863,2.00,USD,0,2,14400
178868,2.00,USD,0,2,14400
178873,2.00,USD,0,2,14400
178878,2.00,USD,0,2,14400
178883,2.00,USD,0,2,14400
178888,2.00,USD,0,2,14400
178893,2.00,USD,0,2,14400
178898,2.00,USD,0,2,14400
178903,5.00,USD,1,,86400
178904,2.00,USD,0,2,14400
178909,2.00,USD,0,2,14400
178914,2.00,USD,0,2,14400
178919,2.00,USD,0,2,14400
178924,2.00,USD,0,2,14400
178929,2.00,USD,0,2,14400
178934,2.00,USD,0,2,14400
178939,2.00,USD,0,2,14400
178944,2.00,USD,0,2,14400
178949,2.00,USD,0,2,14400
178954,2.00,USD,0,2,14400
178959,2.00,USD,0,2,14400
178964,2.00,USD,0,2,14400
178969,2.00,USD,0,2,14400
178974,2.00,USD,0,2,14400
178979,2.00,USD,0,2,14400
178984,2.00,USD,0,2,14400
178989,2.00,USD,0,2,14400
