route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
23,MA,23,,3,,
29,MA,29,,3,,
35,MA,35,,3,,
36,MA,36,,3,,
49,MA,49,,3,,
61,MA,61,,3,,
66,MA,66,,3,,
68,MA,68,,3,,
71X,MA,71X,,3,,
113,MA,113,,3,,
115,MA,115,,3,,
117,MA,117,,3,,
119,MA,119,,3,,
122,MA,122,,3,,
125,MA,125,,3,,
139,MA,139,,3,,
145,MA,145,,3,,
151,MA,151,,3,,
154,MA,154,,3,,
219,MA,219,,3,,
228,MA,228,,3,,
233,MA,233,,3,,
245,MA,245,,3,,
251,MA,251,,3,,
257,MA,257,,3,,
17,MA,17,,3,,
23X,MA,23X,,3,,
22,MA,22,,3,,
