trip_id,arrival_time,departure_time,stop_id,stop_sequence
5323259,06:46:00,06:46:00,40522,1
5323259,,,40526,2
5323259,,,40472,3
5323259,,,40474,4
5323259,,,40476,5
5323259,,,40479,6
5323259,,,40483,7
5323259,06:56:00,06:56:00,40484,8
5323259,,,40489,9
5323259,,,40416,10
5323259,,,40420,11
5323259,,,40422,12
5323259,,,40423,13
5323259,,,40426,14
5323259,,,40428,15
5323259,07:10:00,07:10:00,40430,16
5323259,,,40414,17
5323259,,,40449,18
5323259,,,40452,19
5323259,,,40454,20
5323259,07:23:00,07:23:00,40456,21
5323259,,,40445,22
5323259,,,40458,23
5323259,07:27:00,07:27:00,40460,24
5323259,,,40466,25
5323259,07:33:00,07:33:00,41332,26
5323260,07:46:00,07:46:00,40522,1
5323260,,,40526,2
5323260,,,40472,3
5323260,,,40474,4
5323260,,,40476,5
5323260,,,40479,6
5323260,,,40483,7
5323260,07:56:00,07:56:00,40484,8
5323260,,,40489,9
5323260,,,40416,10
5323260,,,40420,11
5323260,,,40422,12
5323260,,,40423,13
5323260,,,40426,14
5323260,,,40428,15
5323260,08:10:00,08:10:00,40430,16
5323260,,,40414,17
5323260,,,40449,18
5323260,,,40452,19
5323260,,,40454,20
5323260,08:23:00,08:23:00,40456,21
5323260,,,40445,22
5323260,,,40458,23
5323260,08:27:00,08:27:00,40460,24
5323260,,,40466,25
5323260,08:33:00,08:33:00,41332,26
5324962,08:04:00,08:04:00,40522,1
5324962,,,40526,2
5324962,,,40472,3
5324962,,,40474,4
5324962,,,40476,5
5324962,,,40479,6
5324962,,,40483,7
5324962,08:13:00,08:13:00,40484,8
5324962,,,40489,9
5324962,,,40416,10
5324962,,,40420,11
5324962,,,40422,12
5324962,,,40423,13
5324962,,,40426,14
5324962,,,40428,15
5324962,08:25:00,08:25:00,40430,16
5324962,,,40414,17
5324962,,,40449,18
5324962,,,40452,19
5324962,,,40454,20
5324962,08:38:00,08:38:00,40456,21
5324962,,,40445,22
5324962,,,40458,23
5324962,08:42:00,08:42:00,40460,24
5324962,,,40466,25
5324962,08:48:00,08:48:00,41332,26
5326983,08:04:00,08:04:00,40522,1
5326983,,,40526,2
5326983,,,40472,3
5326983,,,40474,4
5326983,,,40476,5
5326983,,,40479,6
5326983,,,40483,7
5326983,08:13:00,08:13:00,40484,8
5326983,,,40489,9
5326983,,,40416,10
5326983,,,40420,11
5326983,,,40422,12
5326983,,,40423,13
5326983,,,40426,14
5326983,,,40428,15
5326983,08:25:00,08:25:00,40430,16
5326983,,,40414,17
5326983,,,40449,18
5326983,,,40452,19
5326983,,,40454,20
5326983,08:38:00,08:38:00,40456,21
5326983,,,40445,22
5326983,,,40458,23
5326983,08:42:00,08:42:00,40460,24
5326983,,,40466,25
5326983,08:48:00,08:48:00,41332,26
5323261,08:46:00,08:46:00,40522,1
5323261,,,40526,2
5323261,,,40472,3
5323261,,,40474,4
5323261,,,40476,5
5323261,,,40479,6
5323261,,,40483,7
5323261,08:56:00,08:56:00,40484,8
5323261,,,40489,9
5323261,,,40416,10
5323261,,,40420,11
5323261,,,40422,12
5323261,,,40423,13
5323261,,,40426,14
5323261,,,40428,15
5323261,09:10:00,09:10:00,40430,16
5323261,,,40414,17
5323261,,,40449,18
5323261,,,40452,19
5323261,,,40454,20
5323261,09:23:00,09:23:00,40456,21
5323261,,,40445,22
5323261,,,40458,23
5323261,09:27:00,09:27:00,40460,24
5323261,,,40466,25
5323261,09:33:00,09:33:00,41332,26
5326971,09:04:00,09:04:00,40522,1
5326971,,,40526,2
5326971,,,40472,3
5326971,,,40474,4
5326971,,,40476,5
5326971,,,40479,6
5326971,,,40483,7
5326971,09:13:00,09:13:00,40484,8
5326971,,,40489,9
5326971,,,40416,10
5326971,,,40420,11
5326971,,,40422,12
5326971,,,40423,13
5326971,,,40426,14
5326971,,,40428,15
5326971,09:25:00,09:25:00,40430,16
5326971,,,40414,17
5326971,,,40449,18
5326971,,,40452,19
5326971,,,40454,20
5326971,09:38:00,09:38:00,40456,21
5326971,,,40445,22
5326971,,,40458,23
5326971,09:42:00,09:42:00,40460,24
5326971,,,40466,25
5326971,09:48:00,09:48:00,41332,26
5324961,09:04:00,09:04:00,40522,1
5324961,,,40526,2
5324961,,,40472,3
5324961,,,40474,4
5324961,,,40476,5
5324961,,,40479,6
5324961,,,40483,7
5324961,09:13:00,09:13:00,40484,8
5324961,,,40489,9
5324961,,,40416,10
5324961,,,40420,11
5324961,,,40422,12
5324961,,,40423,13
5324961,,,40426,14
5324961,,,40428,15
5324961,09:25:00,09:25:00,40430,16
5324961,,,40414,17
5324961,,,40449,18
5324961,,,40452,19
5324961,,,40454,20
5324961,09:38:00,09:38:00,40456,21
5324961,,,40445,22
5324961,,,40458,23
5324961,09:42:00,09:42:00,40460,24
5324961,,,40466,25
5324961,09:48:00,09:48:00,41332,26
5323262,09:46:00,09:46:00,40522,1
5323262,,,40526,2
5323262,,,40472,3
5323262,,,40474,4
5323262,,,40476,5
5323262,,,40479,6
5323262,,,40483,7
5323262,09:56:00,09:56:00,40484,8
5323262,,,40489,9
5323262,,,40416,10
5323262,,,40420,11
5323262,,,40422,12
5323262,,,40423,13
5323262,,,40426,14
5323262,,,40428,15
5323262,10:10:00,10:10:00,40430,16
5323262,,,40414,17
5323262,,,40449,18
5323262,,,40452,19
5323262,,,40454,20
5323262,10:23:00,10:23:00,40456,21
5323262,,,40445,22
5323262,,,40458,23
5323262,10:27:00,10:27:00,40460,24
5323262,,,40466,25
5323262,10:33:00,10:33:00,41332,26
5324960,10:04:00,10:04:00,40522,1
5324960,,,40526,2
5324960,,,40472,3
5324960,,,40474,4
5324960,,,40476,5
5324960,,,40479,6
5324960,,,40483,7
5324960,10:13:00,10:13:00,40484,8
5324960,,,40489,9
5324960,,,40416,10
5324960,,,40420,11
5324960,,,40422,12
5324960,,,40423,13
5324960,,,40426,14
5324960,,,40428,15
5324960,10:25:00,10:25:00,40430,16
5324960,,,40414,17
5324960,,,40449,18
5324960,,,40452,19
5324960,,,40454,20
5324960,10:38:00,10:38:00,40456,21
5324960,,,40445,22
5324960,,,40458,23
5324960,10:42:00,10:42:00,40460,24
5324960,,,40466,25
5324960,10:48:00,10:48:00,41332,26
5326972,10:04:00,10:04:00,40522,1
5326972,,,40526,2
5326972,,,40472,3
5326972,,,40474,4
5326972,,,40476,5
5326972,,,40479,6
5326972,,,40483,7
5326972,10:13:00,10:13:00,40484,8
5326972,,,40489,9
5326972,,,40416,10
5326972,,,40420,11
5326972,,,40422,12
5326972,,,40423,13
5326972,,,40426,14
5326972,,,40428,15
5326972,10:25:00,10:25:00,40430,16
5326972,,,40414,17
5326972,,,40449,18
5326972,,,40452,19
5326972,,,40454,20
5326972,10:38:00,10:38:00,40456,21
5326972,,,40445,22
5326972,,,40458,23
5326972,10:42:00,10:42:00,40460,24
5326972,,,40466,25
5326972,10:48:00,10:48:00,41332,26
5323263,10:46:00,10:46:00,40522,1
5323263,,,40526,2
5323263,,,40472,3
5323263,,,40474,4
5323263,,,40476,5
5323263,,,40479,6
5323263,,,40483,7
5323263,10:56:00,10:56:00,40484,8
5323263,,,40489,9
5323263,,,40416,10
5323263,,,40420,11
5323263,,,40422,12
5323263,,,40423,13
5323263,,,40426,14
5323263,,,40428,15
5323263,11:10:00,11:10:00,40430,16
5323263,,,40414,17
5323263,,,40449,18
5323263,,,40452,19
5323263,,,40454,20
5323263,11:23:00,11:23:00,40456,21
5323263,,,40445,22
5323263,,,40458,23
5323263,11:27:00,11:27:00,40460,24
5323263,,,40466,25
5323263,11:33:00,11:33:00,41332,26
5326973,11:04:00,11:04:00,40522,1
5326973,,,40526,2
5326973,,,40472,3
5326973,,,40474,4
5326973,,,40476,5
5326973,,,40479,6
5326973,,,40483,7
5326973,11:13:00,11:13:00,40484,8
5326973,,,40489,9
5326973,,,40416,10
5326973,,,40420,11
5326973,,,40422,12
5326973,,,40423,13
5326973,,,40426,14
5326973,,,40428,15
5326973,11:25:00,11:25:00,40430,16
5326973,,,40414,17
5326973,,,40449,18
5326973,,,40452,19
5326973,,,40454,20
5326973,11:38:00,11:38:00,40456,21
5326973,,,40445,22
5326973,,,40458,23
5326973,11:42:00,11:42:00,40460,24
5326973,,,40466,25
5326973,11:48:00,11:48:00,41332,26
5324959,11:04:00,11:04:00,40522,1
5324959,,,40526,2
5324959,,,40472,3
5324959,,,40474,4
5324959,,,40476,5
5324959,,,40479,6
5324959,,,40483,7
5324959,11:13:00,11:13:00,40484,8
5324959,,,40489,9
5324959,,,40416,10
5324959,,,40420,11
5324959,,,40422,12
5324959,,,40423,13
5324959,,,40426,14
5324959,,,40428,15
