trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD9427347,07:00:00,07:00:00,12000060,1
RTD9427347,07:02:00,07:02:00,12000078,2
RTD9427347,07:04:00,07:04:00,12000114,3
RTD9427347,07:10:00,07:10:00,1553410,4
RTD9427347,07:16:00,07:16:00,12305256,5
RTD9427347,07:18:00,07:18:00,12048764,6
RTD9427347,07:28:00,07:28:00,12000021,7
RTD9427347,07:33:00,07:33:00,12048765,8
RTD9427347,07:35:00,07:35:00,12305266,9
RTD9427347,07:41:00,07:41:00,12000046,10
RTD9427347,07:47:00,07:47:00,12000042,11
RTD9427347,07:50:00,07:50:00,1539737,12
RTD9427382,07:20:00,07:20:00,12000060,1
RTD9427382,07:22:00,07:22:00,12000078,2
RTD9427382,07:24:00,07:24:00,12000114,3
RTD9427382,07:30:00,07:30:00,1553410,4
RTD9427382,07:36:00,07:36:00,12305256,5
RTD9427382,07:38:00,07:38:00,12048764,6
RTD9427382,07:48:00,07:48:00,12000021,7
RTD9427382,07:53:00,07:53:00,12048765,8
RTD9427382,07:55:00,07:55:00,12305266,9
RTD9427382,08:01:00,08:01:00,12000046,10
RTD9427382,08:05:00,08:05:00,12000042,11
RTD9427382,08:10:00,08:10:00,1539737,12
RTD9427383,07:40:00,07:40:00,12000060,1
RTD9427383,07:42:00,07:42:00,12000078,2
RTD9427383,07:44:00,07:44:00,12000114,3
RTD9427383,07:50:00,07:50:00,1553410,4
RTD9427383,07:56:00,07:56:00,12305256,5
RTD9427383,07:58:00,07:58:00,12048764,6
RTD9427383,08:08:00,08:08:00,12000021,7
RTD9427383,08:13:00,08:13:00,12048765,8
RTD9427383,08:15:00,08:15:00,12305266,9
RTD9427383,08:21:00,08:21:00,12000046,10
RTD9427383,08:25:00,08:25:00,12000042,11
RTD9427383,08:30:00,08:30:00,1539737,12
RTD9427384,08:00:00,08:00:00,12000060,1
RTD9427384,08:02:00,08:02:00,12000078,2
RTD9427384,08:04:00,08:04:00,12000114,3
RTD9427384,08:10:00,08:10:00,1553410,4
RTD9427384,08:16:00,08:16:00,12305256,5
RTD9427384,08:18:00,08:18:00,12048764,6
RTD9427384,08:28:00,08:28:00,12000021,7
RTD9427384,08:33:00,08:33:00,12048765,8
RTD9427384,08:35:00,08:35:00,12305266,9
RTD9427384,08:41:00,08:41:00,12000046,10
RTD9427384,08:45:00,08:45:00,12000042,11
RTD9427384,08:50:00,08:50:00,1539737,12
RTD9427385,08:20:00,08:20:00,12000060,1
RTD9427385,08:22:00,08:22:00,12000078,2
RTD9427385,08:24:00,08:24:00,12000114,3
RTD9427385,08:30:00,08:30:00,1553410,4
RTD9427385,08:36:00,08:36:00,12305256,5
RTD9427385,08:38:00,08:38:00,12048764,6
RTD9427385,08:48:00,08:48:00,12000021,7
RTD9427385,08:53:00,08:53:00,12048765,8
RTD9427385,08:55:00,08:55:00,12305266,9
RTD9427385,09:01:00,09:01:00,12000046,10
