trip_id,arrival_time,departure_time,stop_id,stop_sequence
i0-frequency_id18175-114738A3956B5309,06:15:00,06:15:00,202,1
i0-frequency_id18175-114738A3956B5309,,,203,2
i0-frequency_id18175-114738A3956B5309,06:17:00,06:17:00,108,3
i0-frequency_id18175-114738A3956B5309,,,109,4
i0-frequency_id18175-114738A3956B5309,,,110,5
i0-frequency_id18175-114738A3956B5309,,,101,6
i0-frequency_id18175-114738A3956B5309,06:23:00,06:23:00,102,7
i0-frequency_id18175-114738A3956B5309,,,103,8
i0-frequency_id18175-114738A3956B5309,06:25:00,06:25:00,100,9
i0-frequency_id18139-585054A3956B5309,06:45:00,06:45:00,202,1
i0-frequency_id18139-585054A3956B5309,,,203,2
i0-frequency_id18139-585054A3956B5309,06:47:00,06:47:00,108,3
i0-frequency_id18139-585054A3956B5309,,,109,4
i0-frequency_id18139-585054A3956B5309,,,110,5
i0-frequency_id18139-585054A3956B5309,,,101,6
i0-frequency_id18139-585054A3956B5309,06:53:00,06:53:00,102,7
i0-frequency_id18139-585054A3956B5309,,,103,8
i0-frequency_id18139-585054A3956B5309,06:55:00,06:55:00,100,9
i0-frequency_id13040-108621A3957B5309,07:15:00,07:15:00,202,1
i0-frequency_id13040-108621A3957B5309,,,203,2
i0-frequency_id13040-108621A3957B5309,07:17:00,07:17:00,108,3
i0-frequency_id13040-108621A3957B5309,,,109,4
i0-frequency_id13040-108621A3957B5309,,,110,5
i0-frequency_id13040-108621A3957B5309,,,101,6
i0-frequency_id13040-108621A3957B5309,07:23:00,07:23:00,102,7
i0-frequency_id13040-108621A3957B5309,,,103,8
i0-frequency_id13040-108621A3957B5309,07:25:00,07:25:00,100,9
i1-frequency_id18175-114738A3956B5309,07:15:00,07:15:00,202,1
i1-frequency_id18175-114738A3956B5309,,,203,2
i1-frequency_id18175-114738A3956B5309,07:17:00,07:17:00,108,3
i1-frequency_id18175-114738A3956B5309,,,109,4
i1-frequency_id18175-114738A3956B5309,,,110,5
i1-frequency_id18175-114738A3956B5309,,,101,6
i1-frequency_id18175-114738A3956B5309,07:23:00,07:23:00,102,7
i1-frequency_id18175-114738A3956B5309,,,103,8
i1-frequency_id18175-114738A3956B5309,07:25:00,07:25:00,100,9
i0-frequency_id13041-108622A3957B5309,07:45:00,07:45:00,202,1
i0-frequency_id13041-108622A3957B5309,,,203,2
i0-frequency_id13041-108622A3957B5309,07:47:00,07:47:00,108,3
i0-frequency_id13041-108622A3957B5309,,,109,4
i0-frequency_id13041-108622A3957B5309,,,110,5
i0-frequency_id13041-108622A3957B5309,,,101,6
i0-frequency_id13041-108622A3957B5309,07:53:00,07:53:00,102,7
i0-frequency_id13041-108622A3957B5309,,,103,8
i0-frequency_id13041-108622A3957B5309,07:55:00,07:55:00,100,9
i1-frequency_id18139-585054A3956B5309,07:45:00,07:45:00,202,1
i1-frequency_id18139-585054A3956B5309,,,203,2
i1-frequency_id18139-585054A3956B5309,07:47:00,07:47:00,108,3
i1-frequency_id18139-585054A3956B5309,,,109,4
i1-frequency_id18139-585054A3956B5309,,,110,5
i1-frequency_id18139-585054A3956B5309,,,101,6
i1-frequency_id18139-585054A3956B5309,07:53:00,07:53:00,102,7
i1-frequency_id18139-585054A3956B5309,,,103,8
i1-frequency_id18139-585054A3956B5309,07:55:00,07:55:00,100,9
i1-frequency_id13040-108621A3957B5309,08:15:00,08:15:00,202,1
i1-frequency_id13040-108621A3957B5309,,,203,2
i1-frequency_id13040-108621A3957B5309,08:17:00,08:17:00,108,3
i1-frequency_id13040-108621A3957B5309,,,109,4
i1-frequency_id13040-108621A3957B5309,,,110,5
i1-frequency_id13040-108621A3957B5309,,,101,6
i1-frequency_id13040-108621A3957B5309,08:23:00,08:23:00,102,7
i1-frequency_id13040-108621A3957B5309,,,103,8
i1-frequency_id13040-108621A3957B5309,08:25:00,08:25:00,100,9
i0-frequency_id18118-585046A3958B5309,08:15:00,08:15:00,202,1
i0-frequency_id18118-585046A3958B5309,,,203,2
i0-frequency_id18118-585046A3958B5309,08:17:00,08:17:00,108,3
i0-frequency_id18118-585046A3958B5309,,,109,4
i0-frequency_id18118-585046A3958B5309,,,110,5
i0-frequency_id18118-585046A3958B5309,,,101,6
i0-frequency_id18118-585046A3958B5309,08:23:00,08:23:00,102,7
i0-frequency_id18118-585046A3958B5309,,,103,8
i0-frequency_id18118-585046A3958B5309,08:25:00,08:25:00,100,9
i2-frequency_id18175-114738A3956B5309,08:15:00,08:15:00,202,1
i2-frequency_id18175-114738A3956B5309,,,203,2
i2-frequency_id18175-114738A3956B5309,08:17:00,08:17:00,108,3
i2-frequency_id18175-114738A3956B5309,,,109,4
i2-frequency_id18175-114738A3956B5309,,,110,5
i2-frequency_id18175-114738A3956B5309,,,101,6
i2-frequency_id18175-114738A3956B5309,08:23:00,08:23:00,102,7
i2-frequency_id18175-114738A3956B5309,,,103,8
i2-frequency_id18175-114738A3956B5309,08:25:00,08:25:00,100,9
i1-frequency_id13041-108622A3957B5309,08:45:00,08:45:00,202,1
i1-frequency_id13041-108622A3957B5309,,,203,2
i1-frequency_id13041-108622A3957B5309,08:47:00,08:47:00,108,3
i1-frequency_id13041-108622A3957B5309,,,109,4
i1-frequency_id13041-108622A3957B5309,,,110,5
i1-frequency_id13041-108622A3957B5309,,,101,6
i1-frequency_id13041-108622A3957B5309,08:53:00,08:53:00,102,7
i1-frequency_id13041-108622A3957B5309,,,103,8
i1-frequency_id13041-108622A3957B5309,08:55:00,08:55:00,100,9
i2-frequency_id18139-585054A3956B5309,08:45:00,08:45:00,202,1
i2-frequency_id18139-585054A3956B5309,,,203,2
i2-frequency_id18139-585054A3956B5309,08:47:00,08:47:00,108,3
i2-frequency_id18139-585054A3956B5309,,,109,4
i2-frequency_id18139-585054A3956B5309,,,110,5
i2-frequency_id18139-585054A3956B5309,,,101,6
i2-frequency_id18139-585054A3956B5309,08:53:00,08:53:00,102,7
i2-frequency_id18139-585054A3956B5309,,,103,8
i2-frequency_id18139-585054A3956B5309,08:55:00,08:55:00,100,9
