trip_id,arrival_time,departure_time,stop_id,stop_sequence
5665172,05:15:00,05:15:00,12049767,1
5665172,,,12049773,2
5665172,,,12049774,3
5665172,,,12049764,4
5665172,,,12049785,5
5665172,,,12049761,6
5665172,,,12049760,7
5665172,,,12049758,8
5665172,,,12049757,9
5665172,05:25:00,05:25:00,12049775,10
5665172,,,12049755,11
5665172,,,12049777,12
5665172,,,12049778,13
5665172,,,12049779,14
5665172,05:30:00,05:30:00,12049780,15
5665172,,,12048594,16
5665172,,,12049781,17
5665172,,,12049782,18
5665172,,,12049748,19
5665172,,,12048587,20
5665172,,,12029946,21
5665172,05:35:00,05:35:00,12048586,22
5665172,,,12029937,23
5665172,,,12049784,24
5665172,,,1538,25
5665172,,,13519,26
5665172,,,12029923,27
5665172,06:25:00,06:25:00,12029942,28
5665173,18:00:00,18:00:00,12029942,1
5665173,18:23:00,18:23:00,12029923,2
5665173,,,1538,3
5665173,,,13519,4
5665173,19:00:00,19:00:00,12029943,5
5665173,19:05:00,19:05:00,12048594,6
5665173,19:15:00,19:15:00,12048589,7
6320388,09:55:00,09:55:00,12048588,1
6320388,,,12049768,2
6320388,,,12049769,3
6320388,,,12049770,4
6320388,,,12049771,5
6320388,10:00:00,10:00:00,12048590,6
6320388,,,12049772,7
6320388,10:10:00,10:10:00,12029927,8
6986380,09:15:00,09:15:00,12029927,1
6986380,,,12029925,2
6986380,,,12029928,3
6986380,,,12029929,4
6986380,09:30:00,09:30:00,12048592,5
6986380,,,12029939,6
6986380,,,12029941,7
6986380,,,12048595,8
6986380,,,12029932,9
6986380,09:50:00,09:50:00,12029950,10
5665176,07:30:00,07:30:00,12048586,1
5665176,,,12048587,2
5665176,,,12049748,3
5665176,,,12029936,4
5665176,,,12049749,5
5665176,,,12049750,6
5665176,07:35:00,07:35:00,12049751,7
5665176,,,12049752,8
5665176,,,12049753,9
5665176,,,12049754,10
5665176,,,12049755,11
5665176,07:40:00,07:40:00,12049756,12
5665176,,,12049757,13
5665176,,,12049758,14
5665176,,,12049759,15
5665176,,,12049761,16
5665176,,,12049763,17
5665176,,,12049764,18
5665176,,,12049765,19
5665176,,,12029951,20
5665176,,,12049766,21
5665176,08:00:00,08:00:00,12049767,22
5665176,,,12029954,23
5665176,08:30:00,08:30:00,12177453,24
5665176,,,12029950,25
5665176,08:40:00,08:40:00,12048588,26
5665176,,,12049768,27
