fare_id,price,currency_type,payment_method,transfers,transfer_duration
179007,1.50,USD,0,0,
179008,6.40,USD,0,0,
179009,6.70,USD,0,0,
179010,1.50,USD,0,0,
179011,6.70,USD,0,0,
179012,13.40,USD,0,0,
179013,13.40,USD,0,0,
179014,13.40,USD,0,0,
179015,7.40,USD,0,0,
179016,7.40,USD,0,0,
179017,7.40,USD,0,0,
179018,1.50,USD,0,0,
179019,6.40,USD,0,0,
179020,6.40,USD,0,0,
179021,7.40,USD,0,0,
179022,7.40,USD,0,0,
179023,6.40,USD,0,0,
179024,6.40,USD,0,0,
179025,7.40,USD,0,0,
179026,1.50,USD,0,0,
179027,6.40,USD,0,0,
179028,6.40,USD,0,0,
179029,7.40,USD,0,0,
179030,13.40,USD,0,0,
179031,7.40,USD,0,0,
179032,6.25,USD,0,0,
