fare_id,route_id, origin_id, destination_id, contains_id
179007,,55473,55475,
179008,,55477,55475,
179009,,55474,55477,
179010,,55477,55476,
179011,,55477,55474,
179012,,55479,55476,
179013,,55477,55479,
179014,,55476,55479,
179015,,55476,55478,
179016,,55478,55477,
179017,,55477,55478,
179018,,55476,55477,
179019,,55476,55475,
179020,,55476,55473,
179021,,55478,55475,
179022,,55478,55473,
179023,,55475,55477,
179024,,55475,55476,
179025,,55475,55478,
179026,,55475,55473,
179027,,55473,55477,
179028,,55473,55476,
179029,,55473,55478,
179030,,55479,55477,
179031,,55478,55476,
179032,,55477,55473,
