fare_id,price,currency_type,payment_method,transfers,transfer_duration
180542,4.00,USD,0,0,
180543,12.00,USD,0,,
180544,12.00,USD,1,,
180554,4.00,USD,0,0,
180555,12.00,USD,0,,
180556,12.00,USD,1,,
180566,4.00,USD,0,0,
180567,12.00,USD,0,,
180568,12.00,USD,1,,
180578,4.00,USD,0,0,
180579,12.00,USD,0,,
180580,12.00,USD,1,,
180590,4.00,USD,0,0,
180591,12.00,USD,0,,
180592,12.00,USD,1,,
180602,4.00,USD,0,0,
180603,12.00,USD,0,,
180604,12.00,USD,1,,
180614,4.00,USD,0,0,
180615,12.00,USD,0,,
180616,12.00,USD,1,,
180626,4.00,USD,0,0,
180627,12.00,USD,0,,
180628,12.00,USD,1,,
180638,4.00,USD,0,0,
180639,12.00,USD,0,,
180640,12.00,USD,1,,
180650,4.00,USD,0,0,
180651,12.00,USD,0,,
180652,12.00,USD,1,,
180662,4.00,USD,0,0,
180663,12.00,USD,0,,
180664,12.00,USD,1,,
180674,4.00,USD,0,0,
180675,12.00,USD,0,,
180676,12.00,USD,1,,
180686,2.00,USD,0,0,
180687,6.00,USD,0,,
180688,6.00,USD,1,,
180698,2.00,USD,0,0,
180699,6.00,USD,0,,
180700,6.00,USD,1,,
180710,2.00,USD,0,0,
180711,6.00,USD,0,,
180712,6.00,USD,1,,
180722,2.00,USD,0,0,
180723,6.00,USD,0,,
180724,6.00,USD,1,,
180734,2.00,USD,0,0,
180735,6.00,USD,0,,
180736,6.00,USD,1,,
180746,2.00,USD,0,0,
180747,6.00,USD,0,,
180748,6.00,USD,1,,
180758,2.00,USD,0,0,
180759,6.00,USD,0,,
180760,6.00,USD,1,,
180770,2.00,USD,0,0,
180771,6.00,USD,0,,
180772,6.00,USD,1,,
180782,2.00,USD,0,0,
180783,6.00,USD,0,,
180784,6.00,USD,1,,
180794,2.00,USD,0,0,
180795,6.00,USD,0,,
180796,6.00,USD,1,,
180806,2.00,USD,0,0,
180807,6.00,USD,0,,
180808,6.00,USD,1,,
180818,2.00,USD,0,0,
180819,6.00,USD,0,,
180820,6.00,USD,1,,
180830,2.00,USD,0,0,
180831,6.00,USD,0,,
180832,6.00,USD,1,,
180842,2.00,USD,0,0,
180843,6.00,USD,0,,
180844,6.00,USD,1,,
180854,2.00,USD,0,0,
180855,6.00,USD,0,,
180856,6.00,USD,1,,
180866,2.00,USD,0,0,
180867,6.00,USD,0,,
180868,6.00,USD,1,,
180878,2.00,USD,0,0,
180879,6.00,USD,0,,
180880,6.00,USD,1,,
180890,2.00,USD,0,0,
180891,6.00,USD,0,,
180892,6.00,USD,1,,
180902,2.00,USD,0,0,
180903,6.00,USD,0,,
180904,6.00,USD,1,,
180914,2.00,USD,0,0,
180915,6.00,USD,0,,
180916,6.00,USD,1,,
180926,2.00,USD,0,0,
180927,6.00,USD,0,,
180928,6.00,USD,1,,
180938,2.00,USD,0,0,
180939,6.00,USD,0,,
180940,6.00,USD,1,,
180950,2.00,USD,0,0,
180951,6.00,USD,0,,
180952,6.00,USD,1,,
180962,2.00,USD,0,0,
180963,6.00,USD,0,,
180964,6.00,USD,1,,
180974,2.00,USD,0,0,
180975,6.00,USD,0,,
180976,6.00,USD,1,,
180986,2.00,USD,0,0,
180987,6.00,USD,0,,
180988,6.00,USD,1,,
180998,2.00,USD,0,0,
180999,6.00,USD,0,,
181000,6.00,USD,1,,
181010,2.00,USD,0,0,
