service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73025,0,0,0,0,0,0,1,20160904,20170115
73026,1,1,1,1,1,0,0,20160906,20170120
73027,1,1,1,1,1,0,0,20160906,20170120
73028,1,1,1,0,1,0,0,20160906,20170120
73029,0,0,0,1,0,0,0,20160906,20170120
73030,0,0,0,0,0,1,0,20160910,20170121
73031,0,0,0,0,0,0,1,20160904,20170115
73032,1,1,1,1,1,0,0,20160906,20170120
73033,1,1,1,1,1,0,0,20160906,20170120
73034,0,0,1,0,0,0,0,20160906,20170120
73035,1,1,0,1,1,0,0,20160906,20170120
73036,1,1,0,0,1,0,0,20160906,20170120
73037,0,0,0,0,0,1,0,20160910,20170121
73038,0,0,0,0,0,0,1,20160904,20170115
73039,1,1,1,1,1,0,0,20160906,20170120
73040,1,1,1,1,1,0,0,20160906,20170120
73041,1,1,1,1,1,0,0,20160906,20170120
73042,0,0,1,0,0,0,0,20160906,20170120
73043,1,1,0,1,1,0,0,20160906,20170120
73044,0,0,0,1,0,0,0,20160906,20170120
73045,1,1,1,0,1,0,0,20160906,20170120
73235,0,0,1,1,0,0,0,20160906,20170120
73236,0,1,0,0,0,0,0,20160906,20170120
73237,1,0,1,1,1,0,0,20160906,20170120
73238,1,1,0,0,1,0,0,20160906,20170120
73239,0,1,0,1,0,0,0,20160906,20170120
73240,0,0,0,0,0,1,0,20160910,20170121
73241,1,1,1,1,1,0,0,20160906,20170120
