fare_id,price,currency_type,payment_method,transfers,transfer_duration
180458,0.00,USD,0,0,
180459,2.25,USD,0,0,
180460,2.25,USD,0,0,
180461,2.25,USD,0,0,
180462,2.25,USD,0,0,
180463,2.25,USD,0,0,
180464,2.25,USD,0,0,
180465,2.25,USD,0,0,
180466,2.25,USD,0,0,
180467,2.25,USD,0,0,
180468,2.25,USD,0,0,
180469,2.25,USD,0,0,
180470,2.25,USD,0,0,
180471,2.25,USD,0,0,
180472,2.25,USD,0,0,
180473,2.25,USD,0,0,
180474,2.25,USD,0,0,
180475,2.25,USD,0,0,
180476,2.25,USD,0,0,
180477,2.25,USD,0,0,
180478,2.25,USD,0,0,
180479,2.25,USD,0,0,
180480,2.25,USD,0,0,
180481,2.25,USD,0,0,
180482,2.25,USD,0,0,
180483,2.25,USD,0,0,
180484,2.25,USD,0,0,
180485,2.25,USD,0,0,
180486,2.25,USD,0,0,
180487,2.25,USD,0,0,
180488,2.25,USD,0,0,
180489,2.25,USD,0,0,
180490,2.25,USD,0,0,
180491,2.25,USD,0,0,
180492,2.25,USD,0,0,
180493,2.25,USD,0,0,
180494,2.25,USD,0,0,
180495,2.25,USD,0,0,
180496,2.25,USD,0,0,
180497,2.25,USD,0,0,
180498,2.25,USD,0,0,
180499,2.25,USD,0,0,
180500,2.25,USD,0,0,
180501,2.25,USD,0,0,
180502,2.25,USD,0,0,
180503,2.25,USD,0,0,
180504,2.25,USD,0,0,
180505,2.25,USD,0,0,
180506,2.25,USD,0,0,
180507,2.25,USD,0,0,
180508,2.25,USD,0,0,
180509,2.25,USD,0,0,
180510,2.25,USD,0,0,
180511,2.25,USD,0,0,
180512,2.25,USD,0,0,
180513,2.25,USD,0,0,
180514,2.25,USD,0,0,
180515,2.25,USD,0,0,
180516,2.25,USD,0,0,
180517,2.25,USD,0,0,
180518,2.25,USD,0,0,
180519,2.25,USD,0,0,
180520,2.25,USD,0,0,
180521,2.25,USD,0,0,
180522,2.25,USD,0,0,
180523,2.25,USD,0,0,
180524,2.25,USD,0,0,
180525,2.25,USD,0,0,
180526,2.25,USD,0,0,
180527,2.25,USD,0,0,
180528,2.25,USD,0,0,
180529,4.00,USD,0,0,
180530,2.25,USD,0,0,
180531,2.25,USD,0,0,
180532,2.25,USD,0,0,
180533,2.25,USD,0,0,
180534,2.25,USD,0,0,
180535,4.00,USD,0,0,
180536,2.25,USD,0,0,
180537,2.25,USD,0,0,
180538,2.25,USD,0,0,
180539,2.25,USD,0,0,
180540,4.00,USD,0,0,
