fare_id,route_id, origin_id, destination_id, contains_id
180458,SCS,55675,55675,
180459,11,55675,55675,
180460,14,55675,55675,
180461,16,55675,55675,
180462,17,55675,55675,
180463,18,55675,55675,
180464,19,55675,55675,
180465,24,55675,55675,
180466,25,55675,55675,
180467,28,55675,55675,
180468,29,55675,55675,
180469,35,55675,55675,
180470,37,55675,55675,
180471,38,55675,55675,
180472,39,55675,55675,
180473,43,55675,55675,
180474,46,55675,55675,
180475,49,55675,55675,
180476,53,55675,55675,
180477,54,55675,55675,
180478,55,55675,55675,
180479,56,55675,55675,
180480,57,55675,55675,
180481,58,55675,55675,
180482,59,55675,55675,
180483,60,55675,55675,
180484,61,55675,55675,
180485,62,55675,55675,
180486,67,55675,55675,
180487,68,55675,55675,
180488,72,55675,55675,
180489,73,55675,55675,
180490,79,55675,55675,
180491,80,55675,55675,
180492,81,55675,55675,
180493,82,55675,55675,
180494,83,55675,55675,
180495,84,55675,55675,
180496,85,55675,55675,
180497,86,55675,55675,
180498,87,55675,55675,
180499,88,55675,55675,
180500,89,55675,55675,
180501,95,55675,55675,
180502,110,55675,55675,
180503,112,55675,55675,
180504,118,55675,55675,
180505,120,55675,55675,
180506,121,55675,55675,
180507,122,55675,55675,
180508,130,55675,55675,
180509,131,55675,55675,
180510,133,55675,55675,
180511,140,55675,55675,
180512,141,55675,55675,
180513,250,55675,55675,
180514,251,55675,55675,
180515,252,55675,55675,
180516,256,55675,55675,
180517,260,55675,55675,
180518,261,55675,55675,
180519,270,55675,55675,
180520,273,55675,55675,
180521,274,55675,55675,
180522,275,55675,55675,
180523,276,55675,55675,
180524,278,55675,55675,
180525,280,55675,55675,
180526,281,55675,55675,
180527,286,55675,55675,
180528,292,55675,55675,
180529,292,55676,55675,
180530,294,55675,55675,
180531,295,55675,55675,
180532,296,55675,55675,
180533,297,55675,55675,
180534,397,55675,55675,
180535,397,55676,55675,
180536,398,55675,55675,
180537,ECR,55675,55675,
180538,FLX,55675,55675,
180539,KX,55675,55675,
180540,KX,55676,55675,
