fare_id,price,currency_type,payment_method,transfers
174908,4.80,USD,0,0
174909,4.55,USD,0,0
174910,4.55,USD,0,0
174911,4.55,USD,0,0
174912,2.40,USD,0,0
174913,2.40,USD,0,0
174914,2.10,USD,0,0
174915,1.85,USD,0,0
174916,1.05,USD,0,0
174917,1.05,USD,0,0
174918,1.05,USD,0,0
174919,1.05,USD,0,0
174920,1.50,USD,0,0
174921,1.25,USD,0,0
174922,1.25,USD,0,0
174923,1.25,USD,0,0
174924,0.75,USD,0,0
174925,0.75,USD,0,0
174926,3.90,USD,0,0
174927,1.95,USD,0,0
174928,1.95,USD,0,0
174929,1.95,USD,0,0
174930,1.95,USD,0,0
174931,1.95,USD,0,0
174932,2.10,USD,0,0
174933,1.85,USD,0,0
174934,1.05,USD,0,0
174935,1.05,USD,0,0
174936,1.05,USD,0,0
174937,1.05,USD,0,0
174938,3.00,USD,0,0
174939,1.50,USD,0,0
174940,2.75,USD,0,0
174941,2.75,USD,0,0
174942,2.75,USD,0,0
174943,2.75,USD,0,0
174944,3.90,USD,0,0
174945,3.65,USD,0,0
174946,3.65,USD,0,0
174947,3.65,USD,0,0
174948,3.65,USD,0,0
174949,3.65,USD,0,0
174950,3.90,USD,0,0
174951,1.95,USD,0,0
174952,3.65,USD,0,0
174953,3.65,USD,0,0
174954,3.65,USD,0,0
174955,3.65,USD,0,0
174956,1.50,USD,0,0
174957,1.25,USD,0,0
174958,0.75,USD,0,0
174959,0.75,USD,0,0
174960,0.75,USD,0,0
174961,0.75,USD,0,0
174962,3.90,USD,0,0
174963,1.95,USD,0,0
174964,1.95,USD,0,0
174965,1.95,USD,0,0
174966,3.65,USD,0,0
174967,3.65,USD,0,0
174968,3.90,USD,0,0
174969,3.65,USD,0,0
174970,1.95,USD,0,0
174971,1.95,USD,0,0
174972,1.95,USD,0,0
174973,1.95,USD,0,0
174974,1.50,USD,0,0
174975,0.75,USD,0,0
174976,1.25,USD,0,0
174977,1.25,USD,0,0
174978,1.25,USD,0,0
174979,1.25,USD,0,0
174980,4.80,USD,0,0
174981,2.40,USD,0,0
174982,2.40,USD,0,0
174983,2.40,USD,0,0
174984,2.40,USD,0,0
174985,2.40,USD,0,0
174986,3.90,USD,0,0
174987,3.65,USD,0,0
174988,3.65,USD,0,0
174989,3.65,USD,0,0
174990,3.65,USD,0,0
174991,3.65,USD,0,0
174992,2.10,USD,0,0
174993,1.85,USD,0,0
174994,1.85,USD,0,0
174995,1.85,USD,0,0
174996,1.85,USD,0,0
174997,1.85,USD,0,0
174998,2.10,USD,0,0
174999,1.05,USD,0,0
175000,1.05,USD,0,0
175001,1.05,USD,0,0
175002,1.05,USD,0,0
175003,1.05,USD,0,0
175004,3.90,USD,0,0
175005,3.65,USD,0,0
175006,3.65,USD,0,0
175007,3.65,USD,0,0
175008,1.95,USD,0,0
175009,1.95,USD,0,0
175010,3.00,USD,0,0
175011,1.50,USD,0,0
175012,2.75,USD,0,0
175013,1.50,USD,0,0
175014,1.50,USD,0,0
175015,1.50,USD,0,0
175016,3.90,USD,0,0
175017,3.65,USD,0,0
175018,1.95,USD,0,0
175019,1.95,USD,0,0
175020,1.95,USD,0,0
175021,1.95,USD,0,0
