trip_id,arrival_time,departure_time,stop_id,stop_sequence
37886A750B5147,16:06:00,16:06:00,98400,1
37886A750B5147,16:16:00,16:16:00,99100,2
37886A750B5147,16:18:00,16:18:00,98200,3
37886A750B5147,16:26:00,16:26:00,98100,4
37886A750B5147,16:36:00,16:36:00,98000,5
37886A750B5147,16:40:00,16:40:00,97900,6
37886A750B5147,16:52:00,16:52:00,97800,7
37886A750B5147,16:59:00,16:59:00,97700,8
37886A750B5147,17:09:00,17:09:00,99200,9
37886A750B5147,,,99300,10
37886A750B5147,,,99400,11
37886A750B5147,,,99500,12
37886A750B5147,,,99600,13
37886A750B5147,17:16:00,17:16:00,17400,14
37886A750B5147,,,17500,15
37886A750B5147,,,17600,16
37886A750B5147,,,17700,17
37886A750B5147,,,17800,18
37886A750B5147,17:26:00,17:26:00,17900,19
37886A750B5147,17:29:00,17:29:00,18000,20
37886A750B5147,17:54:00,17:54:00,00100,21
37879A750B5147,09:00:00,09:00:00,68900,1
37879A750B5147,,,69000,2
37879A750B5147,,,69100,3
37879A750B5147,,,69200,4
37879A750B5147,,,69300,5
37879A750B5147,,,69400,6
37879A750B5147,09:10:00,09:10:00,69500,7
37879A750B5147,,,69600,8
37879A750B5147,,,17310,9
37879A750B5147,,,17320,10
37879A750B5147,,,17330,11
37879A750B5147,09:17:00,09:17:00,97600,12
37879A750B5147,09:27:00,09:27:00,97700,13
37879A750B5147,09:34:00,09:34:00,97800,14
37879A750B5147,09:46:00,09:46:00,97900,15
37879A750B5147,09:50:00,09:50:00,98000,16
37879A750B5147,10:00:00,10:00:00,98100,17
37879A750B5147,10:05:00,10:05:00,98200,18
37879A750B5147,10:07:00,10:07:00,98300,19
37879A750B5147,10:17:00,10:17:00,98400,20
35422A750B5147,12:43:00,12:43:00,68900,1
35422A750B5147,,,69000,2
35422A750B5147,,,69100,3
35422A750B5147,,,69200,4
35422A750B5147,,,69300,5
35422A750B5147,,,69400,6
35422A750B5147,12:53:00,12:53:00,69500,7
35422A750B5147,,,69600,8
35422A750B5147,,,17310,9
35422A750B5147,,,17320,10
35422A750B5147,,,17330,11
35422A750B5147,13:00:00,13:00:00,97600,12
35422A750B5147,13:10:00,13:10:00,97700,13
35422A750B5147,13:17:00,13:17:00,97800,14
35422A750B5147,13:29:00,13:29:00,97900,15
35422A750B5147,13:33:00,13:33:00,98000,16
35422A750B5147,13:43:00,13:43:00,98100,17
35422A750B5147,13:48:00,13:48:00,98200,18
35422A750B5147,13:50:00,13:50:00,98300,19
35422A750B5147,14:00:00,14:00:00,98400,20
35423A750B5147,10:37:00,10:37:00,98400,1
35423A750B5147,10:47:00,10:47:00,99100,2
35423A750B5147,10:49:00,10:49:00,98200,3
35423A750B5147,10:57:00,10:57:00,98100,4
35423A750B5147,11:07:00,11:07:00,98000,5
35423A750B5147,11:11:00,11:11:00,97900,6
35423A750B5147,11:23:00,11:23:00,97800,7
35423A750B5147,11:30:00,11:30:00,97700,8
35423A750B5147,11:40:00,11:40:00,99200,9
35423A750B5147,,,99300,10
35423A750B5147,,,99400,11
35423A750B5147,,,99500,12
35423A750B5147,,,99600,13
35423A750B5147,11:47:00,11:47:00,17400,14
35423A750B5147,,,17500,15
35423A750B5147,,,17600,16
35423A750B5147,,,17700,17
35423A750B5147,,,17800,18
35423A750B5147,11:57:00,11:57:00,17900,19
37881A750B5147,14:10:00,14:10:00,98400,1
37881A750B5147,14:20:00,14:20:00,99100,2
37881A750B5147,14:22:00,14:22:00,98200,3
37881A750B5147,14:30:00,14:30:00,98100,4
37881A750B5147,14:40:00,14:40:00,98000,5
37881A750B5147,14:44:00,14:44:00,97900,6
37881A750B5147,14:56:00,14:56:00,97800,7
37881A750B5147,15:03:00,15:03:00,97700,8
37881A750B5147,15:13:00,15:13:00,99200,9
37881A750B5147,,,99300,10
37881A750B5147,,,99400,11
37881A750B5147,,,99500,12
37881A750B5147,,,99600,13
37881A750B5147,15:20:00,15:20:00,17400,14
37881A750B5147,,,17500,15
37881A750B5147,,,17600,16
37881A750B5147,,,17700,17
37881A750B5147,,,17800,18
37881A750B5147,15:30:00,15:30:00,17900,19
35420A750B5147,10:45:00,10:45:00,00100,1
35420A750B5147,,,38400,2
35420A750B5147,,,38500,3
35420A750B5147,,,38600,4
35420A750B5147,,,38700,5
35420A750B5147,11:09:00,11:09:00,38800,6
35420A750B5147,,,20730,7
35420A750B5147,11:14:00,11:14:00,20800,8
35420A750B5147,,,20810,9
35420A750B5147,,,20820,10
35420A750B5147,,,20830,11
35420A750B5147,,,98800,12
35420A750B5147,,,98900,13
35420A750B5147,11:27:00,11:27:00,99000,14
35420A750B5147,11:47:00,11:47:00,98400,15
35420A750B5147,12:08:00,12:08:00,99100,16
35420A750B5147,12:10:00,12:10:00,98200,17
37875A750B5147,08:20:00,08:20:00,15700,1
37875A750B5147,,,16100,2
37875A750B5147,,,16200,3
37875A750B5147,,,16300,4
37875A750B5147,,,16400,5
37875A750B5147,,,16500,6
