route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
29B,73086,37886A750B5147,29B Santa Rosa Transit Mall,0,812,96,
29B,73086,37879A750B5147,29B Doran Beach,1,813,12,
29B,73086,35422A750B5147,29B Doran Beach,1,813,12,
29B,73086,35423A750B5147,29B Guerneville,0,813,50,
29B,73086,37881A750B5147,29B Guerneville,0,813,50,
29A,73086,35420A750B5147,29A Bodega Bay / Tides,0,812,64,
29A,73086,37875A750B5147,29A Bodega Bay / Tides,0,812,92,
29A,73086,37876A750B5147,29A Doran Beach,0,812,81,
29A,73086,35421A750B5147,29A Santa Rosa / Coddingtown,1,813,8,
29A,73086,37877A750B5147,29A Santa Rosa / Coddingtown,1,812,94,
10T,73231,586120A3985B5341,10T Rohnert Park / Cotati (Ends Rancho Cotate HS),0,208,39,
10T,73232,586183A3986B5341,10T Rohnert Park / Cotati (Begins Lawrence Jones MS),0,34,86,
10T,73230,586073A3984B5341,10T Rohnert Park / Cotati (Ends Tech. MS / L. Jones MS),0,38,106,
10T,73232,586185A3986B5341,10T Rohnert Park / Cotati (Begins Rancho Cotate HS),0,30,115,
10T,73231,586167A3985B5341,10T Rohnert Park / Cotati (Ends Tech. MS / L. Jones MS),0,4,132,
10T,73232,586184A3986B5341,10T Rohnert Park / Cotati (Begins Technology MS),0,37,133,
28,73087,35678A1162B2143,28 Guerneville / Occidental,0,204,4,
28,73087,35707A1162B2143,28 Guerneville / Occidental,0,204,4,
28,73087,35708A1162B2143,28 Guerneville / Occidental,0,204,4,
28,73087,35710A1162B2143,28 Guerneville / Occidental,0,204,4,
28,73087,35417A1162B2143,28 Guerneville / Occidental (Begins Guerneville B of A),0,204,114,
28,73087,35712A1162B2143,28 Guerneville / Occidental (Ends Guerneville Safeway),0,204,77,
26,73087,59555A1162B2143,26 Sebastopol,0,37,136,
26,73087,141638A1162B2143,26 Sebastopol,0,27,136,
26,73087,59556A1162B2143,26 Sebastopol,0,27,136,
26,73087,44223A1162B2143,26 Sebastopol (Begins Commerce Blvd. & RP Expwy. / Via Credo HS),0,25,49,
