route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1,SR,1,1 Mendocino Ave,3,,
2,SR,2,2 Bennett Valley,3,,
3,SR,3,3 West Ninth St,3,,
4,SR,4,4 Rincon Valley,3,,
5,SR,5,5 Santa Rosa Ave,3,,
6,SR,6,6 West Third St,3,,
7,SR,7,7 Montgomery Village / Rincon Valley,3,,
8,SR,8,8 Sonoma Ave,3,,
9,SR,9,9 Sebastopol Rd,3,,
10,SR,10,10 Coddingtown,3,,
11,SR,11,11 Fulton Rd,3,,
12,SR,12,12 Roseland,3,,
14,SR,14,14 County Center,3,,
15,SR,15,15 Stony Point Rd,3,,
17,SR,17,17 Piner Rd,3,,
18,SR,18,18 Southeast Circulator,3,,
19,SR,19,19 South City Connector,3,,
