trip_id,arrival_time,departure_time,stop_id,stop_sequence
t1-sl2-p1-r17,06:43:00,06:43:00,10011,1
t1-sl2-p1-r17,,,77,2
t1-sl2-p1-r17,,,78,3
t1-sl2-p1-r17,,,79,4
t1-sl2-p1-r17,,,80,5
t1-sl2-p1-r17,,,81,6
t1-sl2-p1-r17,06:50:00,06:50:00,82,7
t1-sl2-p1-r17,,,274,8
t1-sl2-p1-r17,,,275,9
t1-sl2-p1-r17,,,276,10
t1-sl2-p1-r17,,,1,11
t1-sl2-p1-r17,,,2,12
t1-sl2-p1-r17,,,11,13
t1-sl2-p1-r17,06:58:00,06:58:00,3,14
t1-sl2-p1-r17,,,5,15
t1-sl2-p1-r17,,,6,16
t1-sl2-p1-r17,,,7,17
t1-sl2-p1-r17,,,13,18
t1-sl2-p1-r17,,,8,19
t1-sl2-p1-r17,,,18,20
t1-sl2-p1-r17,,,472,21
t1-sl2-p1-r17,,,10,22
t1-sl2-p1-r17,,,425,23
t1-sl2-p1-r17,,,424,24
t1-sl2-p1-r17,07:05:00,07:05:00,423,25
t1-sl2-p1-r17,,,422,26
t1-sl2-p1-r17,,,169,27
t1-sl2-p1-r17,07:12:00,07:12:00,170,28
t1-sl2-p1-r17,,,14,29
t1-sl2-p1-r17,,,15,30
t1-sl2-p1-r17,,,16,31
t1-sl2-p1-r17,07:18:00,07:18:00,17,32
t1-sl2-p1-r17,,,19,33
t1-sl2-p1-r17,,,20,34
t1-sl2-p1-r17,,,21,35
t1-sl2-p1-r17,,,22,36
t1-sl2-p1-r17,07:25:00,07:25:00,10011,37
t2-sl2-p1-r7,07:10:00,07:10:00,10011,1
t2-sl2-p1-r7,,,77,2
t2-sl2-p1-r7,,,78,3
t2-sl2-p1-r7,,,79,4
t2-sl2-p1-r7,,,80,5
t2-sl2-p1-r7,,,81,6
t2-sl2-p1-r7,07:20:00,07:20:00,82,7
t2-sl2-p1-r7,,,274,8
t2-sl2-p1-r7,,,275,9
t2-sl2-p1-r7,,,276,10
t2-sl2-p1-r7,,,1,11
t2-sl2-p1-r7,,,2,12
t2-sl2-p1-r7,,,11,13
t2-sl2-p1-r7,07:28:00,07:28:00,3,14
t2-sl2-p1-r7,,,5,15
t2-sl2-p1-r7,,,6,16
t2-sl2-p1-r7,,,7,17
t2-sl2-p1-r7,,,13,18
t2-sl2-p1-r7,,,8,19
t2-sl2-p1-r7,,,18,20
t2-sl2-p1-r7,,,472,21
t2-sl2-p1-r7,,,10,22
t2-sl2-p1-r7,,,425,23
t2-sl2-p1-r7,,,424,24
t2-sl2-p1-r7,07:35:00,07:35:00,423,25
t2-sl2-p1-r7,,,422,26
t2-sl2-p1-r7,,,169,27
t2-sl2-p1-r7,07:42:00,07:42:00,170,28
t2-sl2-p1-r7,,,14,29
t2-sl2-p1-r7,,,15,30
t2-sl2-p1-r7,,,16,31
t2-sl2-p1-r7,07:48:00,07:48:00,17,32
t2-sl2-p1-r7,,,19,33
t2-sl2-p1-r7,,,20,34
t2-sl2-p1-r7,,,21,35
t2-sl2-p1-r7,,,22,36
t2-sl2-p1-r7,07:55:00,07:55:00,10011,37
t3-sl2-p1-r15,07:40:00,07:40:00,10011,1
t3-sl2-p1-r15,,,77,2
t3-sl2-p1-r15,,,78,3
t3-sl2-p1-r15,,,79,4
t3-sl2-p1-r15,,,80,5
t3-sl2-p1-r15,,,81,6
t3-sl2-p1-r15,07:50:00,07:50:00,82,7
t3-sl2-p1-r15,,,274,8
t3-sl2-p1-r15,,,275,9
t3-sl2-p1-r15,,,276,10
t3-sl2-p1-r15,,,1,11
t3-sl2-p1-r15,,,2,12
t3-sl2-p1-r15,,,11,13
t3-sl2-p1-r15,07:58:00,07:58:00,3,14
t3-sl2-p1-r15,,,5,15
t3-sl2-p1-r15,,,6,16
t3-sl2-p1-r15,,,7,17
t3-sl2-p1-r15,,,13,18
t3-sl2-p1-r15,,,8,19
t3-sl2-p1-r15,,,18,20
t3-sl2-p1-r15,,,472,21
t3-sl2-p1-r15,,,10,22
t3-sl2-p1-r15,,,425,23
t3-sl2-p1-r15,,,424,24
t3-sl2-p1-r15,08:05:00,08:05:00,423,25
t3-sl2-p1-r15,,,422,26
t3-sl2-p1-r15,,,169,27
t3-sl2-p1-r15,08:12:00,08:12:00,170,28
t3-sl2-p1-r15,,,14,29
t3-sl2-p1-r15,,,15,30
t3-sl2-p1-r15,,,16,31
t3-sl2-p1-r15,08:18:00,08:18:00,17,32
t3-sl2-p1-r15,,,19,33
t3-sl2-p1-r15,,,20,34
t3-sl2-p1-r15,,,21,35
t3-sl2-p1-r15,,,22,36
t3-sl2-p1-r15,08:25:00,08:25:00,10011,37
t4-sl3-p2-r49,08:10:00,08:10:00,10011,1
t4-sl3-p2-r49,,,77,2
t4-sl3-p2-r49,,,78,3
t4-sl3-p2-r49,,,79,4
t4-sl3-p2-r49,,,80,5
t4-sl3-p2-r49,,,81,6
t4-sl3-p2-r49,08:20:00,08:20:00,82,7
t4-sl3-p2-r49,,,274,8
t4-sl3-p2-r49,,,275,9
t4-sl3-p2-r49,,,276,10
t4-sl3-p2-r49,,,1,11
t4-sl3-p2-r49,,,2,12
t4-sl3-p2-r49,,,11,13
t4-sl3-p2-r49,08:28:00,08:28:00,3,14
