stop_id,stop_name,stop_lat,stop_lon,zone_id
384,1208 Hendley St-Martin Luther King Park,38.42841,-122.703606,
161,1350 Bennett Valley Rd-Fairgrounds,38.433125,-122.702225,
472,1375 Fountaingrove Pkwy-Nagasawa Park,38.481396,-122.71711,
69,1400 West College Ave-Monroe Hall,38.445202,-122.743767,
18,1401 Fountaingrove Pkwy-Varena Apts,38.483845,-122.712311,
337,1401 Guerneville Rd-Gateway Ctr,38.457855,-122.734375,
466,1405 Townview Ave-Vista Sonoma Apts,38.435757,-122.685471,
462,1430 Neotomas Ave,38.433571,-122.686279,
287,1675 Piner Rd,38.469868,-122.741577,
322,1700 Fulton Rd-Piner High School,38.460503,-122.769661,
461,1990 Santa Rosa Ave,38.419453,-122.713509,
454,1993 Santa Rosa Ave,38.418957,-122.713547,
106,2785 Santa Rosa Ave,38.411201,-122.713615,
3,3325 Chanate Rd-Sutter Hospital,38.468292,-122.707855,
422,3555 Round Barn Blvd-Hilton Hotel,38.476803,-122.727219,
424,3585 Round Barn Blvd,38.480667,-122.727081,
170,401 Mendocino Ave-Kaiser Hospital,38.472549,-122.725647,
12,4620 Hwy 12,38.459801,-122.672379,
88,4th St @ Farmers Ln,38.449505,-122.689156,
87,4th St @ Rogers Way,38.45018,-122.692772,
193,55 Stony Point Rd,38.442806,-122.749725,
66,55 Stony Point Rd-Finley Park,38.442303,-122.748383,
136,6959 Montecito Blvd-Rincon Valley Region,38.47868,-122.661255,
105,7000 Montecito Blvd,38.478535,-122.661102,
469,950 Wright Rd,38.423283,-122.76889,
304,Administration Dr @ County Center Dr,38.464085,-122.725479,
157,Aston Ave @ Hendley St,38.425777,-122.702736,
158,Aston Ave @ Miras Ln,38.424934,-122.705162,
389,Bellevue Ave @ Burgess Dr,38.40192,-122.733871,
390,Bellevue Ave @ Stony Point Rd,38.401882,-122.741249,
458,Bennett Valley Rd @ Brookwood Ave,38.432835,-122.702087,
459,Bennett Valley Rd @ Cork Tree Ln,38.434029,-122.694328,
156,Bennett Valley Rd @ Rutledge Ave,38.430725,-122.710342,
167,Bennett Valley Rd @ Temple St,38.431767,-122.706505,
440,Bethards Dr @ Tachevah Dr,38.428108,-122.664154,
444,Bethards Dr @ Yulupa Ave,38.42625,-122.666656,
366,Bicentennial Wy @ Ventura Ave,38.470299,-122.7257,
148,Brown St @ Charles St,38.435768,-122.709633,
149,Brown St @ Mill St,38.434238,-122.709328,
150,Brown St @ Oak St,38.432671,-122.709,
86,Bryden Lane @ Austin Ct,38.451099,-122.698151,
121,Bryden Lane @ Austin Wy,38.451126,-122.698128,
22,B St @ Ross St,38.440887,-122.716568,
111,Calistoga Rd @ Dupont Dr,38.469448,-122.653938,
132,Calistoga Rd @ Dupont Dr,38.469612,-122.6539,
112,Calistoga Rd @ Hwy 12,38.466362,-122.653564,
131,Calistoga Rd @ Marit Dr,38.466431,-122.653511,
110,Calistoga Rd @ Monte Verde Dr,38.471828,-122.654228,
133,Calistoga Rd @ Monte Verde Dr,38.472267,-122.654198,
107,Calistoga Rd @ Parkhurst Dr,38.477821,-122.655388,
135,Calistoga Rd @ Piedmont Dr,38.479485,-122.656509,
108,Calistoga Rd @ San Luis Ave,38.475155,-122.654633,
134,Calistoga Rd @ San Luis Ave,38.475281,-122.654579,
109,Calistoga Rd @ Yerba Buena Dr,38.473557,-122.654442,
5,Chanate Rd @ County Farm Rd,38.469528,-122.703995,
11,Chanate Rd @ Terra Linda Dr,38.467487,-122.713028,
295,Cleveland Ave @ Hopper Ave,38.478302,-122.733116,
171,Coddingtown Transfer Station,38.457134,-122.732567,
9171,Coddingtown Transfer Station,38.457188,-122.732552,
363,Coffey Ln @ Becky Ct,38.462234,-122.741692,
378,Coffey Ln @ Bluebell Dr,38.465591,-122.741699,
373,Coffey Ln @ Bluebell Dr,38.465748,-122.741623,
290,Coffey Ln @ Dogwood Dr,38.476799,-122.747063,
288,Coffey Ln @ Empire Industrial Ct,38.470181,-122.745369,
315,Coffey Ln @ Guerneville Rd,38.456989,-122.737122,
338,Coffey Ln @ Piner Rd,38.467648,-122.7444,
336,Coffey Ln @ Piner Rd,38.467564,-122.744408,
314,Coffey Ln @ Plata Ct,38.457047,-122.737122,
292,Coffey Ln @ San Miguel Rd,38.473923,-122.74678,
364,Coffey Ln @ Terry Ln,38.462986,-122.741768,
333,Coffey Ln @ West Steele Ln,38.459328,-122.739655,
453,Colgan Ave @ La Esplanada Ct,38.4217,-122.711189,
429,College Ave @ Allison Wy,38.445274,-122.70549,
434,College Ave @ Brookwood Ave,38.445354,-122.708359,
432,College Ave @ E St,38.445415,-122.710548,
74,College Ave @ Glenn St,38.445702,-122.720642,
207,College Ave @ King St,38.445557,-122.710579,
431,College Ave @ Mendocino Ave,38.445614,-122.717018,
433,College Ave @ Orchard St,38.445484,-122.713264,
204,College Ave @ Orchard St,38.445629,-122.713737,
208,College Ave @ Stewart St-Ymca,38.445385,-122.707169,
351,Corby Ave @ Baker Ave,38.421268,-122.717377,
349,Corby Ave @ Barham Ave,38.426563,-122.717857,
352,Corby Ave @ Cottonwood Dr,38.417294,-122.717545,
350,Corby Ave @ Myrtlewood Dr,38.42321,-122.717422,
414,Corporate Center Pkwy @ Circadian Wy,38.419765,-122.753143,
257,Corporate Center Pkwy @ Northpoint Pkwy,38.416035,-122.753906,
415,Corporate Center Pkwy @ Northpoint Pkwy,38.416569,-122.754143,
413,Corporate Center Pkwy @ Sebastopol Rd,38.42543,-122.753395,
303,County Center Dr @ Professional Dr,38.46294,-122.725891,
302,County Center Dr @ Professional Dr,38.460918,-122.724983,
126,Court St @ Santa Rosa Ave,38.406738,-122.712791,
