route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
1,73068,t1-sl2-p1-r17,1 Mendocino Ave,0,17,,
1,73068,t2-sl2-p1-r7,1 Mendocino Ave,0,7,,
1,73068,t3-sl2-p1-r15,1 Mendocino Ave,0,15,,
1,73069,t4-sl3-p2-r49,1 Mendocino Ave,0,605,,
1,73068,t4-sl2-p1-r19,1 Mendocino Ave,0,19,,
1,73068,t5-sl2-p1-r11,1 Mendocino Ave,0,11,,
1,73068,t6-sl2-p1-r15,1 Mendocino Ave,0,15,,
1,73069,t6-sl3-p2-r51,1 Mendocino Ave,0,607,,
1,73068,t7-sl2-p1-r7,1 Mendocino Ave,0,7,,
1,73068,t8-sl2-p1-r39,1 Mendocino Ave,0,39,,
1,73069,t8-sl3-p2-r67,1 Mendocino Ave,0,623,,
1,73068,t9-sl2-p1-r3,1 Mendocino Ave,0,3,,
1,73068,t10-sl2-p1-r37,1 Mendocino Ave,0,37,,
1,73069,t10-sl3-p2-r49,1 Mendocino Ave,0,605,,
1,73068,t11-sl2-p1-r5,1 Mendocino Ave,0,5,,
1,73069,t12-sl3-p2-r52,1 Mendocino Ave,0,608,,
1,73068,t12-sl2-p1-r15,1 Mendocino Ave,0,15,,
1,73068,t13-sl2-p1-r17,1 Mendocino Ave,0,17,,
1,73069,t14-sl3-p2-r68,1 Mendocino Ave,0,624,,
1,73068,t14-sl2-p1-r24,1 Mendocino Ave,0,24,,
1,73068,t15-sl2-p1-r8,1 Mendocino Ave,0,8,,
1,73068,t16-sl2-p1-r26,1 Mendocino Ave,0,26,,
1,73069,t16-sl3-p2-r50,1 Mendocino Ave,0,606,,
1,73068,t17-sl2-p1-r24,1 Mendocino Ave,0,24,,
1,73069,t18-sl3-p2-r52,1 Mendocino Ave,0,608,,
1,73068,t18-sl2-p1-r30,1 Mendocino Ave,0,30,,
1,73068,t19-sl2-p1-r14,1 Mendocino Ave,0,14,,
1,73069,t20-sl3-p2-r68,1 Mendocino Ave,0,624,,
1,73068,t20-sl2-p1-r6,1 Mendocino Ave,0,6,,
1,73068,t21-sl2-p1-r10,1 Mendocino Ave,0,10,,
1,73068,t22-sl2-p1-r14,1 Mendocino Ave,0,14,,
1,73069,t22-sl3-p2-r50,1 Mendocino Ave,0,606,,
1,73068,t23-sl2-p1-r30,1 Mendocino Ave,0,30,,
1,73068,t24-sl2-p1-r10,1 Mendocino Ave,0,10,,
1,73068,t25-sl2-p1-r2,1 Mendocino Ave,0,2,,
1,73068,t26-sl2-p1-r38,1 Mendocino Ave,0,38,,
1,73068,t27-sl2-p1-r12,1 Mendocino Ave,0,12,,
2,73068,t28-sl2-p3-r27,2 Bennett Vly,0,27,,
2,73068,t29-sl2-p95-r1,2 Bennett Vly,0,1,,
2,73069,t42-sl3-p4-r53,2 Bennett Vly,0,609,,
2,73068,t30-sl2-p95-r25,2 Bennett Vly,0,25,,
2,73069,t30-sl3-p99-r55,2 Bennett Vly,0,611,,
2,73068,t31-sl2-p95-r3,2 Bennett Vly,0,3,,
2,73069,t31-sl3-p99-r57,2 Bennett Vly,0,613,,
2,73069,t32-sl3-p99-r53,2 Bennett Vly,0,609,,
2,73068,t32-sl2-p95-r23,2 Bennett Vly,0,23,,
2,73070,t43-sl4-p5-r77,2 Bennett Vly,0,709,,
2,73068,t33-sl2-p95-r17,2 Bennett Vly,0,17,,
2,73069,t33-sl3-p99-r55,2 Bennett Vly,0,611,,
2,73070,t33-sl4-p97-r73,2 Bennett Vly,0,705,,
2,73070,t34-sl4-p97-r76,2 Bennett Vly,0,708,,
2,73069,t34-sl3-p99-r57,2 Bennett Vly,0,613,,
2,73068,t34-sl2-p95-r30,2 Bennett Vly,0,30,,
2,73070,t35-sl4-p97-r73,2 Bennett Vly,0,705,,
2,73069,t35-sl3-p99-r53,2 Bennett Vly,0,609,,
2,73068,t35-sl2-p96-r22,2 Bennett Vly,0,22,,
2,73070,t36-sl4-p97-r77,2 Bennett Vly,0,709,,
2,73069,t36-sl3-p99-r56,2 Bennett Vly,0,612,,
