service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
73005,1,1,1,1,1,0,0,20160821,20170101
73006,1,1,1,1,1,0,0,20141201,20170101
73007,0,0,0,0,0,1,0,20141201,20170101
73008,0,0,0,0,0,0,1,20141201,20170101
73009,0,0,1,0,0,0,0,20141201,20170101
73010,0,0,0,0,1,0,0,20141201,20170101
73011,1,1,0,1,1,0,0,20141201,20170101
73012,1,1,1,1,0,0,0,20141201,20170101
73013,1,1,1,1,1,0,0,20150131,20170101
73014,0,0,0,0,0,1,0,20150131,20170101
73015,1,1,1,1,1,0,0,20150202,20170101
73167,0,0,0,0,0,0,1,20151122,20171231
73168,0,0,0,0,0,1,0,20160821,20170101
73187,0,0,0,0,0,0,1,20160821,20170101
73188,0,0,0,0,1,0,0,20160821,20170101
