trip_id,arrival_time,departure_time,stop_id,stop_sequence
72631A1307B2330,18:59:00,18:59:00,825019,1
72631A1307B2330,,,825018,2
72631A1307B2330,,,825020,3
72631A1307B2330,,,823011,4
72631A1307B2330,19:09:00,19:09:00,823028,5
161238A1306B2330,05:42:00,05:42:00,825019,1
161238A1306B2330,,,825018,2
161238A1306B2330,,,825020,3
161238A1306B2330,,,823011,4
161238A1306B2330,05:49:00,05:49:00,823028,5
161238A1306B2330,,,823013,6
161238A1306B2330,05:52:00,05:52:00,823128,7
161238A1306B2330,,,823015,8
161238A1306B2330,,,823017,9
161238A1306B2330,,,823018,10
161238A1306B2330,,,823019,11
161238A1306B2330,,,823020,12
161238A1306B2330,,,823021,13
161238A1306B2330,,,823022,14
161238A1306B2330,,,821008,15
161238A1306B2330,,,821009,16
161238A1306B2330,,,821010,17
161238A1306B2330,,,821011,18
161238A1306B2330,,,821012,19
161238A1306B2330,06:07:00,06:07:00,821001,20
i0-frequency_id17262-161242A1306B2330,06:32:00,06:32:00,825019,1
i0-frequency_id17262-161242A1306B2330,,,825018,2
i0-frequency_id17262-161242A1306B2330,,,825020,3
i0-frequency_id17262-161242A1306B2330,,,823011,4
i0-frequency_id17262-161242A1306B2330,06:39:00,06:39:00,823028,5
i0-frequency_id17262-161242A1306B2330,,,823013,6
i0-frequency_id17262-161242A1306B2330,06:42:00,06:42:00,823128,7
i0-frequency_id17262-161242A1306B2330,,,823015,8
i0-frequency_id17262-161242A1306B2330,,,823017,9
i0-frequency_id17262-161242A1306B2330,,,823018,10
i0-frequency_id17262-161242A1306B2330,,,823019,11
i0-frequency_id17262-161242A1306B2330,,,823020,12
i0-frequency_id17262-161242A1306B2330,,,823021,13
i0-frequency_id17262-161242A1306B2330,,,823022,14
i0-frequency_id17262-161242A1306B2330,,,821008,15
i0-frequency_id17262-161242A1306B2330,,,821009,16
i0-frequency_id17262-161242A1306B2330,,,821010,17
i0-frequency_id17262-161242A1306B2330,,,821011,18
i0-frequency_id17262-161242A1306B2330,,,821012,19
i0-frequency_id17262-161242A1306B2330,06:57:00,06:57:00,821001,20
i0-frequency_id6813-72647A1307B2330,06:59:00,06:59:00,825019,1
i0-frequency_id6813-72647A1307B2330,,,825018,2
i0-frequency_id6813-72647A1307B2330,,,825020,3
i0-frequency_id6813-72647A1307B2330,,,823011,4
i0-frequency_id6813-72647A1307B2330,07:09:00,07:09:00,823028,5
i0-frequency_id6813-72647A1307B2330,,,823013,6
i0-frequency_id6813-72647A1307B2330,07:15:00,07:15:00,823128,7
i0-frequency_id6813-72647A1307B2330,,,823015,8
i0-frequency_id6813-72647A1307B2330,,,823017,9
i0-frequency_id6813-72647A1307B2330,,,823018,10
i0-frequency_id6813-72647A1307B2330,,,823019,11
i0-frequency_id6813-72647A1307B2330,,,823020,12
