service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72865,1,1,1,1,1,0,0,20100828,20190519
72866,0,0,0,0,0,1,0,20100828,20190519
72867,0,0,0,0,0,0,1,20100828,20190519
72868,0,0,0,0,0,1,1,20100828,20190519
72869,1,1,1,1,1,0,0,20100828,20190519
72870,1,1,1,1,1,0,0,20100828,20190519
72871,1,1,1,1,1,1,0,20100828,20190519
72872,1,1,1,1,1,1,0,20100828,20190519
72873,1,1,1,0,0,0,0,20100828,20190519
72874,0,1,0,1,0,1,0,20100828,20190519
72875,0,1,1,1,1,1,1,20100828,20190519
