trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD7016520,04:33:00,04:33:00,12010511,1
RTD7016520,,,12115826,2
RTD7016520,,,12010498,3
RTD7016520,,,12010504,4
RTD7016520,,,12010513,5
RTD7016520,,,12010501,6
RTD7016520,,,12010507,7
RTD7016520,04:40:00,04:40:00,12010496,8
RTD7016520,,,12131844,9
RTD7016520,,,12010499,10
RTD7016520,,,12010502,11
RTD7016520,,,12010503,12
RTD7016520,,,12010495,13
RTD7016520,04:46:00,04:46:00,12010598,14
RTD7016520,,,12010538,15
RTD7016520,,,12010539,16
RTD7016520,,,12010530,17
RTD7016520,,,12115802,18
RTD7016520,,,12010554,19
RTD7016520,,,12010552,20
RTD7016520,,,12010526,21
RTD7016520,,,12115804,22
RTD7016520,,,12010521,23
RTD7016520,,,12010525,24
RTD7016520,,,12010542,25
RTD7016520,,,12010541,26
RTD7016520,,,12010565,27
RTD7016520,,,12010568,28
RTD7016520,,,12010570,29
RTD7016520,,,12010569,30
RTD7016520,,,12010594,31
RTD7016520,,,12115820,32
RTD7016520,,,12115819,33
RTD7016520,05:00:00,05:00:00,12010540,34
RTD7016520,,,12010534,35
RTD7016520,,,12010533,36
RTD7016520,,,12010536,37
RTD7016520,,,12115821,38
RTD7016520,,,12115822,39
RTD7016520,,,12010530,40
RTD7016520,,,12010539,41
RTD7016520,,,12010537,42
RTD7016520,05:08:00,05:08:00,12010598,43
RTD7016520,,,12010506,44
RTD7016520,,,12010495,45
RTD7016520,,,12010503,46
RTD7016520,,,12010502,47
RTD7016520,,,12010500,48
RTD7016520,05:14:00,05:14:00,12010497,49
RTD7016520,,,12010508,50
RTD7016520,,,12010501,51
RTD7016520,,,12115823,52
RTD7016520,,,12010505,53
RTD7016520,,,12010518,54
RTD7016520,,,12010519,55
RTD7016520,05:20:00,05:20:00,12010511,56
RTD7016521,05:03:00,05:03:00,12010511,1
RTD7016521,,,12115826,2
RTD7016521,,,12010498,3
RTD7016521,,,12010504,4
RTD7016521,,,12010513,5
RTD7016521,,,12010501,6
RTD7016521,,,12010507,7
RTD7016521,05:10:00,05:10:00,12010496,8
RTD7016521,,,12131844,9
RTD7016521,,,12010499,10
RTD7016521,,,12010502,11
RTD7016521,,,12010503,12
RTD7016521,,,12010495,13
RTD7016521,05:16:00,05:16:00,12010598,14
RTD7016521,,,12010538,15
RTD7016521,,,12010539,16
RTD7016521,,,12010530,17
RTD7016521,,,12115802,18
RTD7016521,,,12010554,19
RTD7016521,,,12010552,20
RTD7016521,,,12010526,21
RTD7016521,,,12115804,22
RTD7016521,,,12010521,23
RTD7016521,,,12010525,24
RTD7016521,,,12010542,25
RTD7016521,,,12010541,26
RTD7016521,,,12010565,27
RTD7016521,,,12010568,28
RTD7016521,,,12010570,29
RTD7016521,,,12010569,30
RTD7016521,,,12010594,31
RTD7016521,,,12115820,32
RTD7016521,,,12115819,33
RTD7016521,05:30:00,05:30:00,12010540,34
RTD7016521,,,12010534,35
RTD7016521,,,12010533,36
RTD7016521,,,12010536,37
RTD7016521,,,12115821,38
RTD7016521,,,12115822,39
RTD7016521,,,12010530,40
RTD7016521,,,12010539,41
RTD7016521,,,12010537,42
RTD7016521,05:38:00,05:38:00,12010598,43
RTD7016521,,,12010506,44
RTD7016521,,,12010495,45
RTD7016521,,,12010503,46
RTD7016521,,,12010502,47
RTD7016521,,,12010500,48
RTD7016521,05:44:00,05:44:00,12010497,49
RTD7016521,,,12010508,50
RTD7016521,,,12010501,51
RTD7016521,,,12115823,52
RTD7016521,,,12010505,53
RTD7016521,,,12010518,54
RTD7016521,,,12010519,55
RTD7016521,05:50:00,05:50:00,12010511,56
RTD7016522,05:33:00,05:33:00,12010511,1
RTD7016522,,,12115826,2
RTD7016522,,,12010498,3
RTD7016522,,,12010504,4
RTD7016522,,,12010513,5
RTD7016522,,,12010501,6
RTD7016522,,,12010507,7
RTD7016522,05:40:00,05:40:00,12010496,8
RTD7016522,,,12131844,9
RTD7016522,,,12010499,10
RTD7016522,,,12010502,11
RTD7016522,,,12010503,12
RTD7016522,,,12010495,13
RTD7016522,05:46:00,05:46:00,12010598,14
RTD7016522,,,12010538,15
RTD7016522,,,12010539,16
RTD7016522,,,12010530,17
RTD7016522,,,12115802,18
RTD7016522,,,12010554,19
RTD7016522,,,12010552,20
RTD7016522,,,12010526,21
RTD7016522,,,12115804,22
RTD7016522,,,12010521,23
RTD7016522,,,12010525,24
RTD7016522,,,12010542,25
RTD7016522,,,12010541,26
RTD7016522,,,12010565,27
RTD7016522,,,12010568,28
RTD7016522,,,12010570,29
RTD7016522,,,12010569,30
RTD7016522,,,12010594,31
RTD7016522,,,12115820,32
RTD7016522,,,12115819,33
RTD7016522,06:00:00,06:00:00,12010540,34
RTD7016522,,,12010534,35
RTD7016522,,,12010533,36
RTD7016522,,,12010536,37
RTD7016522,,,12115821,38
RTD7016522,,,12115822,39
RTD7016522,,,12010530,40
RTD7016522,,,12010539,41
RTD7016522,,,12010537,42
RTD7016522,06:08:00,06:08:00,12010598,43
RTD7016522,,,12010506,44
RTD7016522,,,12010495,45
RTD7016522,,,12010503,46
RTD7016522,,,12010502,47
RTD7016522,,,12010500,48
RTD7016522,06:14:00,06:14:00,12010497,49
RTD7016522,,,12010508,50
RTD7016522,,,12010501,51
RTD7016522,,,12115823,52
RTD7016522,,,12010505,53
RTD7016522,,,12010518,54
RTD7016522,,,12010519,55
RTD7016522,06:20:00,06:20:00,12010511,56
RTD7016523,06:03:00,06:03:00,12010511,1
RTD7016523,,,12115826,2
RTD7016523,,,12010498,3
RTD7016523,,,12010504,4
RTD7016523,,,12010513,5
RTD7016523,,,12010501,6
RTD7016523,,,12010507,7
RTD7016523,06:10:00,06:10:00,12010496,8
RTD7016523,,,12131844,9
RTD7016523,,,12010499,10
RTD7016523,,,12010502,11
RTD7016523,,,12010503,12
RTD7016523,,,12010495,13
RTD7016523,06:16:00,06:16:00,12010598,14
RTD7016523,,,12010538,15
RTD7016523,,,12010539,16
RTD7016523,,,12010530,17
RTD7016523,,,12115802,18
RTD7016523,,,12010554,19
RTD7016523,,,12010552,20
RTD7016523,,,12010526,21
RTD7016523,,,12115804,22
RTD7016523,,,12010521,23
RTD7016523,,,12010525,24
RTD7016523,,,12010542,25
RTD7016523,,,12010541,26
RTD7016523,,,12010565,27
RTD7016523,,,12010568,28
RTD7016523,,,12010570,29
RTD7016523,,,12010569,30
RTD7016523,,,12010594,31
RTD7016523,,,12115820,32
RTD7016523,,,12115819,33
RTD7016523,06:30:00,06:30:00,12010540,34
RTD7016523,,,12010534,35
RTD7016523,,,12010533,36
RTD7016523,,,12010536,37
RTD7016523,,,12115821,38
RTD7016523,,,12115822,39
RTD7016523,,,12010530,40
RTD7016523,,,12010539,41
RTD7016523,,,12010537,42
RTD7016523,06:38:00,06:38:00,12010598,43
RTD7016523,,,12010506,44
RTD7016523,,,12010495,45
RTD7016523,,,12010503,46
RTD7016523,,,12010502,47
RTD7016523,,,12010500,48
RTD7016523,06:44:00,06:44:00,12010497,49
RTD7016523,,,12010508,50
RTD7016523,,,12010501,51
RTD7016523,,,12115823,52
RTD7016523,,,12010505,53
RTD7016523,,,12010518,54
RTD7016523,,,12010519,55
RTD7016523,06:50:00,06:50:00,12010511,56
RTD7016524,06:33:00,06:33:00,12010511,1
RTD7016524,,,12115826,2
RTD7016524,,,12010498,3
RTD7016524,,,12010504,4
RTD7016524,,,12010513,5
RTD7016524,,,12010501,6
RTD7016524,,,12010507,7
RTD7016524,06:40:00,06:40:00,12010496,8
RTD7016524,,,12131844,9
RTD7016524,,,12010499,10
RTD7016524,,,12010502,11
RTD7016524,,,12010503,12
RTD7016524,,,12010495,13
RTD7016524,06:46:00,06:46:00,12010598,14
RTD7016524,,,12010538,15
RTD7016524,,,12010539,16
RTD7016524,,,12010530,17
RTD7016524,,,12115802,18
RTD7016524,,,12010554,19
RTD7016524,,,12010552,20
RTD7016524,,,12010526,21
RTD7016524,,,12115804,22
RTD7016524,,,12010521,23
RTD7016524,,,12010525,24
RTD7016524,,,12010542,25
RTD7016524,,,12010541,26
RTD7016524,,,12010565,27
RTD7016524,,,12010568,28
RTD7016524,,,12010570,29
RTD7016524,,,12010569,30
RTD7016524,,,12010594,31
RTD7016524,,,12115820,32
RTD7016524,,,12115819,33
RTD7016524,07:00:00,07:00:00,12010540,34
RTD7016524,,,12010534,35
RTD7016524,,,12010533,36
RTD7016524,,,12010536,37
