route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
1,72865,RTD7016520,ALVARADO-NILES,0,,,
1,72865,RTD7016521,ALVARADO-NILES,0,,,
1,72865,RTD7016522,ALVARADO-NILES,0,,,
1,72865,RTD7016523,ALVARADO-NILES,0,,,
1,72865,RTD7016524,ALVARADO-NILES,0,,,
1,72866,RTD7016585,ALVARADO-NILES,0,,,
1,72865,RTD7016525,ALVARADO-NILES,0,,,
1,72865,RTD7016526,ALVARADO-NILES,0,,,
1,72867,RTD7016609,ALVARADO-NILES,0,,,
1,72866,RTD7016586,ALVARADO-NILES,0,,,
1,72865,RTD7016527,ALVARADO-NILES,0,,,
1,72867,RTD7016610,ALVARADO-NILES,0,,,
1,72866,RTD7016587,ALVARADO-NILES,0,,,
1,72865,RTD7016528,ALVARADO-NILES,0,,,
1,72867,RTD7016611,ALVARADO-NILES,0,,,
1,72866,RTD7016588,ALVARADO-NILES,0,,,
1,72865,RTD7016529,ALVARADO-NILES,0,,,
1,72867,RTD7016612,ALVARADO-NILES,0,,,
1,72866,RTD7016589,ALVARADO-NILES,0,,,
1,72865,RTD7016530,ALVARADO-NILES,0,,,
1,72867,RTD7016613,ALVARADO-NILES,0,,,
1,72866,RTD7016590,ALVARADO-NILES,0,,,
1,72865,RTD7016531,ALVARADO-NILES,0,,,
1,72867,RTD7016614,ALVARADO-NILES,0,,,
1,72866,RTD7016591,ALVARADO-NILES,0,,,
1,72865,RTD7016532,ALVARADO-NILES,0,,,
1,72867,RTD7016615,ALVARADO-NILES,0,,,
1,72866,RTD7016592,ALVARADO-NILES,0,,,
1,72865,RTD7016533,ALVARADO-NILES,0,,,
1,72866,RTD7016593,ALVARADO-NILES,0,,,
1,72867,RTD7016616,ALVARADO-NILES,0,,,
1,72865,RTD7016534,ALVARADO-NILES,0,,,
1,72865,RTD7016535,ALVARADO-NILES,0,,,
1,72866,RTD7016594,ALVARADO-NILES,0,,,
1,72867,RTD7016617,ALVARADO-NILES,0,,,
1,72865,RTD7016536,ALVARADO-NILES,0,,,
1,72865,RTD7016537,ALVARADO-NILES,0,,,
1,72866,RTD7016595,ALVARADO-NILES,0,,,
1,72867,RTD7016618,ALVARADO-NILES,0,,,
1,72865,RTD7016538,ALVARADO-NILES,0,,,
1,72865,RTD7016539,ALVARADO-NILES,0,,,
