trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6744480,06:00:00,06:00:00,12135125,1
RTD6744480,06:03:00,06:03:00,12011435,2
RTD6744480,06:07:00,06:07:00,12011351,3
RTD6744480,06:30:00,06:30:00,12172250,4
RTD6744480,06:52:00,06:52:00,12011350,5
RTD6744480,06:54:00,06:54:00,12011435,6
RTD6744480,06:57:00,06:57:00,12135124,7
RTD6744481,07:00:00,07:00:00,12135125,1
RTD6744481,07:03:00,07:03:00,12011435,2
RTD6744481,07:07:00,07:07:00,12011351,3
RTD6744481,07:30:00,07:30:00,12172250,4
RTD6744481,07:52:00,07:52:00,12011350,5
RTD6744481,07:54:00,07:54:00,12011435,6
RTD6744481,07:57:00,07:57:00,12135124,7
RTD6744502,08:00:00,08:00:00,12135125,1
RTD6744502,08:03:00,08:03:00,12011435,2
RTD6744502,08:07:00,08:07:00,12011351,3
RTD6744502,08:30:00,08:30:00,12172250,4
RTD6744502,08:52:00,08:52:00,12011350,5
RTD6744502,08:54:00,08:54:00,12011435,6
RTD6744502,08:57:00,08:57:00,12135124,7
RTD6744482,08:00:00,08:00:00,12135125,1
RTD6744482,08:03:00,08:03:00,12011435,2
RTD6744482,08:07:00,08:07:00,12011351,3
RTD6744482,08:30:00,08:30:00,12172250,4
RTD6744482,08:52:00,08:52:00,12011350,5
RTD6744482,08:54:00,08:54:00,12011435,6
RTD6744482,08:57:00,08:57:00,12135124,7
RTD6744483,09:00:00,09:00:00,12135125,1
RTD6744483,09:03:00,09:03:00,12011435,2
RTD6744483,09:07:00,09:07:00,12011351,3
RTD6744483,09:30:00,09:30:00,12172250,4
RTD6744483,09:52:00,09:52:00,12011350,5
RTD6744483,09:54:00,09:54:00,12011435,6
RTD6744483,09:57:00,09:57:00,12135124,7
RTD6744503,09:00:00,09:00:00,12135125,1
RTD6744503,09:03:00,09:03:00,12011435,2
RTD6744503,09:07:00,09:07:00,12011351,3
RTD6744503,09:30:00,09:30:00,12172250,4
RTD6744503,09:52:00,09:52:00,12011350,5
RTD6744503,09:54:00,09:54:00,12011435,6
RTD6744503,09:57:00,09:57:00,12135124,7
RTD6744484,10:00:00,10:00:00,12135125,1
RTD6744484,10:03:00,10:03:00,12011435,2
RTD6744484,10:07:00,10:07:00,12011351,3
RTD6744484,10:30:00,10:30:00,12172250,4
RTD6744484,10:52:00,10:52:00,12011350,5
RTD6744484,10:54:00,10:54:00,12011435,6
RTD6744484,10:57:00,10:57:00,12135124,7
RTD6744504,10:00:00,10:00:00,12135125,1
RTD6744504,10:03:00,10:03:00,12011435,2
RTD6744504,10:07:00,10:07:00,12011351,3
RTD6744504,10:30:00,10:30:00,12172250,4
RTD6744504,10:52:00,10:52:00,12011350,5
RTD6744504,10:54:00,10:54:00,12011435,6
RTD6744504,10:57:00,10:57:00,12135124,7
RTD6744485,11:00:00,11:00:00,12135125,1
RTD6744485,11:03:00,11:03:00,12011435,2
RTD6744485,11:07:00,11:07:00,12011351,3
RTD6744485,11:30:00,11:30:00,12172250,4
RTD6744485,11:52:00,11:52:00,12011350,5
RTD6744485,11:54:00,11:54:00,12011435,6
RTD6744485,11:57:00,11:57:00,12135124,7
RTD6744505,11:00:00,11:00:00,12135125,1
RTD6744505,11:03:00,11:03:00,12011435,2
RTD6744505,11:07:00,11:07:00,12011351,3
RTD6744505,11:30:00,11:30:00,12172250,4
RTD6744505,11:52:00,11:52:00,12011350,5
RTD6744505,11:54:00,11:54:00,12011435,6
RTD6744505,11:57:00,11:57:00,12135124,7
RTD6744486,12:00:00,12:00:00,12135125,1
RTD6744486,12:03:00,12:03:00,12011435,2
RTD6744486,12:07:00,12:07:00,12011351,3
RTD6744486,12:30:00,12:30:00,12172250,4
RTD6744486,12:52:00,12:52:00,12011350,5
RTD6744486,12:54:00,12:54:00,12011435,6
RTD6744486,12:57:00,12:57:00,12135124,7
RTD6744506,12:00:00,12:00:00,12135125,1
RTD6744506,12:03:00,12:03:00,12011435,2
RTD6744506,12:07:00,12:07:00,12011351,3
RTD6744506,12:30:00,12:30:00,12172250,4
RTD6744506,12:52:00,12:52:00,12011350,5
RTD6744506,12:54:00,12:54:00,12011435,6
RTD6744506,12:57:00,12:57:00,12135124,7
RTD6744507,13:00:00,13:00:00,12135125,1
RTD6744507,13:03:00,13:03:00,12011435,2
RTD6744507,13:07:00,13:07:00,12011351,3
RTD6744507,13:30:00,13:30:00,12172250,4
RTD6744507,13:52:00,13:52:00,12011350,5
RTD6744507,13:54:00,13:54:00,12011435,6
RTD6744507,13:57:00,13:57:00,12135124,7
RTD6744487,13:00:00,13:00:00,12135125,1
RTD6744487,13:03:00,13:03:00,12011435,2
RTD6744487,13:07:00,13:07:00,12011351,3
RTD6744487,13:30:00,13:30:00,12172250,4
RTD6744487,13:52:00,13:52:00,12011350,5
RTD6744487,13:54:00,13:54:00,12011435,6
RTD6744487,13:57:00,13:57:00,12135124,7
RTD6744508,14:00:00,14:00:00,12135125,1
RTD6744508,14:03:00,14:03:00,12011435,2
RTD6744508,14:07:00,14:07:00,12011351,3
RTD6744508,14:30:00,14:30:00,12172250,4
RTD6744508,14:52:00,14:52:00,12011350,5
RTD6744508,14:54:00,14:54:00,12011435,6
RTD6744508,14:57:00,14:57:00,12135124,7
RTD6744488,14:00:00,14:00:00,12135125,1
RTD6744488,14:03:00,14:03:00,12011435,2
RTD6744488,14:07:00,14:07:00,12011351,3
RTD6744488,14:30:00,14:30:00,12172250,4
RTD6744488,14:52:00,14:52:00,12011350,5
RTD6744488,14:54:00,14:54:00,12011435,6
RTD6744488,14:57:00,14:57:00,12135124,7
RTD6744489,15:00:00,15:00:00,12135125,1
RTD6744489,15:03:00,15:03:00,12011435,2
RTD6744489,15:07:00,15:07:00,12011351,3
RTD6744489,15:30:00,15:30:00,12172250,4
RTD6744489,15:52:00,15:52:00,12011350,5
RTD6744489,15:54:00,15:54:00,12011435,6
RTD6744489,15:57:00,15:57:00,12135124,7
RTD6744509,15:00:00,15:00:00,12135125,1
RTD6744509,15:03:00,15:03:00,12011435,2
RTD6744509,15:07:00,15:07:00,12011351,3
RTD6744509,15:30:00,15:30:00,12172250,4
RTD6744509,15:52:00,15:52:00,12011350,5
RTD6744509,15:54:00,15:54:00,12011435,6
RTD6744509,15:57:00,15:57:00,12135124,7
RTD6744490,16:00:00,16:00:00,12135125,1
RTD6744490,16:03:00,16:03:00,12011435,2
RTD6744490,16:07:00,16:07:00,12011351,3
