stop_id,stop_name,stop_lat,stop_lon,zone_id
89014,1st Street & Chelsea Avenue,38.3002777778,-122.31,
89005,1st Street & Freeway Drive,38.2997222222,-122.3072222222,
89002,1st Street & Main Street,38.2986111111,-122.2861111111,
89004,1st Street & Monroe Street,38.2980555556,-122.2986111111,
89003,1st Street & Washington Street,38.2972222222,-122.2916666667,
89015,2nd Street & California Blvd,38.2969444444,-122.2997222222,
89016,2nd Street & Patchett Street,38.2963888889,-122.295,
89059,3rd Street & Bailey Street,38.2988888889,-122.2786111111,
89304,3rd Street & Brown Street,38.297433,-122.28482,
89018,3rd Street & Coombs Street,38.2966666667,-122.2858333333,
89017,3rd Street & Jefferson Street,38.2955555556,-122.2925,
89102,3rd Street & Juarez Street (NE),38.2994444444,-122.2766666667,
89060,3rd Street & Juarez Street (SE),38.2991666667,-122.2766666667,
89264,American Canyon Post Office (NE),38.1683333333,-122.2555555556,
89265,American Canyon Post Office (NW),38.1686111111,-122.2558333333,
89204,American Canyon Senior Center,38.1616666667,-122.26,
89220,American Canyon Senior Center (SE),38.1617817255,-122.2600087523,
89130,Baywood Lane & Glen Court,38.3138888889,-122.3188888889,
89089,Beard Road & La Homa Drive,38.3186111111,-122.2944444444,
89258,Bothe State Park (NB),38.5541666667,-122.5272222222,
89163,Bothe State Park (SB),38.5533333333,-122.5255555556,
89208,Broadway Street & Mini Drive,38.1533333333,-122.2527777778,
89010,Browns Valley Road & Austin Way,38.3047222222,-122.3294444444,
89298,Browns Valley Road & Dezarai Court,38.305611,-122.333109,
89013,Browns Valley Road & Hudson Lane,38.301878,-122.3159,
89299,Browns Valley Road & Linda Vista Avenue,38.302881,-122.319006,
89296,Browns Valley Road & Partrick Road,38.306567,-122.340824,
89006,Browns Valley Road & Robinson Lane (NE),38.3022222222,-122.3161111111,
89300,Browns Valley Road & Rowena Lane,38.305507,-122.336839,
89011,Browns Valley Road & Thompson Avenue,38.3036111111,-122.3227777778,
89007,Browns Valley Road & Thornhill Drive,38.3038888889,-122.3233333333,
89297,Browns  Valley Road & Westview Drive,38.305856,-122.333147,
89148,Byway Street East & El Centro Avenue,38.3333333333,-122.3191666667,
89150,Byway Street East & Monarch Drive,38.3369444444,-122.3216666667,
89149,Byway Street East & Reed Circle,38.3361111111,-122.3208333333,
89151,Byway Street East & Salvador Avenue,38.34,-122.3227777778,
89147,Cask Way & Wise Drive,38.33194444,-122.3163888889,
89301,Chamberlain High School,38.2797971204,-122.2567927837,
89110,Claremont Way & Jefferson Street,38.3208333333,-122.3002777778,
89111,Claremont Way & Permanente Way,38.3208333333,-122.3022222222,
89312,Claremont Way & Permanente Way (NE),38.3209294328,-122.3020859063,
89313,Claremont Way & Permanente Way (SW),38.3208305294,-122.30222404,
89058,Coombs Street & 4th Street,38.2961111111,-122.285,
89057,Coombs Street & 5th Street,38.2955555556,-122.2844444444,
89054,Coombs Street & Elm Street,38.2886111111,-122.2863888889,
89056,Coombs Street & Oak Street,38.2933333333,-122.2847222222,
89055,Coombs Street & Pine Street,38.2902777778,-122.2858333333,
89053,Coombs Street & South Franklin Street,38.2836111111,-122.2883333333,
89229,Corporate Drive & Corporate Way (NB),38.2505555556,-122.2744444444,
89197,Corporate Drive & Corporate Way (SB),38.25,-122.2744444444,
89199,Devlin Road & Airport Blvd (NB),38.2233470407,-122.2624267638,
89227,Devlin Road & Airport Blvd (SB),38.2233480311,-122.2626815736,
89228,Devlin Road (NB),38.2366666667,-122.2641666667,
89198,Devlin Road (SB),38.2366666667,-122.2644444444,
89202,Donaldson Way & Benton Way (NW),38.1708333333,-122.2622222222,
89223,Donaldson Way & Benton Way (SE),38.1702777778,-122.2616666667,
89160,Downtown Calistoga,38.5771772491,-122.579754889,
89081,East Avenue & 1st Street,38.3036111111,-122.2730555556,
89083,East Avenue & Clark Street,38.3105555556,-122.2741666667,
89101,East Avenue & Evans Avenue,38.3027777778,-122.2733333333,
89082,East Avenue & Highland Drive (NW),38.3069444444,-122.2736111111,
89100,East Avenue & Highland Drive (SE),38.3069444444,-122.2738888889,
89080,East Avenue & Montecito Blvd,38.3022222222,-122.2736111111,
89079,East Avenue & Silverado Trail,38.3002777778,-122.275,
89267,El Cerrito BART Station,37.9241666667,-122.3163888889,
89203,Elliott Drive & American Canyon Road (NW),38.1661111111,-122.2616666667,
89222,Elliott Drive & American Canyon Road (SE),38.1661111111,-122.2613888889,
89206,Elliott Drive & Maria Drive,38.1552777778,-122.2588888889,
89219,Elliott Drive & Severus Drive,38.155,-122.2586111111,
