service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
72889,1,1,1,1,1,0,0,20121011,20190601
72890,0,0,0,0,0,1,0,20121011,20190601
72891,0,0,0,0,0,0,1,20121011,20190601
72892,0,0,0,1,1,0,0,20151126,20151127
72893,1,1,1,1,1,1,0,20121011,20190601
72894,1,1,1,1,1,1,1,20121011,20190601
72895,1,1,0,1,1,0,1,20121011,20190601
72896,0,1,0,1,0,1,0,20121011,20190601
72897,1,0,1,0,1,0,1,20121011,20190601
72898,1,1,1,1,1,0,0,20121011,20190601
72899,1,1,1,1,1,0,0,20121011,20190601
72900,1,1,0,1,1,0,0,20121011,20190601
72901,0,0,0,1,0,0,0,20151224,20190601
72902,0,0,0,1,1,0,0,20151224,20160101
72903,0,0,1,0,0,0,0,20151111,20151111
