trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD5707031,05:55:00,05:55:00,12010981,1
RTD5707031,,,25036,2
RTD5707031,,,12010922,3
RTD5707031,,,25038,4
RTD5707031,,,12010995,5
RTD5707031,,,12011082,6
RTD5707031,,,12011122,7
RTD5707031,06:02:00,06:02:00,12011126,8
RTD5707031,06:03:00,06:03:00,12011114,9
RTD8543579,05:55:00,05:55:00,12010981,1
RTD8543579,,,25036,2
RTD8543579,,,12010922,3
RTD8543579,,,25038,4
RTD8543579,,,12010995,5
RTD8543579,,,12011082,6
RTD8543579,,,12011122,7
RTD8543579,06:02:00,06:02:00,12011126,8
RTD8543579,06:03:00,06:03:00,12011114,9
RTD8543580,06:40:00,06:40:00,12010981,1
RTD8543580,,,25036,2
RTD8543580,,,12010922,3
RTD8543580,,,25038,4
RTD8543580,,,12010995,5
RTD8543580,,,12011082,6
RTD8543580,,,12011122,7
RTD8543580,06:47:00,06:47:00,12011126,8
RTD8543580,06:48:00,06:48:00,12011114,9
RTD5707032,06:40:00,06:40:00,12010981,1
RTD5707032,,,25036,2
RTD5707032,,,12010922,3
RTD5707032,,,25038,4
RTD5707032,,,12010995,5
RTD5707032,,,12011082,6
RTD5707032,,,12011122,7
RTD5707032,06:47:00,06:47:00,12011126,8
RTD5707032,06:48:00,06:48:00,12011114,9
RTD5707036,07:25:00,07:25:00,12010981,1
RTD5707036,,,25036,2
RTD5707036,,,12010922,3
RTD5707036,07:29:00,07:29:00,25038,4
RTD5707036,,,12010995,5
RTD5707036,,,12011082,6
RTD5707036,,,12011122,7
RTD5707036,07:33:00,07:33:00,12011126,8
RTD5707036,07:34:00,07:34:00,12011114,9
RTD8543414,07:25:00,07:25:00,12010981,1
RTD8543414,,,25036,2
RTD8543414,,,12010922,3
RTD8543414,07:29:00,07:29:00,25038,4
RTD8543414,,,12010995,5
RTD8543414,,,12011082,6
RTD8543414,,,12011122,7
RTD8543414,07:33:00,07:33:00,12011126,8
RTD8543414,07:34:00,07:34:00,12011114,9
RTD8543415,08:10:00,08:10:00,12010981,1
RTD8543415,,,25036,2
RTD8543415,,,12010922,3
RTD8543415,08:14:00,08:14:00,25038,4
RTD8543415,,,12010995,5
RTD8543415,,,12011082,6
RTD8543415,,,12011122,7
RTD8543415,08:18:00,08:18:00,12011126,8
RTD8543415,08:19:00,08:19:00,12011114,9
RTD5707037,08:10:00,08:10:00,12010981,1
RTD5707037,,,25036,2
RTD5707037,,,12010922,3
RTD5707037,08:14:00,08:14:00,25038,4
RTD5707037,,,12010995,5
RTD5707037,,,12011082,6
RTD5707037,,,12011122,7
RTD5707037,08:18:00,08:18:00,12011126,8
RTD5707037,08:19:00,08:19:00,12011114,9
RTD8543416,08:45:00,08:45:00,12010981,1
RTD8543416,,,25036,2
RTD8543416,,,12010922,3
RTD8543416,08:49:00,08:49:00,25038,4
RTD8543416,,,12010995,5
RTD8543416,,,12011082,6
RTD8543416,,,12011122,7
RTD8543416,08:53:00,08:53:00,12011126,8
RTD8543416,08:54:00,08:54:00,12011114,9
RTD5707038,08:45:00,08:45:00,12010981,1
RTD5707038,,,25036,2
RTD5707038,,,12010922,3
RTD5707038,08:49:00,08:49:00,25038,4
RTD5707038,,,12010995,5
RTD5707038,,,12011082,6
RTD5707038,,,12011122,7
RTD5707038,08:53:00,08:53:00,12011126,8
RTD5707038,08:54:00,08:54:00,12011114,9
RTD5707039,09:30:00,09:30:00,12010981,1
RTD5707039,,,25036,2
RTD5707039,,,12010922,3
RTD5707039,09:34:00,09:34:00,25038,4
RTD5707039,,,12010995,5
RTD5707039,,,12011082,6
RTD5707039,,,12011122,7
RTD5707039,09:38:00,09:38:00,12011126,8
RTD5707039,09:39:00,09:39:00,12011114,9
RTD8543417,09:30:00,09:30:00,12010981,1
RTD8543417,,,25036,2
RTD8543417,,,12010922,3
RTD8543417,09:34:00,09:34:00,25038,4
RTD8543417,,,12010995,5
RTD8543417,,,12011082,6
RTD8543417,,,12011122,7
RTD8543417,09:38:00,09:38:00,12011126,8
RTD8543417,09:39:00,09:39:00,12011114,9
RTD5707040,10:15:00,10:15:00,12010981,1
RTD5707040,,,25036,2
RTD5707040,,,12010922,3
RTD5707040,10:19:00,10:19:00,25038,4
RTD5707040,,,12010995,5
RTD5707040,,,12011082,6
RTD5707040,,,12011122,7
RTD5707040,10:23:00,10:23:00,12011126,8
RTD5707040,10:24:00,10:24:00,12011114,9
RTD8543418,10:15:00,10:15:00,12010981,1
RTD8543418,,,25036,2
RTD8543418,,,12010922,3
RTD8543418,10:19:00,10:19:00,25038,4
RTD8543418,,,12010995,5
RTD8543418,,,12011082,6
RTD8543418,,,12011122,7
RTD8543418,10:23:00,10:23:00,12011126,8
RTD8543418,10:24:00,10:24:00,12011114,9
RTD8543419,11:00:00,11:00:00,12010981,1
RTD8543419,,,25036,2
RTD8543419,,,12010922,3
RTD8543419,11:04:00,11:04:00,25038,4
RTD8543419,,,12010995,5
RTD8543419,,,12011082,6
RTD8543419,,,12011122,7
RTD8543419,11:08:00,11:08:00,12011126,8
RTD8543419,11:09:00,11:09:00,12011114,9
RTD5707041,11:00:00,11:00:00,12010981,1
RTD5707041,,,25036,2
RTD5707041,,,12010922,3
RTD5707041,11:04:00,11:04:00,25038,4
RTD5707041,,,12010995,5
RTD5707041,,,12011082,6
RTD5707041,,,12011122,7
RTD5707041,11:08:00,11:08:00,12011126,8
RTD5707041,11:09:00,11:09:00,12011114,9
RTD8543420,11:45:00,11:45:00,12010981,1
RTD8543420,,,25036,2
RTD8543420,,,12010922,3
RTD8543420,11:49:00,11:49:00,25038,4
RTD8543420,,,12010995,5
RTD8543420,,,12011082,6
RTD8543420,,,12011122,7
RTD8543420,11:53:00,11:53:00,12011126,8
RTD8543420,11:54:00,11:54:00,12011114,9
RTD5707042,11:45:00,11:45:00,12010981,1
RTD5707042,,,25036,2
RTD5707042,,,12010922,3
RTD5707042,11:49:00,11:49:00,25038,4
RTD5707042,,,12010995,5
RTD5707042,,,12011082,6
RTD5707042,,,12011122,7
RTD5707042,11:53:00,11:53:00,12011126,8
RTD5707042,11:54:00,11:54:00,12011114,9
RTD8543421,12:30:00,12:30:00,12010981,1
RTD8543421,,,25036,2
RTD8543421,,,12010922,3
RTD8543421,12:34:00,12:34:00,25038,4
RTD8543421,,,12010995,5
RTD8543421,,,12011082,6
RTD8543421,,,12011122,7
RTD8543421,12:38:00,12:38:00,12011126,8
RTD8543421,12:39:00,12:39:00,12011114,9
RTD5707043,12:30:00,12:30:00,12010981,1
RTD5707043,,,25036,2
RTD5707043,,,12010922,3
RTD5707043,12:34:00,12:34:00,25038,4
RTD5707043,,,12010995,5
RTD5707043,,,12011082,6
RTD5707043,,,12011122,7
RTD5707043,12:38:00,12:38:00,12011126,8
RTD5707043,12:39:00,12:39:00,12011114,9
RTD5707044,13:15:00,13:15:00,12010981,1
RTD5707044,,,25036,2
RTD5707044,,,12010922,3
RTD5707044,13:19:00,13:19:00,25038,4
RTD5707044,,,12010995,5
RTD5707044,,,12011082,6
RTD5707044,,,12011122,7
RTD5707044,13:23:00,13:23:00,12011126,8
RTD5707044,13:24:00,13:24:00,12011114,9
RTD8543422,13:15:00,13:15:00,12010981,1
RTD8543422,,,25036,2
RTD8543422,,,12010922,3
RTD8543422,13:19:00,13:19:00,25038,4
RTD8543422,,,12010995,5
RTD8543422,,,12011082,6
RTD8543422,,,12011122,7
RTD8543422,13:23:00,13:23:00,12011126,8
RTD8543422,13:24:00,13:24:00,12011114,9
RTD5707045,14:00:00,14:00:00,12010981,1
RTD5707045,,,25036,2
RTD5707045,,,12010922,3
RTD5707045,14:04:00,14:04:00,25038,4
RTD5707045,,,12010995,5
RTD5707045,,,12011082,6
RTD5707045,,,12011122,7
RTD5707045,14:08:00,14:08:00,12011126,8
RTD5707045,14:09:00,14:09:00,12011114,9
RTD8543423,14:00:00,14:00:00,12010981,1
RTD8543423,,,25036,2
RTD8543423,,,12010922,3
RTD8543423,14:04:00,14:04:00,25038,4
RTD8543423,,,12010995,5
RTD8543423,,,12011082,6
RTD8543423,,,12011122,7
RTD8543423,14:08:00,14:08:00,12011126,8
RTD8543423,14:09:00,14:09:00,12011114,9
RTD5707046,14:25:00,14:25:00,12010981,1
RTD5707046,,,25036,2
RTD5707046,,,12010922,3
RTD5707046,14:29:00,14:29:00,25038,4
RTD5707046,,,12010995,5
RTD5707046,,,12011082,6
RTD5707046,,,12011122,7
RTD5707046,14:33:00,14:33:00,12011126,8
RTD5707046,14:34:00,14:34:00,12011114,9
RTD8543424,14:25:00,14:25:00,12010981,1
RTD8543424,,,25036,2
RTD8543424,,,12010922,3
RTD8543424,14:29:00,14:29:00,25038,4
RTD8543424,,,12010995,5
RTD8543424,,,12011082,6
RTD8543424,,,12011122,7
RTD8543424,14:33:00,14:33:00,12011126,8
RTD8543424,14:34:00,14:34:00,12011114,9
RTD5707047,14:55:00,14:55:00,12010981,1
RTD5707047,,,25036,2
RTD5707047,,,12010922,3
RTD5707047,14:59:00,14:59:00,25038,4
RTD5707047,,,12010995,5
RTD5707047,,,12011082,6
RTD5707047,,,12011122,7
RTD5707047,15:03:00,15:03:00,12011126,8
RTD5707047,15:04:00,15:04:00,12011114,9
RTD8543425,14:55:00,14:55:00,12010981,1
RTD8543425,,,25036,2
RTD8543425,,,12010922,3
RTD8543425,14:59:00,14:59:00,25038,4
RTD8543425,,,12010995,5
RTD8543425,,,12011082,6
RTD8543425,,,12011122,7
RTD8543425,15:03:00,15:03:00,12011126,8
RTD8543425,15:04:00,15:04:00,12011114,9
RTD8543426,15:25:00,15:25:00,12010981,1
RTD8543426,,,25036,2
RTD8543426,,,12010922,3
RTD8543426,15:29:00,15:29:00,25038,4
RTD8543426,,,12010995,5
RTD8543426,,,12011082,6
RTD8543426,,,12011122,7
RTD8543426,15:33:00,15:33:00,12011126,8
RTD8543426,15:34:00,15:34:00,12011114,9
RTD5707048,15:25:00,15:25:00,12010981,1
RTD5707048,,,25036,2
RTD5707048,,,12010922,3
RTD5707048,15:29:00,15:29:00,25038,4
RTD5707048,,,12010995,5
RTD5707048,,,12011082,6
RTD5707048,,,12011122,7
RTD5707048,15:33:00,15:33:00,12011126,8
RTD5707048,15:34:00,15:34:00,12011114,9
RTD5707049,16:12:00,16:12:00,12010981,1
RTD5707049,,,25036,2
RTD5707049,,,12010922,3
RTD5707049,16:16:00,16:16:00,25038,4
RTD5707049,,,12010995,5
RTD5707049,,,12011082,6
RTD5707049,,,12011122,7
RTD5707049,16:20:00,16:20:00,12011126,8
RTD5707049,16:21:00,16:21:00,12011114,9
RTD8543427,16:12:00,16:12:00,12010981,1
RTD8543427,,,25036,2
RTD8543427,,,12010922,3
RTD8543427,16:16:00,16:16:00,25038,4
RTD8543427,,,12010995,5
RTD8543427,,,12011082,6
RTD8543427,,,12011122,7
RTD8543427,16:20:00,16:20:00,12011126,8
RTD8543427,16:21:00,16:21:00,12011114,9
RTD5707050,16:42:00,16:42:00,12010981,1
RTD5707050,,,25036,2
RTD5707050,,,12010922,3
RTD5707050,16:46:00,16:46:00,25038,4
RTD5707050,,,12010995,5
RTD5707050,,,12011082,6
RTD5707050,,,12011122,7
RTD5707050,16:50:00,16:50:00,12011126,8
