stop_id,stop_name,stop_lat,stop_lon,zone_id
880764,2605 CENTRAL PKWY,37.709952,-121.855349,
880389,285 LAS POSITAS RD,37.700627,-121.725255,
881272,3798 PIMLICO DR,37.700973,-121.863983,
881061,4393   HOPYARD RD,37.687051,-121.903851,
880332,4750 NORTH LIVERMORE AVE,37.696212,-121.773219,
881076,4837   HOPYARD RD,37.690933,-121.903561,
881060,4861   HOPYARD RD,37.692324,-121.90376,
880331,4992 NORTH  LIVERMORE AVE,37.694186,-121.77311,
881059,5057   HOPYARD RD,37.695224,-121.90373,
881068,5220 CASE AVE,37.652554,-121.88416,
880813,5526   SPRINGDALE AVE,37.691047,-121.925634,
881080,5753 LAS POSITAS BLVD,37.686207,-121.891659,
880391,5860 LAS POSITAS RD,37.700583,-121.725725,
881072,6269   VALLEY AVE,37.667293,-121.897685,
881071,6917   VALLEY AVE,37.663412,-121.897219,
881070,7052   VALLEY AVE,37.660512,-121.896946,
880699,ALCOSTA BLVD & SAN RAMON RD,37.723021,-121.941747,
880691,AMADOR VALLEY BLVD & PENN DR,37.714075,-121.920127,
880689,AMADOR VALLEY BLVD & PENN DR,37.714254,-121.920058,
880618,AMADOR VALLEY BLVD & STAGECOACH RD,37.717321,-121.914399,
880632,AMADOR VALLEY BLVD & STAGECOACH RD,37.717393,-121.914571,
880700,AMADOR VALLEY BLVD & VILLAGE PKWY,37.710445,-121.925843,
880631,AMADOR VALLEY BLVD & WILDWOOD RD,37.718267,-121.913036,
881265,ARBOR DR & TOURIGA DR,37.657805,-121.8528,
881264,ARBOR DR & VINTAGE HILLS PARK,37.657018,-121.850444,
881195,BERNAL AVE & ANGELA ST,37.653645,-121.862017,
881234,BERNAL AVE & HEARST DR,37.654884,-121.859636,
881167,BERNAL AVE & INDEPENDENCE ST,37.652483,-121.869949,
881228,BERNAL AVE & INDEPENDENCE ST,37.652384,-121.869297,
881232,BERNAL AVE & KOTTINGER DR,37.655945,-121.859291,
881097,BERNAL AVE & PALOMINO DR,37.661199,-121.857464,
881166,BERNAL AVE & PALOMINO DR,37.660869,-121.857408,
880308,BLUEBELL DR & CAPRICONUS AVE,37.717217,-121.741454,
880306,BLUEBELL DR & GALLOWAY ST,37.719091,-121.746637,
880320,BLUEBELL DR & HEATHER LN,37.711067,-121.735105,
880322,BLUEBELL DR & LAS FLORES RD,37.706273,-121.738303,
880307,BLUEBELL DR & NORTH LIVERMORE PARK,37.718784,-121.744428,
880321,BLUEBELL DR & SUNFLOWER CT,37.707927,-121.735619,
880312,BROADMOOR ST & BRIDGEPORT CIR,37.721216,-121.732509,
880311,BROADMOOR ST & GREENWICH ST,37.718861,-121.732574,
880314,BROADMOOR ST & HAGGIN OAKS AVE,37.726124,-121.732494,
880714,BRODER BLVD & SANTA RITA JAIL,37.715935,-121.887785,
881069,CASE AVE  & BERNAL AVE,37.6563,-121.88165,
881091,CASE AVE & BERNAL AVE,37.656274,-121.881662,
881092,CASE AVE & PLEASANTON MIDDLE SCHOOL,37.652563,-121.884183,
880733,CENTRAL PKWY & ASPEN ST,37.708731,-121.882845,
880735,CENTRAL PKWY & CHANCERY LN,37.709434,-121.865999,
880732,CENTRAL PKWY & GLYNNIS ROSE DR,37.709698,-121.874553,
880728,CENTRAL PKWY & GLYNNIS ROSE DR,37.709387,-121.875217,
880745,CENTRAL PKWY &  HACIENDA DR,37.708734,-121.887585,
880726,CENTRAL PKWY & HIBERNIA DR,37.708572,-121.885593,
880727,CENTRAL PKWY & KILLIAN ST,37.708585,-121.877898,
880730,CENTRAL PKWY & SYBASE DR,37.708897,-121.890769,
881210,CONCORD ST & BORDEAUX NB,37.653879,-121.853492,
881147,CRELLIN  RD & CRESTA BLANCA DR,37.658494,-121.845052,
880315,DALTON AVE & PASATIEMPO ST,37.726953,-121.727212,
881261,DENNIS DR & GUZMAN PKWY,37.69271,-121.862345,
881260,DENNIS DR & TREVOR PKWY,37.692402,-121.857182,
880526,DOLORES ST & CARRIGAN CMN,37.678243,-121.757055,
880525,DOLORES ST & PACIFIC AVE,37.676681,-121.756991,
