route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
10R,72989,481746,,0,96552,32005,
10R,72992,484132,,0,96852,32005,
10R,72989,481747,,0,96553,32005,
10R,72992,484133,,0,96853,32005,
10R,72992,484134,,0,96854,32005,
10R,72989,481748,,0,96554,32005,
10R,72992,484135,,0,96855,32005,
10R,72989,481749,,0,96555,32005,
10R,72990,484104,,0,96658,32005,
10R,72991,485252,,0,96859,32005,
10R,72989,481750,,0,96556,32120,
10R,72992,484136,,0,96856,32120,
10R,72989,481751,,0,96557,32120,
10R,72992,484137,,0,96857,32120,
10R,72992,484138,,0,96852,32120,
10R,72989,481752,,0,96552,32120,
10R,72991,485253,,0,96738,32005,
10R,72990,484105,,0,96657,32005,
10R,72989,481753,,0,96553,32120,
10R,72992,484139,,0,96853,32120,
10R,72992,484140,,0,96854,32120,
10R,72989,481754,,0,96554,32120,
10R,72992,484141,,0,96855,32120,
10R,72989,481755,,0,96555,32120,
10R,72990,484106,,0,96658,32005,
10R,72991,485254,,0,96859,32005,
10R,72992,484142,,0,96856,32120,
10R,72989,481756,,0,96556,32120,
10R,72992,484143,,0,96857,32120,
10R,72989,481757,,0,96557,32120,
10R,72992,484144,,0,96852,32120,
10R,72989,481758,,0,96552,32120,
10R,72991,485255,,0,96738,32005,
10R,72990,484107,,0,96657,32005,
10R,72992,484145,,0,96853,32120,
10R,72989,481759,,0,96553,32120,
10R,72992,484146,,0,96854,32120,
10R,72989,481760,,0,96554,32120,
10R,72992,484147,,0,96855,32120,
10R,72989,481761,,0,96555,32120,
10R,72990,484108,,0,96658,32005,
10R,72991,485256,,0,96859,32005,
10R,72992,484148,,0,96856,32120,
10R,72989,481762,,0,96556,32120,
10R,72989,481763,,0,96557,32120,
10R,72992,484149,,0,96857,32120,
10R,72992,484150,,0,96852,32120,
10R,72989,481764,,0,96552,32120,
10R,72990,484109,,0,96657,32005,
10R,72991,485257,,0,96738,32005,
10R,72989,481765,,0,96553,32120,
10R,72992,484151,,0,96853,32120,
10R,72992,484152,,0,96854,32120,
10R,72989,481766,,0,96554,32120,
10R,72991,485227,,0,96779,32005,
10R,72990,482979,,0,96656,32005,
10R,72992,484153,,0,96855,32120,
10R,72989,481767,,0,96555,32120,
10R,72989,481768,,0,96556,32120,
10R,72992,484154,,0,96856,32120,
10R,72991,485228,,0,96859,32005,
10R,72990,482980,,0,96658,32005,
10R,72989,481769,,0,96557,32120,
10R,72992,484155,,0,96857,32120,
10R,72992,484156,,0,96852,32120,
10R,72989,481770,,0,96552,32120,
10R,72990,482982,,0,96657,32005,
10R,72991,485230,,0,96738,32005,
10R,72992,484157,,0,96853,32120,
10R,72989,481771,,0,96553,32120,
10R,72989,481772,,0,96554,32120,
10R,72992,484158,,0,96854,32120,
10R,72991,485229,,0,96779,32005,
10R,72990,482981,,0,96656,32005,
10R,72992,484159,,0,96855,32120,
10R,72989,481773,,0,96555,32120,
10R,72992,484160,,0,96856,32120,
10R,72989,481774,,0,96556,32120,
10R,72990,482984,,0,96658,32005,
10R,72991,485232,,0,96859,32005,
10R,72992,484161,,0,96857,32120,
10R,72989,481775,,0,96557,32120,
10R,72992,484162,,0,96852,32120,
10R,72989,481776,,0,96552,32120,
10R,72990,482986,,0,96657,32005,
10R,72991,485234,,0,96738,32005,
10R,72992,484163,,0,96853,32120,
10R,72989,481777,,0,96553,32120,
10R,72989,481778,,0,96554,32120,
10R,72992,484164,,0,96854,32120,
10R,72991,485231,,0,96779,32005,
10R,72990,482983,,0,96656,32005,
10R,72992,484165,,0,96855,32120,
10R,72989,481779,,0,96555,32120,
10R,72992,484166,,0,96856,32120,
10R,72989,481780,,0,96556,32120,
10R,72990,482988,,0,96658,32005,
10R,72991,485236,,0,96859,32005,
10R,72989,481781,,0,96557,32120,
10R,72992,484167,,0,96857,32120,
10R,72992,484168,,0,96852,32120,
10R,72989,481782,,0,96552,32120,
10R,72990,482990,,0,96657,32005,
10R,72991,485238,,0,96738,32005,
10R,72992,484169,,0,96853,32120,
10R,72989,481783,,0,96553,32120,
10R,72989,481784,,0,96554,32120,
10R,72992,484170,,0,96854,32120,
10R,72990,482985,,0,96656,32005,
10R,72991,485233,,0,96779,32005,
10R,72989,481785,,0,96555,32120,
10R,72992,484171,,0,96855,32120,
10R,72989,481786,,0,96556,32120,
10R,72992,484172,,0,96856,32120,
10R,72991,485246,,0,96859,32005,
10R,72990,483274,,0,96658,32005,
10R,72992,484173,,0,96857,32120,
10R,72989,481787,,0,96557,32120,
10R,72989,481788,,0,96552,32120,
10R,72992,484174,,0,96852,32120,
10R,72990,483275,,0,96657,32005,
10R,72991,485247,,0,96738,32005,
10R,72989,481789,,0,96553,32120,
10R,72992,484175,,0,96853,32120,
10R,72989,481790,,0,96554,32120,
10R,72992,484176,,0,96854,32120,
10R,72990,482987,,0,96656,32005,
10R,72991,485235,,0,96779,32005,
10R,72989,481791,,0,96558,32120,
10R,72992,484177,,0,96858,32120,
10R,72989,481792,,0,96555,32120,
10R,72992,484178,,0,96855,32120,
10R,72990,483276,,0,96658,32005,
10R,72991,485248,,0,96859,32005,
10R,72989,481793,,0,96556,32120,
10R,72992,484179,,0,96856,32120,
10R,72992,484180,,0,96857,32120,
10R,72989,481794,,0,96557,32120,
